"domain","role","old_path","new_path","exists","files","size_mb"
"matsim_agents","2pct multi-activity source agents","data/matsim_agents/fuzhou_city_23_greenspace_grid_multi_activity_2pct_same_day_night","data/matsim_agents/fuzhou/greenspace_grid_multi_activity_2pct_same_day_night","True","9","88.96"
"matsim_routes","current 2pct car/pt/walk demand and private vehicles","data/matsim_routes/fuzhou_city_23_greenspace_grid_multi_activity_2pct_carown197_pt","data/matsim_routes/fuzhou/greenspace_grid_multi_activity_2pct_carown197_pt","True","3","9.26"
"matsim_routes","2pct same-day-night routed intermediate","data/matsim_routes/fuzhou_city_23_greenspace_grid_multi_activity_2pct_same_day_night","data/matsim_routes/fuzhou/greenspace_grid_multi_activity_2pct_same_day_night","True","10","55.81"
"transit","AMap bus stop/line final source data","data/transit/fuzhou_bus_amap_stop_line_final_20260709","data/transit/fuzhou/bus_amap_stop_line_final_20260709","True","32","74.16"
"transit","bus map-matched MATSim network intermediate","data/transit/fuzhou_bus_matsim_network_20260709_boundary500m_conservative_augmented","data/transit/fuzhou/bus_matsim_network_20260709_boundary500m_conservative_augmented","True","13","30.97"
"transit","bus trajectory augmented road network","data/transit/fuzhou_bus_osm_augmented_network_20260709_500m_conservative_carpt","data/transit/fuzhou/bus_osm_augmented_network_20260709_500m_conservative_carpt","True","5","3.3"
"transit","final bus timetable tables and XML evidence","data/transit/fuzhou_bus_timetable_final_20260709","data/transit/fuzhou/bus_timetable_final_20260709","True","6773","605.38"
"transit","final metro source data","data/transit/fuzhou_metro_final_20260709","data/transit/fuzhou/metro_final_20260709","True","34","3.01"
"transit","metro MATSim network/schedule/vehicles","data/transit/fuzhou_metro_matsim_network_20260709","data/transit/fuzhou/metro_matsim_network_20260709","True","5","0.05"
"transit","unified bus/metro coordinates","data/transit/fuzhou_transit_coordinates_unified_20260709","data/transit/fuzhou/transit_coordinates_unified_20260709","True","20","44.87"
"transit","current final integrated bus-priority transit supply","data/transit/fuzhou_transit_matsim_integrated_20260709_bus_priority_transferwait_metro40","data/transit/fuzhou/transit_matsim_integrated_20260709_bus_priority_transferwait_metro40","True","8","2.73"
"osm","Fuzhou city boundary, roads, POIs and PBF sources","data/osm/fuzhou_city_23","data/osm/fuzhou/city_23","True","10","60.05"
"gee","WorldPop/GEE raster inputs","data/gee/fuzhou_city_23","data/gee/fuzhou/city_23","True","4","4.24"
"imagery","Fuzhou ESRI imagery tiles and mosaic","data/imagery/esri_world_imagery/fuzhou_city_23_greenspace_boundary","data/imagery/fuzhou/esri_world_imagery/greenspace_boundary","True","215","57.34"
"worldcommuting_od","original WorldCommuting OD Fuzhou data","data/worldcommuting_od/330_CN_Fuzhou","data/worldcommuting_od/fuzhou/330_CN_Fuzhou","True","13","3.22"
"worldcommuting_od","Fuzhou custom population features","data/worldcommuting_od/custom_features/fuzhou_city_23_population","data/worldcommuting_od/fuzhou/custom_features/fuzhou_city_23_population","True","4","0.09"
"worldcommuting_od","Fuzhou custom greenspace grid features","data/worldcommuting_od/custom_features/fuzhou_city_23_greenspace_grid","data/worldcommuting_od/fuzhou/custom_features/fuzhou_city_23_greenspace_grid","True","35","15.72"
"worldcommuting_od","shared WEDAN/WorldCommuting code","data/worldcommuting_od/GeneratingCodeData","data/worldcommuting_od/_shared/GeneratingCodeData","True","16","14.12"
"models","shared RemoteCLIP model","data/models/remoteclip","data/models/_shared/remoteclip","True","4","389.48"
