person_id,household_id,role,leg_index,mode,assigned_vehicle_id,route_vehicle_id,departure_time_s,travel_time_s,origin_type,origin_facility_id,origin_x,origin_y,destination_type,destination_facility_id,destination_x,destination_y,route_distance_m,arrival_time_s,real_driver_person_count,real_driver_leg_count,direct_candidate_count,detour_candidate_count,candidate_status,best_driver_person_id,best_driver_leg_index,best_vehicle_id,best_departure_delta_s,best_arrival_delta_s,best_origin_gap_m,best_destination_gap_m,best_detour_added_distance_m,best_detour_ratio,allocation_source,household_private_vehicle_count,student_stage,age,sex,relationship_role,is_designated_driver
hk_person_00000557,hk_hh_0000251,day_school_student,0,car_passenger,,,27283.0,473.0,home,home_hk_hh_0000251,206398.838,2466496.477,school_primary,school_378,212260.854,2467642.831,7664.435,27756.0,1,3,0,0,real_driver_no_compatible_existing_leg,,,,,,,,,,student_swap_car_household_donor,2,primary,6,F,child,False
hk_person_00000557,hk_hh_0000251,day_school_student,1,car_passenger,,,58563.0,434.0,school_primary,school_378,212260.854,2467642.831,home,home_hk_hh_0000251,206398.838,2466496.477,7385.585999999997,58997.0,1,3,0,0,real_driver_no_compatible_existing_leg,,,,,,,,,,student_swap_car_household_donor,2,primary,6,F,child,False
hk_person_00011198,hk_hh_0004864,day_school_student,0,car_passenger,,,27926.0,121.0,home,home_hk_hh_0004864,206654.87,2466399.292,school_primary,school_36,205769.166,2467034.643,1689.659,28047.0,0,0,0,0,no_real_driver_current_plan,,,,,,,,,,student_swap_car_household_donor,1,primary,6,M,child,False
hk_person_00011198,hk_hh_0004864,day_school_student,1,car_passenger,,,54611.0,104.0,school_primary,school_36,205769.166,2467034.643,home,home_hk_hh_0004864,206654.87,2466399.292,1468.556,54715.0,0,0,0,0,no_real_driver_current_plan,,,,,,,,,,student_swap_car_household_donor,1,primary,6,M,child,False
hk_person_00011437,hk_hh_0004958,day_school_student,0,car_passenger,,,25944.0,485.0,home,home_hk_hh_0004958,206996.829,2466300.494,school_secondary,school_657,209760.737,2470899.21,7931.103000000001,26429.0,1,4,0,0,real_driver_no_compatible_existing_leg,,,,,,,,,,student_swap_car_household_donor,2,secondary,12,M,child,False
hk_person_00011437,hk_hh_0004958,day_school_student,1,car_passenger,,,57554.0,506.0,school_secondary,school_657,209760.737,2470899.21,home,home_hk_hh_0004958,206996.829,2466300.494,8092.481,58060.0,1,4,0,0,real_driver_no_compatible_existing_leg,,,,,,,,,,student_swap_car_household_donor,2,secondary,12,M,child,False
hk_person_00012333,hk_hh_0005307,day_school_student,0,car_passenger,,,23921.0,307.0,home,home_hk_hh_0005307,206658.351,2466583.938,school_secondary,school_584,209881.467,2465690.713,4231.312000000002,24228.0,1,5,0,0,real_driver_no_compatible_existing_leg,,,,,,,,,,student_swap_car_household_donor,1,secondary,12,M,child,False
hk_person_00012333,hk_hh_0005307,day_school_student,1,car_passenger,,,58536.0,332.0,school_secondary,school_584,209881.467,2465690.713,home,home_hk_hh_0005307,206658.351,2466583.938,4273.061,58868.0,1,5,0,0,real_driver_no_compatible_existing_leg,,,,,,,,,,student_swap_car_household_donor,1,secondary,12,M,child,False
hk_person_00014729,hk_hh_0006285,day_school_student,0,car_passenger,,,26997.0,132.0,home,home_hk_hh_0006285,206910.904,2466302.112,school_primary,school_36,205769.166,2467034.643,1839.5430000000001,27129.0,1,4,0,0,real_driver_no_compatible_existing_leg,,,,,,,,,,student_original_private_vehicle_retained,1,primary,10,F,child,False
hk_person_00014729,hk_hh_0006285,day_school_student,1,car_passenger,,,56287.0,161.0,school_primary,school_36,205769.166,2467034.643,home,home_hk_hh_0006285,206910.904,2466302.112,2240.505,56448.0,1,4,0,0,real_driver_no_compatible_existing_leg,,,,,,,,,,student_original_private_vehicle_retained,1,primary,10,F,child,False
hk_person_00015295,hk_hh_0006512,day_school_student,0,car_passenger,,,23400.0,118.0,home,home_hk_hh_0006512,206570.686,2466493.235,school_secondary,school_1101,205318.634,2467080.099,1650.719,23518.0,2,6,1,1,existing_car_leg_direct,hk_person_00015293,1,hk_vehicle_0001774,18.0,18.0,11.68622882213382,39.639592795614966,77.90340007986356,1.0581724460021902,student_original_private_vehicle_retained,2,secondary,13,F,child,False
hk_person_00015295,hk_hh_0006512,day_school_student,1,car_passenger,,,59338.0,114.0,school_secondary,school_1101,205318.634,2467080.099,home,home_hk_hh_0006512,206570.686,2466493.235,1601.889,59452.0,2,6,1,1,existing_car_leg_direct,hk_person_00015293,10,hk_vehicle_0001774,61.0,71.0,39.639592795614966,11.68622882213382,17.088749545709334,1.0127606029925988,student_original_private_vehicle_retained,2,secondary,13,F,child,False
hk_person_00017787,hk_hh_0007553,day_school_student,0,car_passenger,,,23881.0,111.0,home,home_hk_hh_0007553,206495.212,2467048.796,school_primary,school_174,206205.624,2467039.492,1552.9200000000003,23992.0,1,5,0,0,real_driver_no_compatible_existing_leg,,,,,,,,,,student_swap_car_household_donor,1,primary,11,F,child,False
hk_person_00017787,hk_hh_0007553,day_school_student,1,car_passenger,,,57590.0,66.0,school_primary,school_174,206205.624,2467039.492,home,home_hk_hh_0007553,206495.212,2467048.796,924.776,57656.0,1,5,0,0,real_driver_no_compatible_existing_leg,,,,,,,,,,student_swap_car_household_donor,1,primary,11,F,child,False
hk_person_00030726,hk_hh_0012548,day_school_student,0,car_passenger,,,27516.0,609.0,home,home_hk_hh_0012548,205550.078,2467066.656,school_primary,school_169,213075.87,2466645.811,10508.72,28125.0,1,4,0,0,real_driver_no_compatible_existing_leg,,,,,,,,,,student_swap_car_household_donor,1,primary,7,F,child,False
hk_person_00030726,hk_hh_0012548,day_school_student,1,car_passenger,,,55811.0,565.0,school_primary,school_169,213075.87,2466645.811,home,home_hk_hh_0012548,205550.078,2467066.656,10205.312999999998,56376.0,1,4,0,0,real_driver_no_compatible_existing_leg,,,,,,,,,,student_swap_car_household_donor,1,primary,7,F,child,False
