person_id,household_id,role,allocation_source,student_stage,age,sex,relationship_role,household_private_vehicle_count,car_passenger_leg_count,compatible_leg_count,direct_leg_count,common_direct_driver_count,common_detour_screen_driver_count,candidate_tour_status,candidate_same_driver_person_id
hk_person_00000557,hk_hh_0000251,day_school_student,student_swap_car_household_donor,primary,6,F,child,2,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00011198,hk_hh_0004864,day_school_student,student_swap_car_household_donor,primary,6,M,child,1,2,0,0,0,0,no_real_driver_current_plan,
hk_person_00011437,hk_hh_0004958,day_school_student,student_swap_car_household_donor,secondary,12,M,child,2,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00012333,hk_hh_0005307,day_school_student,student_swap_car_household_donor,secondary,12,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00014729,hk_hh_0006285,day_school_student,student_original_private_vehicle_retained,primary,10,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00015295,hk_hh_0006512,day_school_student,student_original_private_vehicle_retained,secondary,13,F,child,2,2,2,2,1,1,complete_direct_same_driver,hk_person_00015293
hk_person_00017787,hk_hh_0007553,day_school_student,student_swap_car_household_donor,primary,11,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00030726,hk_hh_0012548,day_school_student,student_swap_car_household_donor,primary,7,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00031503,hk_hh_0012795,day_school_student,student_swap_car_household_donor,primary,11,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00034988,hk_hh_0013913,day_school_student,student_swap_car_household_donor,secondary,16,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00036068,hk_hh_0014256,day_school_student,student_swap_car_household_donor,secondary,14,F,child,3,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00039728,hk_hh_0015433,day_school_student,student_original_private_vehicle_retained,secondary,15,M,child,1,2,2,2,1,1,complete_direct_same_driver,hk_person_00039727
hk_person_00041295,hk_hh_0015941,day_school_student,student_swap_car_household_donor,secondary,17,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00046231,hk_hh_0017473,day_school_student,student_swap_car_household_donor,secondary,16,F,child,2,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00047231,hk_hh_0017742,day_school_student,student_original_private_vehicle_retained,secondary,15,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00048121,hk_hh_0017982,day_school_student,student_original_private_vehicle_retained,kindergarten,3,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00051944,hk_hh_0019003,day_school_student,student_original_private_vehicle_retained,kindergarten,3,M,child,2,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00064506,hk_hh_0022446,day_school_student,student_original_private_vehicle_retained,primary,11,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00064565,hk_hh_0022465,day_school_student,student_swap_car_household_donor,primary,9,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00079749,hk_hh_0027053,day_school_student,student_swap_car_household_donor,primary,8,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00082237,hk_hh_0027810,day_school_student,student_swap_car_household_donor,primary,8,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00082267,hk_hh_0027825,day_school_student,student_original_private_vehicle_retained,secondary,17,M,child,3,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00082270,hk_hh_0027825,day_school_student,student_swap_car_household_donor,secondary,17,F,child,3,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00082813,hk_hh_0028056,day_school_student,student_original_private_vehicle_retained,secondary,14,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00093069,hk_hh_0032150,day_school_student,student_swap_car_household_donor,special,11,M,child,2,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00097005,hk_hh_0033710,day_school_student,student_original_private_vehicle_retained,primary,6,M,child,1,2,2,2,1,1,complete_direct_same_driver,hk_person_00097003
hk_person_00108476,hk_hh_0038270,day_school_student,student_swap_car_household_donor,kindergarten,4,F,child,3,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00116581,hk_hh_0041464,fixed_worker,adult_retained_private_car_passenger_van,,45,F,reference_person,1,2,0,0,0,0,no_real_driver_current_plan,
hk_person_00117827,hk_hh_0041964,day_school_student,student_original_private_vehicle_retained,primary,9,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00127665,hk_hh_0045830,day_school_student,student_original_private_vehicle_retained,primary,8,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00133388,hk_hh_0047846,fixed_worker,adult_retained_private_car_passenger_van,,22,M,partner_or_other_adult,1,2,0,0,0,0,no_real_driver_current_plan,
hk_person_00138607,hk_hh_0049736,day_school_student,student_swap_car_household_donor,secondary,17,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
