candidate_group_id,household_id,candidate_source,new_candidate,passenger_person_id,passenger_leg_index,driver_person_id,driver_leg_index,vehicle_id,passenger_planned_departure_time_s,driver_planned_departure_time_s,passenger_ready_before_driver_s,origin_access_gap_m,destination_egress_gap_m,passenger_pickup_link,passenger_dropoff_link,driver_route_start_link,driver_route_end_link
joint:hk_hh_0006512:hk_person_00015295:0,hk_hh_0006512,legacy_complete_direct_pair,false,hk_person_00015295,0,hk_person_00015293,1,hk_vehicle_0001774,23400.0,23418.0,18.0,11.68622882213382,39.639592795614966,road_2097_0_r,road_4883_0_f,road_2097_0_r,road_4883_0_f
joint:hk_hh_0006512:hk_person_00015295:1,hk_hh_0006512,legacy_complete_direct_pair,false,hk_person_00015295,1,hk_person_00015293,10,hk_vehicle_0001774,59338.0,59399.0,61.0,39.639592795614966,11.68622882213382,road_4883_0_f,road_2097_0_r,road_4883_0_f,road_2097_0_r
joint:hk_hh_0015433:hk_person_00039728:0,hk_hh_0015433,legacy_complete_direct_pair,false,hk_person_00039728,0,hk_person_00039727,1,hk_vehicle_0004692,27593.0,27617.0,24.0,15.809713975156729,32.870328960138814,road_2849_0_r,road_115799_0_r,road_2849_0_r,road_115799_0_r
joint:hk_hh_0015433:hk_person_00039728:1,hk_hh_0015433,legacy_complete_direct_pair,false,hk_person_00039728,1,hk_person_00039727,10,hk_vehicle_0004692,59733.0,59784.0,51.0,32.870328960138814,15.809713975156729,road_115799_0_r,road_2849_0_r,road_115799_0_r,road_2849_0_r
joint:hk_hh_0033710:hk_person_00097005:0,hk_hh_0033710,legacy_complete_direct_pair,false,hk_person_00097005,0,hk_person_00097003,1,hk_vehicle_0010720,28362.0,28399.0,37.0,24.22418535267854,36.89576274494762,road_64156_0_f,road_1291_0_r,road_64156_0_f,road_1291_0_r
joint:hk_hh_0033710:hk_person_00097005:1,hk_hh_0033710,legacy_complete_direct_pair,false,hk_person_00097005,1,hk_person_00097003,10,hk_vehicle_0010720,58236.0,58293.0,57.0,36.89576274494762,24.22418535267854,road_1291_0_r,road_64156_0_f,road_1291_0_r,road_64156_0_f
joint:hk_hh_0052911:hk_person_00147444:0,hk_hh_0052911,existing_car_leg_detour_screen,true,hk_person_00147444,0,hk_person_00147443,1,hk_vehicle_0015996,24243.0,25735.0,1492.0,15.034716612536041,6523.870805464512,road_4880_0_f,road_115799_0_r,road_4880_0_f,road_269493_0_r
joint:hk_hh_0052911:hk_person_00147447:0,hk_hh_0052911,legacy_complete_direct_pair,false,hk_person_00147447,0,hk_person_00147443,1,hk_vehicle_0015996,25712.0,25735.0,23.0,15.034716612536041,22.47423381313147,road_4880_0_f,road_269493_0_r,road_4880_0_f,road_269493_0_r
joint:hk_hh_0052911:hk_person_00147447:1,hk_hh_0052911,legacy_complete_direct_pair,false,hk_person_00147447,1,hk_person_00147443,10,hk_vehicle_0015996,55628.0,55663.0,35.0,22.47423381313147,15.034716612536041,road_269493_0_r,road_4880_0_f,road_269493_0_r,road_4880_0_f
joint:hk_hh_0053180:hk_person_00148138:0,hk_hh_0053180,existing_car_leg_detour_screen,true,hk_person_00148138,0,hk_person_00148136,1,hk_vehicle_0016059,27859.0,26131.0,-1728.0,24.608082452790033,2512.084485788311,road_2147_0_f,road_5658_0_f,road_2147_0_f,road_3803_0_f
