destination_facility_id,tcs_zone,dcca,study_area_id,assignment_method,source_note
education_tertiary_poi_igeocom:21096228,21,3816,nt_tseung_kwan_o,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:21104800,16,3428,nt_tin_shui_wai,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:21104832,8,2419,dc_24,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:21104962,18,3502,nt_fanling_sheung_shui_kwu_tung,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:21105149,10,2511,dc_25,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:21105151,12,3119,nt_tsuen_wan_kwai_chung_area,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:21105152,12,3119,nt_tsuen_wan_kwai_chung_area,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:21105170,14,3305,nt_tuen_mun,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:21105250,22,3904,nt_tung_chung,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:21105296,15,3402,nt_yuen_long,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:21105401,4,1408,dc_14,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:21105483,5,2719,dc_27,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:21105501,25,3802,nt_other_dc_38,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:21105622,7,2324,dc_23,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:21105845,20,3727,nt_sha_tin_ma_on_shan_area,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:21105933,4,1403,dc_14,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:21105948,8,2406,dc_24,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:21106070,11,3214,nt_tsuen_wan_tsuen_wan_area,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
education_tertiary_poi_igeocom:21106071,2,1207,dc_12,point_within_adopted_study_area_and_dcca_classification,census_study_areas+2021_DCCA+student_school_TCS_classifier
