person_id,person_index,household_id,household_index,member_sequence,relationship_role,age,age_band_census,sex,dcca,grid_id,tcs_zone,household_private_vehicle_count,potential_household_vehicle_access,is_designated_driver,assigned_vehicle_count,expansion_weight,dc_eng,income_band_tcs,housing_type,role,student_stage,destination_grid_id,destination_facility_id,mode_detail,matsim_mode,border_control_point,home_x,home_y,home_facility_id,outbound_time_s,return_time_s,assigned_vehicle_id,selection_stratum,selection_stratum_quota
hk_person_00116581,116581,hk_hh_0041464,41464,0,reference_person,45,4,F,1108,674,1,1,True,True,1,20.000024482134844,Central and Western,4.0,private_permanent,fixed_worker,,739,work_poi_osm:1180107922:1658,private_car_passenger_van,ride,,203914.04549118388,2466912.9922181973,home_hk_hh_0041464,31404.193913086394,72820.1166249741,,1|F|4,1
hk_person_00133388,133388,hk_hh_0047846,47846,1,partner_or_other_adult,22,2,M,1109,674,1,1,True,True,1,20.000024482134844,Central and Western,2.0,private_permanent,fixed_worker,,1189,work_poi_osm:missing:52460,private_car_passenger_van,ride,,204080.62441252166,2466632.748733448,home_hk_hh_0047846,29944.38064817005,67676.74810882084,,1|M|2,1
hk_person_00148411,148411,hk_hh_0053289,53289,0,reference_person,49,4,M,1110,708,1,1,True,True,1,20.000024482134844,Central and Western,1.0,private_permanent,fixed_worker,,680,work_poi_osm:missing:55409,private_car_passenger_van,ride,,204782.03818976704,2467358.2850206904,home_hk_hh_0053289,26308.766604857774,65093.59740617887,,1|M|4,1
hk_person_00170782,170782,hk_hh_0062517,62517,1,partner_or_other_adult,34,3,F,1111,744,1,1,True,True,1,20.000024482134844,Central and Western,2.0,private_permanent,fixed_worker,,980,work_poi_igeocom:532812,private_car_passenger_van,ride,,205641.2402689404,2467342.0015521883,home_hk_hh_0062517,28351.114651771608,70230.39683706606,,1|F|3,1
hk_person_00230729,230729,hk_hh_0088747,88747,0,reference_person,21,2,F,1115,708,1,1,True,True,1,20.000024482134844,Central and Western,4.0,private_permanent,fixed_worker,,859,work_poi_osm:11188314966:41072,private_car_passenger_van,ride,,205038.04857992695,2467261.070821242,home_hk_hh_0088747,29926.517776640154,60633.01712202042,,1|F|2,1
hk_person_00327633,327633,hk_hh_0126813,126813,0,reference_person,37,3,M,1208,940,2,3,True,True,1,20.000024482134844,Wan Chai,5.0,private_permanent,fixed_worker,,1154,work_poi_igeocom:549648,private_car_passenger_van,ride,,210234.44933666068,2464762.221969147,home_hk_hh_0126813,24935.527968369053,61275.52405135113,,2|M|3,1
hk_person_00356431,356431,hk_hh_0136719,136719,0,reference_person,56,4,F,1210,900,2,2,True,True,1,20.000024482134844,Wan Chai,5.0,private_permanent,fixed_worker,,1033,work_poi_osm:missing:69786,private_car_passenger_van,ride,,209830.6053608085,2466155.0431470745,home_hk_hh_0136719,28223.065055895826,56851.26154934168,,2|F|4,1
hk_person_00369900,369900,hk_hh_0140805,140805,3,other_member,30,3,F,1211,899,2,2,True,True,1,20.000024482134844,Wan Chai,5.0,private_permanent,fixed_worker,,939,work_poi_igeocom:558042,private_car_passenger_van,ride,,209727.4657352012,2465233.4312891522,home_hk_hh_0140805,26345.197040046274,54438.307459432945,,2|F|3,1
hk_person_00404472,404472,hk_hh_0154844,154844,1,partner_or_other_adult,62,4,M,1301,1071,3,2,True,True,1,20.000024482134844,Eastern,5.0,private_permanent,fixed_worker,,1074,work_poi_osm:missing:69756,private_car_passenger_van,ride,,213200.32520311075,2467108.439571474,home_hk_hh_0154844,35380.32188218888,59718.182097539015,,3|M|4,2
hk_person_00472110,472110,hk_hh_0180221,180221,1,partner_or_other_adult,42,3,M,1305,1109,3,1,True,True,1,20.000024482134844,Eastern,3.0,subsidised_home_ownership,fixed_worker,,1111,work_poi_igeocom:560780,private_car_passenger_van,ride,,214308.76102220017,2466626.292124128,home_hk_hh_0180221,30069.19096543462,68779.238641497,,3|M|3,2
