displaced_person_id,donor_person_id,student_stage,displaced_tcs_zone,donor_tcs_zone,donor_original_mode,donor_original_mode_detail,pairing_rule,home_distance_m
hk_collective_000033,hk_person_04624123,secondary,14,14,pt,franchised_bus,same_stage_tcs,0.0
hk_collective_000155,hk_person_04345384,primary,14,14,walk,walk,same_stage_tcs,0.0
hk_collective_000385,hk_person_04624131,secondary,23,23,pt,plb,same_stage_tcs,0.0
hk_collective_000491,hk_person_04918288,primary,23,23,walk,walk,same_stage_tcs,0.0
hk_collective_000667,hk_person_04724735,secondary,15,15,pt,franchised_bus,same_stage_tcs,0.0
hk_collective_000670,hk_person_04723518,kindergarten,15,15,pt,franchised_bus,same_stage_tcs,0.0
hk_collective_000752,hk_person_04798805,primary,15,15,walk,walk,same_stage_tcs,0.0
hk_collective_001398,hk_person_00973221,primary,4,4,pt,mtr,same_stage_tcs,0.0
hk_collective_002282,hk_person_06316118,primary,19,19,walk,walk,same_stage_tcs,0.0
hk_collective_002343,hk_person_06606133,primary,19,19,walk,walk,same_stage_tcs,0.0
hk_collective_002457,hk_person_00294910,secondary,2,2,pt,franchised_bus,same_stage_tcs,0.0
hk_collective_002464,hk_person_00246269,primary,2,2,pt,mtr,same_stage_tcs,0.0
hk_collective_002697,hk_person_01059099,kindergarten,4,4,walk,walk,same_stage_tcs,0.0
hk_collective_002723,hk_person_00332931,kindergarten,2,2,pt,mtr,same_stage_tcs,0.0
hk_collective_003173,hk_person_05817593,kindergarten,17,17,pt,franchised_bus,same_stage_tcs,0.0
hk_collective_003528,hk_person_02632982,kindergarten,9,9,walk,walk,same_stage_tcs,0.0
hk_collective_003702,hk_person_00421745,primary,3,3,pt,lrt,same_stage_tcs,0.0
hk_collective_003868,hk_person_06073553,secondary,25,25,pt,mtr,same_stage_tcs,0.0
hk_person_00026622,hk_person_00011198,primary,1,1,walk,walk,same_stage_tcs,0.0
hk_person_00026640,hk_person_00012333,secondary,1,1,pt,lrt,same_stage_tcs,0.0
hk_person_00046434,hk_person_00041295,secondary,1,1,walk,walk,same_stage_tcs,0.0
hk_person_00050617,hk_person_00093069,special,1,1,pt,franchised_bus,same_stage_tcs,0.0
hk_person_00051015,hk_person_00036068,secondary,1,1,pt,mtr,same_stage_tcs,0.0
hk_person_00065050,hk_person_00108476,kindergarten,1,1,pt,mtr,same_stage_tcs,0.0
hk_person_00071250,hk_person_00082270,secondary,1,1,walk,walk,same_stage_tcs,0.0
hk_person_00083210,hk_person_00148093,primary,1,1,walk,walk,same_stage_tcs,0.0
hk_person_00093902,hk_person_00138607,secondary,1,1,walk,walk,same_stage_tcs,0.0
hk_person_00095352,hk_person_00030726,primary,1,1,pt,franchised_bus,same_stage_tcs,0.0
hk_person_00097891,hk_person_00064565,primary,1,1,pt,lrt,same_stage_tcs,0.0
hk_person_00098562,hk_person_00046231,secondary,1,1,walk,walk,same_stage_tcs,0.0
hk_person_00101621,hk_person_00155582,primary,1,1,walk,walk,same_stage_tcs,0.0
hk_person_00114678,hk_person_00148138,primary,1,1,pt,franchised_bus,same_stage_tcs,0.0
hk_person_00123740,hk_person_00017787,primary,1,1,pt,mtr,same_stage_tcs,0.0
hk_person_00128432,hk_person_00034988,secondary,1,1,pt,mtr,same_stage_tcs,0.0
hk_person_00129086,hk_person_00227067,secondary,1,1,walk,walk,same_stage_tcs,0.0
hk_person_00145464,hk_person_00164265,special,1,1,walk,walk,same_stage_tcs,0.0
hk_person_00147232,hk_person_00187154,secondary,1,1,pt,ferry,same_stage_tcs,0.0
hk_person_00153869,hk_person_00000557,primary,1,1,pt,mtr,same_stage_tcs,0.0
hk_person_00176766,hk_person_00082237,primary,1,1,pt,mtr,same_stage_tcs,0.0
hk_person_00190963,hk_person_00079749,primary,1,1,walk,walk,same_stage_tcs,0.0
hk_person_00195175,hk_person_00157278,kindergarten,1,1,walk,walk,same_stage_tcs,0.0
hk_person_00216100,hk_person_00011437,secondary,1,1,walk,walk,same_stage_tcs,0.0
hk_person_00217864,hk_person_00147444,secondary,1,1,walk,walk,same_stage_tcs,0.0
hk_person_00228975,hk_person_00031503,primary,1,1,pt,franchised_bus,same_stage_tcs,0.0
hk_person_00231172,hk_person_00333167,kindergarten,2,2,walk,walk,same_stage_tcs,0.0
hk_person_00239294,hk_person_00314235,kindergarten,2,2,walk,walk,same_stage_tcs,0.0
hk_person_00242506,hk_person_00245704,primary,2,2,walk,walk,same_stage_tcs,0.0
hk_person_00246409,hk_person_00258497,primary,2,2,pt,plb,same_stage_tcs,0.0
hk_person_00264782,hk_person_00337252,primary,2,2,pt,mtr,same_stage_tcs,0.0
hk_person_00270037,hk_person_00268522,kindergarten,2,2,pt,mtr,same_stage_tcs,0.0
hk_person_00286950,hk_person_00245931,kindergarten,2,2,walk,walk,same_stage_tcs,0.0
hk_person_00290475,hk_person_00240380,primary,2,2,pt,mtr,same_stage_tcs,0.0
hk_person_00295474,hk_person_00307189,primary,2,2,pt,franchised_bus,same_stage_tcs,0.0
hk_person_00301183,hk_person_00341106,kindergarten,2,2,walk,walk,same_stage_tcs,0.0
hk_person_00347740,hk_person_00394146,primary,2,2,walk,walk,same_stage_tcs,0.0
hk_person_00363068,hk_person_00385715,kindergarten,2,2,pt,mtr,same_stage_tcs,0.0
hk_person_00374779,hk_person_00243293,secondary,2,2,walk,walk,same_stage_tcs,0.0
hk_person_00383842,hk_person_00326770,secondary,2,2,pt,franchised_bus,same_stage_tcs,0.0
hk_person_00396564,hk_person_00710613,primary,3,3,pt,franchised_bus,same_stage_tcs,0.0
hk_person_00400398,hk_person_00785469,secondary,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00403972,hk_person_00535845,secondary,3,3,pt,mtr,same_stage_tcs,0.0
hk_person_00410435,hk_person_00812940,secondary,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00448090,hk_person_00426676,secondary,3,3,pt,franchised_bus,same_stage_tcs,0.0
hk_person_00451580,hk_person_00420600,kindergarten,3,3,pt,tram,same_stage_tcs,0.0
hk_person_00470137,hk_person_00420603,primary,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00474958,hk_person_00432322,secondary,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00488830,hk_person_00464176,primary,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00499965,hk_person_00479501,primary,3,3,pt,mtr,same_stage_tcs,0.0
hk_person_00500823,hk_person_00825046,secondary,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00501797,hk_person_00856941,secondary,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00510678,hk_person_00533877,secondary,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00531423,hk_person_00617596,secondary,3,3,pt,mtr,same_stage_tcs,0.0
hk_person_00537598,hk_person_00655216,kindergarten,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00540916,hk_person_00634940,secondary,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00548874,hk_person_00678458,secondary,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00549672,hk_person_00553108,kindergarten,3,3,pt,mtr,same_stage_tcs,0.0
hk_person_00556281,hk_person_00558727,secondary,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00569247,hk_person_00757132,primary,3,3,pt,plb,same_stage_tcs,0.0
hk_person_00608987,hk_person_00451136,primary,3,3,pt,mtr,same_stage_tcs,0.0
hk_person_00609840,hk_person_00632160,secondary,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00632518,hk_person_00866651,secondary,3,3,pt,mtr,same_stage_tcs,0.0
hk_person_00633065,hk_person_00541956,primary,3,3,walk,walk,same_stage_tcs,0.0
