scenario,distance_band,legs_5pct,expanded_legs,total_fare_hkd_5pct,expanded_total_fare_hkd,mean_hkd,median_hkd,p10_hkd,p25_hkd,p75_hkd,p90_hkd,p95_hkd,within_flagfall_share,tolled_tunnel_share,taxi_type_unresolved_share,route_distance_unavailable_share,congestion_proxy_unavailable_share
low,00_0_2km,3967.0,79340.0,112939.0,2258780.0,28.469624401310814,29.0,25.5,29.0,29.0,29.0,29.0,1.0,0.0,0.04310562137635493,0.0,1.0
low,01_2_5km,6477.0,129540.0,279365.4,5587308.0,43.13191292264938,42.6,31.1,35.3,50.0,56.3,58.4,0.0,0.0,0.043847460243940095,0.0,1.0
low,02_5_10km,8984.0,179680.0,773984.0999999999,15479681.999999996,86.15139136242207,85.7,66.8,73.1,98.3,106.7,108.1,0.0,0.0,0.019367764915405164,0.0,1.0
low,03_10_20km,9458.0,189160.0,1283086.0000000002,25661720.000000004,135.66145062381057,131.9,113.7,119.3,150.1,164.1,171.1,0.0,0.0,0.03489109748361176,0.0,1.0
low,04_20km_plus,5371.0,107420.0,1320598.5,26411970.0,245.87572146713833,242.5,187.9,204.7,269.6,315.3,340.5,0.0,0.0,0.2493018059951592,0.0,1.0
base,00_0_2km,4323.0,86460.0,123145.0,2462900.0,28.486005089058523,29.0,25.5,29.0,29.0,29.0,29.0,1.0,0.0,0.043950959981494335,0.0,1.0
base,01_2_5km,7060.0,141200.0,304291.8,6085836.0,43.10082152974504,42.6,31.1,35.3,50.0,56.3,58.4,0.0,0.0,0.044475920679886684,0.0,1.0
base,02_5_10km,9799.0,195980.0,844947.3,16898946.0,86.22791101132769,85.7,66.8,73.1,98.3,106.7,108.1,0.0,0.0,0.019185631186855803,0.0,1.0
base,03_10_20km,10274.0,205480.0,1394312.0,27886240.0,135.71267276620597,131.9,113.7,119.3,150.1,165.1,171.1,0.0,0.0,0.036207903445590814,0.0,1.0
base,04_20km_plus,5830.0,116600.0,1429753.0,28595060.0,245.24065180102917,241.1,187.9,203.3,269.1,315.3,340.1,0.0,0.0,0.25197255574614064,0.0,1.0
high,00_0_2km,4870.0,97400.0,138720.5,2774410.0,28.484702258726898,29.0,25.5,29.0,29.0,29.0,29.0,1.0,0.0,0.0459958932238193,0.0,1.0
high,01_2_5km,7925.0,158500.0,341179.10000000003,6823582.000000001,43.05099053627761,42.6,31.1,35.3,50.0,56.3,58.4,0.0,0.0,0.04555205047318612,0.0,1.0
high,02_5_10km,10958.0,219160.0,943700.0,18874000.0,86.11972987771492,85.7,66.8,73.1,98.3,106.7,108.1,0.0,0.0,0.019985398795400622,0.0,1.0
high,03_10_20km,11406.0,228120.0,1547321.6,30946432.0,135.6585656671927,131.9,113.7,119.3,150.1,164.6,171.1,0.0,0.0,0.039014553743643696,0.0,1.0
high,04_20km_plus,7351.0,147020.0,1842985.9000000001,36859718.0,250.712270439396,246.7,187.9,207.5,278.9,323.7,344.7,0.0,0.0,0.3011835124472861,0.0,1.0
