scenario,person_id,taxi_legs_5pct,daily_total_fare_hkd_5pct,expanded_daily_total_fare_hkd
low,hk_collective_000024,3,886.4000000000001,17728.0
low,hk_collective_000082,2,661.4,13228.0
low,hk_collective_000121,2,51.0,1020.0
low,hk_collective_000243,2,75.69999999999999,1513.9999999999998
low,hk_collective_000250,2,528.4,10568.0
low,hk_collective_000251,2,164.5,3290.0
low,hk_collective_000338,2,104.2,2084.0
low,hk_collective_000429,2,87.1,1742.0
low,hk_collective_000516,2,375.0,7500.0
low,hk_collective_000529,2,632.0,12640.0
low,hk_collective_000569,3,625.3,12506.0
low,hk_collective_000719,2,83.30000000000001,1666.0000000000002
low,hk_collective_000725,3,488.8,9776.0
low,hk_collective_000802,2,399.6,7992.0
low,hk_collective_000856,3,436.3,8726.0
low,hk_collective_000887,2,247.6,4952.0
low,hk_collective_000968,3,713.5,14270.0
low,hk_collective_001006,3,447.5,8950.0
low,hk_collective_001082,3,348.1,6962.0
low,hk_collective_001232,2,228.8,4576.0
low,hk_collective_001288,2,205.7,4114.0
low,hk_collective_001383,2,287.6,5752.0
low,hk_collective_001395,2,230.2,4604.0
low,hk_collective_001399,3,383.1,7662.0
low,hk_collective_001402,3,253.6,5072.0
low,hk_collective_001415,2,345.0,6900.0
low,hk_collective_001419,2,262.4,5248.0
low,hk_collective_001444,2,475.2,9504.0
low,hk_collective_001494,2,451.4,9028.0
low,hk_collective_001510,2,214.0,4280.0
low,hk_collective_001558,3,605.9,12118.0
low,hk_collective_001588,3,218.1,4362.0
low,hk_collective_001594,3,238.2,4764.0
low,hk_collective_001607,2,160.9,3218.0
low,hk_collective_001611,3,276.7,5534.0
low,hk_collective_001626,2,277.8,5556.0
low,hk_collective_001644,2,165.1,3302.0
low,hk_collective_001680,2,429.0,8580.0
low,hk_collective_001743,2,199.39999999999998,3987.9999999999995
low,hk_collective_001752,2,70.6,1412.0
low,hk_collective_001755,3,279.5,5590.0
low,hk_collective_001765,2,163.0,3260.0
low,hk_collective_001768,3,334.79999999999995,6695.999999999999
low,hk_collective_001793,2,112.6,2252.0
low,hk_collective_001794,2,66.4,1328.0
low,hk_collective_001927,3,187.8,3756.0
low,hk_collective_001928,2,287.6,5752.0
low,hk_collective_001930,2,212.0,4240.0
low,hk_collective_001947,2,206.39999999999998,4128.0
low,hk_collective_001959,3,116.4,2328.0
low,hk_collective_001983,3,187.6,3752.0
low,hk_collective_001984,2,478.0,9560.0
low,hk_collective_002024,4,743.4000000000001,14868.000000000002
low,hk_collective_002067,2,142.0,2840.0
low,hk_collective_002075,2,179.8,3596.0
low,hk_collective_002080,3,311.7,6234.0
low,hk_collective_002083,2,146.2,2924.0
low,hk_collective_002085,3,198.3,3966.0
