scenario,population_group,role,legs_5pct,expanded_legs,total_fare_hkd_5pct,expanded_total_fare_hkd,mean_hkd,median_hkd,p10_hkd,p25_hkd,p75_hkd,p90_hkd,p95_hkd,within_flagfall_share,tolled_tunnel_share,taxi_type_unresolved_share,route_distance_unavailable_share,congestion_proxy_unavailable_share
low,resident,day_school_student,1982.0,39640.0,179541.09999999998,3590821.9999999995,90.58582240161452,75.2,29.0,37.4,122.1,176.2000000000001,222.9,0.1574167507568113,0.0,0.02472250252270434,0.0,1.0
low,resident,fixed_worker,8891.0,177820.0,1106617.6,22132352.0,124.46491958159937,112.3,39.5,71.0,154.3,236.9,278.9,0.05522438420875042,0.0,0.03610392531773704,0.0,1.0
low,resident,home_only,11758.0,235160.0,1319433.0,26388660.0,112.21576798775303,106.7,33.2,62.6,143.85,199.1,243.9,0.07943527810852186,0.0,0.019220955944888585,0.0,1.0
low,resident,tertiary_student,377.0,7540.0,45258.3,905166.0,120.04854111405837,116.5,35.3,75.2,147.3,201.06000000000006,240.25999999999996,0.07957559681697612,0.0,0.03183023872679045,0.0,1.0
low,resident,work_home,1427.0,28540.0,151879.09999999998,3037581.9999999995,106.43244569025927,100.4,31.1,56.099999999999994,137.3,185.6600000000001,236.78000000000003,0.09530483531885074,0.0,0.01751927119831815,0.0,1.0
low,resident,work_mobile,1201.0,24020.0,132452.8,2649056.0,110.28542880932555,103.9,31.1,54.0,143.1,205.7,249.5,0.093255620316403,0.0,0.014154870940882597,0.0,1.0
low,visitor,mainland_visitor_overnight,4941.0,98820.0,395198.69999999995,7903973.999999999,79.98354584092289,50.0,29.0,29.0,102.5,187.9,241.1,0.2821291236591783,0.0,0.08844363489172233,0.0,1.0
low,visitor,mainland_visitor_same_day,658.0,13160.0,103382.1,2067642.0,157.11565349544074,138.89999999999998,31.1,46.324999999999996,249.5,298.9200000000001,333.5,0.0911854103343465,0.0,0.32978723404255317,0.0,1.0
low,visitor,other_visitor_overnight,2866.0,57320.0,300303.9,6006078.0,104.78154221912074,73.1,29.0,39.5,133.3,261.4,266.3,0.1716678297278437,0.0,0.29239357990230286,0.0,1.0
low,visitor,other_visitor_same_day,156.0,3120.0,35906.399999999994,718127.9999999999,230.16923076923072,249.5,76.25,208.55,279.25,315.3,345.4,0.038461538461538464,0.0,1.0,0.0,1.0
base,resident,day_school_student,2126.0,42520.0,194453.40000000002,3889068.0000000005,91.46444026340546,77.3,29.0,37.4,123.5,175.10000000000002,224.3,0.15380997177798683,0.0,0.023047977422389464,0.0,1.0
base,resident,fixed_worker,9424.0,188480.0,1171814.9,23436298.0,124.34368633276739,112.3,39.5,71.0,154.3,237.60000000000073,277.5,0.05655772495755518,0.0,0.0350169779286927,0.0,1.0
base,resident,home_only,12905.0,258100.0,1444072.8000000003,28881456.000000007,111.90025571483923,106.7,33.2,62.6,144.5,198.7,242.5,0.07834172801239829,0.0,0.01851995350639287,0.0,1.0
base,resident,tertiary_student,399.0,7980.0,47380.5,947610.0,118.74812030075188,113.7,35.3,74.15,144.5,204.38,253.71999999999986,0.07769423558897243,0.0,0.03508771929824561,0.0,1.0
base,resident,work_home,1579.0,31580.0,168592.09999999998,3371841.9999999995,106.77143761874602,100.4,31.1,56.3,134.7,186.5,237.03999999999988,0.09183027232425586,0.0,0.016466117796073463,0.0,1.0
base,resident,work_mobile,1281.0,25620.0,140151.2,2803024.0,109.40765027322405,103.9,29.0,52.1,140.3,201.9,249.5,0.09601873536299765,0.0,0.01327088212334114,0.0,1.0
base,visitor,mainland_visitor_overnight,5447.0,108940.0,437181.4,8743628.0,80.26095098219204,50.0,29.0,29.0,103.9,187.9,241.1,0.27941986414540115,0.0,0.09197723517532587,0.0,1.0
base,visitor,mainland_visitor_same_day,728.0,14560.0,115103.9,2302078.0,158.10975274725274,149.0,31.1,43.7,249.5,302.7,334.9,0.09752747252747253,0.0,0.33379120879120877,0.0,1.0
base,visitor,other_visitor_overnight,3226.0,64520.0,338353.8,6767076.0,104.88338499690018,73.1,29.0,39.5,135.75,257.9,266.3,0.17203967761934283,0.0,0.29231246125232485,0.0,1.0
base,visitor,other_visitor_same_day,171.0,3420.0,39345.100000000006,786902.0000000001,230.08830409356727,249.5,71.0,205.39999999999998,280.3,319.5,344.0,0.029239766081871343,0.0,1.0,0.0,1.0
high,resident,day_school_student,2247.0,44940.0,207391.0,4147820.0,92.29684023141967,79.4,29.0,38.099999999999994,124.9,179.9000000000001,221.5,0.15175789942145082,0.0,0.022251891410769914,0.0,1.0
high,resident,fixed_worker,10104.0,202080.0,1246297.9,24925958.0,123.34698139350752,112.3,38.8,71.0,154.3,234.1,276.1,0.05779889152810768,0.0,0.033353127474267615,0.0,1.0
high,resident,home_only,14300.0,286000.0,1601268.3,32025366.0,111.97680419580419,106.7,33.2,62.6,144.1,199.1,243.5,0.07741258741258741,0.0,0.01804195804195804,0.0,1.0
high,resident,tertiary_student,460.0,9200.0,54810.5,1096210.0,119.15326086956522,114.4,36.74000000000001,73.1,144.85,201.54000000000002,252.34999999999997,0.07391304347826087,0.0,0.030434782608695653,0.0,1.0
high,resident,work_home,1738.0,34760.0,186010.3,3720206.0,107.02548906789413,100.7,31.1,58.4,136.1,182.3,236.55999999999995,0.09148446490218642,0.0,0.01668584579976985,0.0,1.0
high,resident,work_mobile,1451.0,29020.0,159022.5,3180450.0,109.59510682288077,103.9,29.3,52.1,141.7,201.9,248.8,0.09510682288077188,0.0,0.013094417643004824,0.0,1.0
high,visitor,mainland_visitor_overnight,7001.0,140020.0,686427.2000000001,13728544.000000002,98.04702185402087,62.6,29.0,29.0,123.5,253.7,300.9,0.2521068418797315,0.0,0.12041136980431368,0.0,1.0
high,visitor,mainland_visitor_same_day,848.0,16960.0,133042.5,2660850.0,156.88974056603774,142.89999999999998,31.1,43.7,249.5,302.7,334.40999999999997,0.09551886792452831,0.0,0.31721698113207547,0.0,1.0
high,visitor,other_visitor_overnight,4167.0,83340.0,495814.7,9916294.0,118.98600911927046,79.4,29.0,41.6,210.3,266.3,294.3,0.15694744420446363,0.0,0.3479721622270218,0.0,1.0
high,visitor,other_visitor_same_day,194.0,3880.0,43822.2,876444.0,225.88762886597937,249.5,71.0,204.7,274.35,305.5,337.77,0.03608247422680412,0.0,1.0,0.0,1.0
