scenario,activity_purpose,legs_5pct,expanded_legs,total_fare_hkd_5pct,expanded_total_fare_hkd,mean_hkd,median_hkd,p10_hkd,p25_hkd,p75_hkd,p90_hkd,p95_hkd,within_flagfall_share,tolled_tunnel_share,taxi_type_unresolved_share,route_distance_unavailable_share,congestion_proxy_unavailable_share
low,dining,2222.0,44440.0,248043.8,4960876.0,111.63087308730873,106.7,31.2,63.8,141.7,196.3,241.1,0.08595859585958596,0.0,0.004500450045004501,0.0,1.0
low,dining>dining,219.0,4380.0,23681.6,473632.0,108.13515981735159,92.0,32.7,52.1,139.60000000000002,203.50000000000003,247.11999999999998,0.091324200913242,0.0,0.0273972602739726,0.0,1.0
low,dining>leisure,654.0,13080.0,75112.7,1502254.0,114.8512232415902,107.2,31.1,62.6,151.5,207.38000000000002,243.48000000000008,0.0856269113149847,0.0,0.03211009174311927,0.0,1.0
low,dining>medical,162.0,3240.0,19231.699999999997,384633.99999999994,118.71419753086418,111.6,31.39,64.7,152.8,203.3,253.62999999999997,0.08024691358024691,0.0,0.037037037037037035,0.0,1.0
low,dining>personal_business,276.0,5520.0,30509.0,610180.0,110.53985507246377,107.4,31.1,60.5,142.04999999999998,197.0,237.25,0.08333333333333333,0.0,0.010869565217391304,0.0,1.0
low,dining>shopping,792.0,15840.0,88916.9,1778338.0,112.26881313131312,105.3,35.3,66.275,138.9,194.75999999999996,252.3,0.07702020202020202,0.0,0.05303030303030303,0.0,1.0
low,dining>social,366.0,7320.0,41494.7,829894.0,113.37349726775956,109.5,35.3,62.6,144.4,192.8,248.1,0.08196721311475409,0.0,0.04918032786885246,0.0,1.0
low,leisure,2112.0,42240.0,239959.7,4799194.0,113.6172821969697,106.7,35.3,62.35,145.9,206.1,252.3,0.06439393939393939,0.0,0.007575757575757576,0.0,1.0
low,leisure>dining,771.0,15420.0,89093.0,1781860.0,115.55512321660181,106.7,35.3,64.7,147.10000000000002,220.1,253.7,0.0648508430609598,0.0,0.042801556420233464,0.0,1.0
low,leisure>leisure,150.0,3000.0,17328.8,346576.0,115.52533333333332,108.8,43.59,66.8,151.15,207.64,237.03999999999996,0.02,0.0,0.04,0.0,1.0
low,leisure>medical,123.0,2460.0,13591.699999999999,271834.0,110.50162601626015,110.9,31.520000000000003,65.75,142.4,179.22,230.4199999999998,0.08130081300813008,0.0,0.0,0.0,1.0
low,leisure>personal_business,216.0,4320.0,23022.7,460454.0,106.58657407407408,93.05,31.1,47.9,143.45,213.1,252.55,0.08333333333333333,0.0,0.027777777777777776,0.0,1.0
low,leisure>shopping,657.0,13140.0,72823.79999999999,1456475.9999999998,110.84292237442921,105.3,37.4,64.7,141.7,195.45999999999998,239.9799999999999,0.0639269406392694,0.0,0.0365296803652968,0.0,1.0
low,leisure>social,315.0,6300.0,36888.8,737776.0,117.10730158730159,112.3,36.14,67.85,141.7,202.74000000000004,247.54000000000002,0.0761904761904762,0.0,0.0380952380952381,0.0,1.0
low,medical,566.0,11320.0,64314.49999999999,1286289.9999999998,113.6298586572438,106.7,29.0,62.6,148.7,201.9,246.35,0.09717314487632508,0.0,0.0035335689045936395,0.0,1.0
low,medical>dining,174.0,3480.0,18865.600000000002,377312.00000000006,108.42298850574714,102.5,31.1,58.925,137.15,205.68000000000026,245.79,0.09195402298850575,0.0,0.017241379310344827,0.0,1.0
low,medical>leisure,141.0,2820.0,15453.800000000003,309076.00000000006,109.60141843971633,103.9,31.1,60.5,136.1,186.5,239.7,0.09219858156028368,0.0,0.02127659574468085,0.0,1.0
low,medical>medical,36.0,720.0,3494.7,69894.0,97.07499999999999,103.55000000000001,48.95,70.475,120.0,142.4,151.5,0.027777777777777776,0.0,0.0,0.0,1.0
low,medical>personal_business,63.0,1260.0,7411.1,148222.0,117.63650793650794,112.3,40.76,72.05,146.60000000000002,197.14000000000001,215.06,0.047619047619047616,0.0,0.0,0.0,1.0
low,medical>shopping,222.0,4440.0,24460.300000000003,489206.00000000006,110.18153153153155,104.6,33.2,56.824999999999996,140.3,194.76000000000002,229.88,0.08558558558558559,0.0,0.04054054054054054,0.0,1.0
low,medical>social,123.0,2460.0,13630.300000000001,272606.0,110.81544715447156,108.1,31.500000000000004,61.55,146.60000000000002,192.57999999999998,215.9,0.08130081300813008,0.0,0.024390243902439025,0.0,1.0
low,personal_business,812.0,16240.0,89086.7,1781734.0,109.71268472906404,108.1,33.2,60.3,140.3,187.9,240.3299999999999,0.06403940886699508,0.0,0.014778325123152709,0.0,1.0
low,personal_business>dining,243.0,4860.0,24662.7,493254.0,101.4925925925926,94.1,29.0,52.1,131.2,173.06000000000006,211.41999999999993,0.11934156378600823,0.0,0.012345679012345678,0.0,1.0
low,personal_business>leisure,168.0,3360.0,21113.1,422262.0,125.67321428571428,112.30000000000001,36.769999999999996,74.675,157.1,242.6400000000001,282.12000000000006,0.05952380952380952,0.0,0.03571428571428571,0.0,1.0
low,personal_business>medical,63.0,1260.0,6624.999999999999,132499.99999999997,105.15873015873015,111.9,34.040000000000006,58.400000000000006,130.5,189.3,198.82,0.06349206349206349,0.0,0.0,0.0,1.0
low,personal_business>personal_business,15.0,300.0,2427.9,48558.0,161.86,175.3,86.96,103.19999999999999,218.7,255.94,259.72,0.0,0.0,0.0,0.0,1.0
