scenario,origin_tcs_zone,destination_tcs_zone,legs_5pct,expanded_legs,total_fare_hkd_5pct,expanded_total_fare_hkd,mean_hkd,median_hkd,p10_hkd,p25_hkd,p75_hkd,p90_hkd,p95_hkd,within_flagfall_share,tolled_tunnel_share,taxi_type_unresolved_share,route_distance_unavailable_share,congestion_proxy_unavailable_share
low,-1,1,7.0,140.0,1348.8999999999999,26977.999999999996,192.7,214.5,136.10000000000002,187.9,214.5,221.22,226.26,0.0,0.0,1.0,0.0,1.0
low,-1,2,12.0,240.0,3444.7999999999997,68896.0,287.06666666666666,235.5,234.1,234.1,380.4,382.5,391.95,0.0,0.0,1.0,0.0,1.0
low,-1,3,14.0,280.0,2758.0,55160.0,197.0,236.9,126.58000000000001,144.85,236.9,256.5,256.5,0.0,0.0,1.0,0.0,1.0
low,-1,4,4.0,80.0,1348.0,26960.0,337.0,404.20000000000005,212.96000000000004,334.55,406.65,407.28,407.49,0.0,0.0,1.0,0.0,1.0
low,-1,5,24.0,480.0,6273.599999999999,125471.99999999999,261.4,201.9,193.36,196.3,334.9,337.7,337.7,0.0,0.0,1.0,0.0,1.0
low,-1,6,11.0,220.0,3538.3,70766.0,321.6636363636364,333.5,187.9,315.3,375.5,375.5,376.9,0.0,0.0,1.0,0.0,1.0
low,-1,7,5.0,100.0,828.2,16564.0,165.64000000000001,182.3,132.60000000000002,180.9,182.3,182.3,182.3,0.0,0.0,1.0,0.0,1.0
low,-1,8,5.0,100.0,940.9000000000001,18818.0,188.18,207.5,144.5,207.5,211.7,211.7,211.7,0.0,0.0,1.0,0.0,1.0
low,-1,9,3.0,60.0,846.5,16930.0,282.1666666666667,305.5,196.85999999999999,237.6,338.4,358.14,364.72,0.0,0.0,1.0,0.0,1.0
low,-1,10,4.0,80.0,1395.6,27912.0,348.9,350.3,345.40000000000003,348.55,350.65,351.28,351.49,0.0,0.0,1.0,0.0,1.0
low,-1,11,3.0,60.0,441.90000000000003,8838.0,147.3,147.3,147.3,147.3,147.3,147.3,147.3,0.0,0.0,1.0,0.0,1.0
low,-1,13,1.0,20.0,241.1,4822.0,241.1,241.1,241.1,241.1,241.1,241.1,241.1,0.0,0.0,1.0,0.0,1.0
low,-1,14,6.0,120.0,969.1999999999999,19384.0,161.53333333333333,166.89999999999998,138.2,151.15,175.29999999999998,179.5,180.9,0.0,0.0,1.0,0.0,1.0
low,-1,15,1.0,20.0,210.3,4206.0,210.3,210.3,210.3,210.3,210.3,210.3,210.3,0.0,0.0,1.0,0.0,1.0
low,-1,16,1.0,20.0,133.3,2666.0,133.3,133.3,133.3,133.3,133.3,133.3,133.3,0.0,0.0,1.0,0.0,1.0
low,-1,18,3.0,60.0,790.5,15810.0,263.5,266.3,258.46,261.4,267.0,267.42,267.56,0.0,0.0,1.0,0.0,1.0
low,-1,19,3.0,60.0,695.3,13906.0,231.76666666666665,225.7,155.14,181.6,278.9,310.82000000000005,321.46000000000004,0.0,0.0,1.0,0.0,1.0
low,-1,20,1.0,20.0,382.5,7650.0,382.5,382.5,382.5,382.5,382.5,382.5,382.5,0.0,0.0,1.0,0.0,1.0
low,-1,21,1.0,20.0,179.5,3590.0,179.5,179.5,179.5,179.5,179.5,179.5,179.5,0.0,0.0,1.0,0.0,1.0
low,-1,23,1.0,20.0,192.1,3842.0,192.1,192.1,192.1,192.1,192.1,192.1,192.1,0.0,0.0,1.0,0.0,1.0
