scenario,departure_period,legs_5pct,expanded_legs,total_fare_hkd_5pct,expanded_total_fare_hkd,mean_hkd,median_hkd,p10_hkd,p25_hkd,p75_hkd,p90_hkd,p95_hkd,within_flagfall_share,tolled_tunnel_share,taxi_type_unresolved_share,route_distance_unavailable_share,congestion_proxy_unavailable_share
low,00_early_0000_0559,17.0,340.0,2556.5,51130.0,150.38235294117646,136.1,42.86,77.3,204.3,284.82000000000005,336.3,0.0,0.0,0.058823529411764705,0.0,1.0
low,01_morning_0600_0959,13506.0,270120.0,1424531.0,28490620.0,105.47393750925515,81.5,29.0,37.4,138.9,243.9,267.6,0.17059084851177256,0.0,0.13490300607137568,0.0,1.0
low,02_midday_1000_1559,10928.0,218560.0,1210001.4,24200028.0,110.7248718887262,103.9,31.1,58.4,141.7,200.1,246.55999999999986,0.08647510980966325,0.0,0.021412884333821377,0.0,1.0
low,03_evening_peak_1600_1959,8540.0,170800.0,989910.5,19798210.0,115.91457845433256,108.1,33.2,64.7,145.9,208.9,256.5,0.07224824355971897,0.0,0.025175644028103045,0.0,1.0
low,04_night_2000_2359,1266.0,25320.0,142973.6,2859472.0,112.93333333333334,107.2,33.1,58.4,144.5,206.6,253.7,0.07977883096366509,0.0,0.020537124802527645,0.0,1.0
base,00_early_0000_0559,17.0,340.0,2556.5,51130.0,150.38235294117646,136.1,42.86,77.3,204.3,284.82000000000005,336.3,0.0,0.0,0.058823529411764705,0.0,1.0
base,01_morning_0600_0959,14713.0,294260.0,1546349.4,30926988.0,105.10089036906137,81.5,29.0,37.4,138.9,243.9,266.3,0.17141303609053218,0.0,0.13824508937674165,0.0,1.0
base,02_midday_1000_1559,12007.0,240140.0,1327183.6,26543672.0,110.53415507620555,104.9,31.2,58.4,141.7,199.1,245.3,0.08528358457566419,0.0,0.019988340134921297,0.0,1.0
base,03_evening_peak_1600_1959,9236.0,184720.0,1072412.7,21448254.0,116.11224556084885,108.1,33.2,64.7,145.9,210.3,257.6,0.07308358596795149,0.0,0.025119099177132957,0.0,1.0
base,04_night_2000_2359,1313.0,26260.0,147946.90000000002,2958938.0000000005,112.6785224676314,106.7,33.2,57.8,144.5,204.7,257.9,0.07768469154607768,0.0,0.019801980198019802,0.0,1.0
high,00_early_0000_0559,17.0,340.0,2556.5,51130.0,150.38235294117646,136.1,42.86,77.3,204.3,284.82000000000005,336.3,0.0,0.0,0.058823529411764705,0.0,1.0
high,01_morning_0600_0959,16488.0,329760.0,1722902.4999999998,34458049.99999999,104.49432920912177,79.4,29.0,37.4,137.5,243.9,266.3,0.17412663755458516,0.0,0.1413755458515284,0.0,1.0
high,02_midday_1000_1559,13278.0,265560.0,1468185.7999999998,29363715.999999996,110.57281217050759,105.3,31.2,60.5,141.7,197.7,243.9,0.08472661545413467,0.0,0.019355324597077873,0.0,1.0
high,03_evening_peak_1600_1959,11290.0,225800.0,1458783.4,29175668.0,129.21022143489813,112.3,35.3,68.9,164.1,262.1,299.9,0.0674933569530558,0.0,0.07511071744906997,0.0,1.0
high,04_night_2000_2359,1437.0,28740.0,161478.9,3229578.0,112.37223382045929,106.7,33.160000000000004,56.3,144.5,204.7,253.7,0.0779401530967293,0.0,0.018093249826026444,0.0,1.0
