scenario,taxi_type,legs_5pct,expanded_legs,total_fare_hkd_5pct,expanded_total_fare_hkd,mean_hkd,median_hkd,p10_hkd,p25_hkd,p75_hkd,p90_hkd,p95_hkd,within_flagfall_share,tolled_tunnel_share,taxi_type_unresolved_share,route_distance_unavailable_share,congestion_proxy_unavailable_share
low,lantau_taxi,60.0,1200.0,1985.3,39706.0,33.08833333333333,27.8,24.0,24.0,37.3,44.9,48.79499999999988,0.43333333333333335,0.0,0.0,0.0,1.0
low,new_territories_taxi,3361.0,67220.0,333478.0,6669560.0,99.21987503719131,78.7,25.5,35.0,141.3,214.1,263.1,0.1678072002380244,0.0,0.0,0.0,1.0
low,unresolved,2298.0,45960.0,443853.1,8877062.0,193.14756309834638,216.60000000000002,35.3,89.9,266.3,332.1,360.1,0.07441253263707572,0.0,1.0,0.0,1.0
low,urban_taxi,28538.0,570760.0,2990656.6,59813132.0,104.79559184245568,96.2,29.0,50.0,134.7,193.5,242.5,0.1123414394841965,0.0,0.0,0.0,1.0
base,lantau_taxi,62.0,1240.0,2151.1000000000004,43022.00000000001,34.69516129032259,29.7,24.0,24.0,37.3,46.60999999999999,56.20499999999999,0.3709677419354839,0.0,0.0,0.0,1.0
base,new_territories_taxi,3654.0,73080.0,366412.89999999997,7328257.999999999,100.27720306513409,80.6,25.5,35.0,144.1,214.1,264.5,0.16475095785440613,0.0,0.0,0.0,1.0
base,unresolved,2533.0,50660.0,485692.6,9713852.0,191.7459928938018,213.1,33.2,92.0,266.3,330.42000000000024,357.8600000000001,0.07500986971969996,0.0,1.0,0.0,1.0
base,urban_taxi,31037.0,620740.0,3242192.5,64843850.0,104.46217417920546,96.2,29.0,50.0,134.7,192.1,242.5,0.11302638785965138,0.0,0.0,0.0,1.0
high,lantau_taxi,70.0,1400.0,2407.7000000000003,48154.00000000001,34.39571428571429,29.7,24.0,24.0,37.3,47.56000000000001,56.3,0.4,0.0,0.0,0.0,1.0
high,new_territories_taxi,4117.0,82340.0,415694.6,8313892.0,100.97026961379645,82.5,25.5,35.0,145.5,215.5,264.5,0.1644401263055623,0.0,0.0,0.0,1.0
high,unresolved,3463.0,69260.0,715274.8,14305496.0,206.5477331793243,238.3,39.5,126.3,273.3,336.3,365.7,0.06468380017326018,0.0,1.0,0.0,1.0
high,urban_taxi,34860.0,697200.0,3680530.0,73610600.0,105.58032128514056,96.2,29.0,50.0,136.1,196.3,248.1,0.11305220883534137,0.0,0.0,0.0,1.0
