scenario,population_group,role,selected_taxi_tours,selected_taxi_legs
low,resident,day_school_student,438,1058
low,resident,fixed_worker,2151,5201
low,resident,home_only,4812,11758
low,resident,tertiary_student,153,377
low,resident,work_home,601,1427
low,resident,work_mobile,502,1201
low,visitor,mainland_visitor_overnight,1830,4941
low,visitor,mainland_visitor_same_day,282,658
low,visitor,other_visitor_overnight,1061,2866
low,visitor,other_visitor_same_day,64,156
base,resident,day_school_student,500,1202
base,resident,fixed_worker,2393,5734
base,resident,home_only,5319,12905
base,resident,tertiary_student,162,399
base,resident,work_home,668,1579
base,resident,work_mobile,534,1281
base,visitor,mainland_visitor_overnight,2022,5447
base,visitor,mainland_visitor_same_day,313,728
base,visitor,other_visitor_overnight,1198,3226
base,visitor,other_visitor_same_day,69,171
high,resident,day_school_student,556,1323
high,resident,fixed_worker,2702,6414
high,resident,home_only,5954,14300
high,resident,tertiary_student,189,460
high,resident,work_home,743,1738
high,resident,work_mobile,614,1451
high,visitor,mainland_visitor_overnight,3029,7001
high,visitor,mainland_visitor_same_day,367,848
high,visitor,other_visitor_overnight,1802,4167
high,visitor,other_visitor_same_day,78,194
