scenario,activity_purpose,selected_taxi_tours,selected_taxi_legs
low,dining,1111,2222
low,dining>dining,73,219
low,dining>leisure,218,654
low,dining>medical,54,162
low,dining>personal_business,92,276
low,dining>shopping,264,792
low,dining>social,122,366
low,leisure,1056,2112
low,leisure>dining,257,771
low,leisure>leisure,50,150
low,leisure>medical,41,123
low,leisure>personal_business,72,216
low,leisure>shopping,219,657
low,leisure>social,105,315
low,medical,283,566
low,medical>dining,58,174
low,medical>leisure,47,141
low,medical>medical,12,36
low,medical>personal_business,21,63
low,medical>shopping,74,222
low,medical>social,41,123
low,personal_business,406,812
low,personal_business>dining,81,243
low,personal_business>leisure,56,168
low,personal_business>medical,21,63
low,personal_business>personal_business,5,15
low,personal_business>shopping,98,294
low,personal_business>social,36,108
low,shopping,1469,2938
low,shopping>dining,376,1128
low,shopping>leisure,246,738
low,shopping>medical,84,252
low,shopping>personal_business,122,366
low,shopping>shopping,100,300
low,shopping>social,172,516
low,social,624,1248
low,social>dining,130,390
low,social>leisure,93,279
low,social>medical,50,150
low,social>personal_business,41,123
low,social>shopping,155,465
low,social>social,22,66
low,visitor_primary_activity,1088,2176
low,visitor_primary_activity>secondary_activity,2148,6444
low,visitor_unknown,1,1
base,dining,1257,2514
base,dining>dining,74,222
base,dining>leisure,233,699
base,dining>medical,57,171
base,dining>personal_business,94,282
base,dining>shopping,289,867
base,dining>social,127,381
base,leisure,1189,2378
base,leisure>dining,280,840
base,leisure>leisure,51,153
base,leisure>medical,42,126
base,leisure>personal_business,74,222
base,leisure>shopping,234,702
base,leisure>social,113,339
base,medical,331,662
base,medical>dining,60,180
base,medical>leisure,49,147
base,medical>medical,12,36
base,medical>personal_business,21,63
base,medical>shopping,79,237
base,medical>social,42,126
base,personal_business,454,908
base,personal_business>dining,86,258
base,personal_business>leisure,58,174
base,personal_business>medical,21,63
base,personal_business>personal_business,5,15
base,personal_business>shopping,100,300
base,personal_business>social,37,111
base,shopping,1678,3356
base,shopping>dining,411,1233
base,shopping>leisure,268,804
base,shopping>medical,88,264
base,shopping>personal_business,132,396
base,shopping>shopping,109,327
base,shopping>social,185,555
base,social,719,1438
base,social>dining,141,423
base,social>leisure,99,297
base,social>medical,52,156
base,social>personal_business,41,123
base,social>shopping,162,486
base,social>social,22,66
base,visitor_primary_activity,1234,2468
base,visitor_primary_activity>secondary_activity,2368,7104
high,dining,1471,2942
high,dining>dining,74,222
high,dining>leisure,253,759
high,dining>medical,58,174
high,dining>personal_business,94,282
high,dining>shopping,314,942
high,dining>social,134,402
high,leisure,1394,2788
high,leisure>dining,308,924
high,leisure>leisure,51,153
high,leisure>medical,42,126
high,leisure>personal_business,74,222
high,leisure>shopping,255,765
high,leisure>social,118,354
high,medical,383,766
high,medical>dining,60,180
high,medical>leisure,49,147
high,medical>medical,12,36
high,medical>personal_business,21,63
high,medical>shopping,80,240
high,medical>social,42,126
high,personal_business,541,1082
high,personal_business>dining,87,261
high,personal_business>leisure,58,174
high,personal_business>medical,21,63
high,personal_business>personal_business,5,15
high,personal_business>shopping,104,312
high,personal_business>social,37,111
high,shopping,1954,3908
high,shopping>dining,460,1380
high,shopping>leisure,291,873
high,shopping>medical,93,279
high,shopping>personal_business,137,411
high,shopping>shopping,110,330
high,shopping>social,194,582
high,social,845,1690
high,social>dining,147,441
high,social>leisure,101,303
high,social>medical,52,156
high,social>personal_business,41,123
high,social>shopping,171,513
high,social>social,22,66
high,visitor_primary_activity,1444,2888
high,visitor_primary_activity>secondary_activity,2745,8235
high,visitor_unknown,1087,1087
