scenario,origin_tcs_zone,destination_tcs_zone,selected_taxi_legs,selected_taxi_tours
low,-1,1,5,5
low,-1,2,11,11
low,-1,3,8,8
low,-1,4,3,3
low,-1,5,24,24
low,-1,6,11,11
low,-1,7,4,4
low,-1,8,4,4
low,-1,9,1,1
low,-1,10,3,3
low,-1,11,3,3
low,-1,14,6,6
low,-1,16,1,1
low,-1,18,3,3
low,-1,19,1,1
low,-1,20,1,1
low,-1,23,1,1
low,-1,26,4,4
low,1,1,287,195
low,1,2,183,183
low,1,3,86,86
low,1,4,79,79
low,1,5,303,303
low,1,6,82,82
low,1,7,147,147
low,1,8,103,103
low,1,9,67,67
low,1,10,46,46
low,1,11,47,47
low,1,12,33,33
low,1,13,22,22
low,1,14,20,20
low,1,15,6,6
low,1,16,6,6
low,1,17,12,12
low,1,18,3,3
low,1,19,54,54
low,1,20,11,11
low,1,21,48,48
low,1,22,11,11
low,1,23,7,7
low,1,24,4,4
low,1,25,4,4
low,1,26,29,29
low,2,1,131,131
low,2,2,277,192
low,2,3,203,203
low,2,4,95,95
low,2,5,372,372
low,2,6,66,66
low,2,7,145,145
low,2,8,108,108
low,2,9,105,105
low,2,10,60,60
low,2,11,47,47
low,2,12,30,30
low,2,13,23,23
low,2,14,14,14
low,2,15,7,7
low,2,16,9,9
low,2,17,17,17
low,2,18,4,4
low,2,19,69,69
low,2,20,23,23
low,2,21,74,74
low,2,22,2,2
low,2,23,8,8
low,2,24,4,4
low,2,25,8,8
low,2,26,25,25
low,3,1,104,104
low,3,2,246,246
low,3,3,432,258
low,3,4,76,76
low,3,5,246,246
low,3,6,70,70
low,3,7,108,108
low,3,8,116,116
low,3,9,180,180
low,3,10,64,64
low,3,11,28,28
low,3,12,31,31
low,3,13,16,16
low,3,14,8,8
low,3,15,4,4
low,3,16,2,2
low,3,17,15,15
low,3,18,4,4
low,3,19,51,51
low,3,20,16,16
low,3,21,100,100
low,3,22,3,3
low,3,23,3,3
low,3,24,7,7
low,3,25,7,7
low,3,26,14,14
low,4,1,82,82
low,4,2,123,123
low,4,3,71,71
low,4,4,157,93
low,4,5,142,142
low,4,6,36,36
low,4,7,61,61
low,4,8,37,37
low,4,9,43,43
low,4,10,22,22
low,4,11,12,12
low,4,12,19,19
low,4,13,9,9
low,4,14,11,11
low,4,15,9,9
low,4,16,3,3
low,4,17,3,3
low,4,18,3,3
low,4,19,19,19
low,4,20,3,3
low,4,21,28,28
low,4,22,4,4
low,4,23,6,6
low,4,24,2,2
low,4,25,3,3
low,5,-1,1,1
low,5,1,316,316
low,5,2,244,244
low,5,3,220,220
low,5,4,117,117
low,5,5,2268,1676
low,5,6,239,239
low,5,7,287,287
low,5,8,192,192
low,5,9,155,155
low,5,10,108,108
low,5,11,99,99
low,5,12,83,83
low,5,13,36,36
low,5,14,48,48
low,5,15,44,44
low,5,16,23,23
low,5,17,52,52
low,5,18,31,31
low,5,19,104,104
low,5,20,37,37
low,5,21,80,80
low,5,22,15,15
low,5,23,18,18
low,5,24,18,18
low,5,25,27,27
low,5,26,268,268
low,6,-1,3,3
low,6,1,92,92
low,6,2,75,75
low,6,3,109,109
low,6,4,50,50
low,6,5,336,336
low,6,6,245,201
low,6,7,157,157
low,6,8,122,122
low,6,9,94,94
low,6,10,66,66
low,6,11,60,60
low,6,12,62,62
low,6,13,33,33
low,6,14,15,15
low,6,15,15,15
low,6,16,8,8
low,6,17,31,31
low,6,18,31,31
low,6,19,110,110
low,6,20,25,25
low,6,21,34,34
low,6,22,17,17
low,6,23,7,7
low,6,24,13,13
low,6,25,5,5
low,6,26,93,93
low,7,1,112,112
low,7,2,84,84
low,7,3,89,89
low,7,4,50,50
low,7,5,441,441
low,7,6,421,421
low,7,7,313,237
low,7,8,106,106
low,7,9,104,104
low,7,10,96,96
low,7,11,61,61
low,7,12,70,70
low,7,13,39,39
low,7,14,45,45
low,7,15,14,14
low,7,16,8,8
low,7,17,18,18
low,7,18,10,10
low,7,19,100,100
low,7,20,19,19
low,7,21,55,55
low,7,22,6,6
low,7,23,8,8
low,7,24,8,8
low,7,25,6,6
low,7,26,76,76
low,8,1,88,88
low,8,2,120,120
low,8,3,110,110
low,8,4,39,39
low,8,5,244,244
low,8,6,104,104
low,8,7,156,156
low,8,8,202,141
low,8,9,107,107
low,8,10,64,64
low,8,11,36,36
low,8,12,34,34
low,8,13,20,20
low,8,14,17,17
low,8,15,6,6
low,8,16,5,5
low,8,17,25,25
low,8,18,7,7
low,8,19,69,69
low,8,20,14,14
low,8,21,52,52
low,8,22,1,1
low,8,23,4,4
low,8,24,5,5
low,8,25,5,5
low,8,26,8,8
low,9,1,80,80
low,9,2,108,108
low,9,3,163,163
low,9,4,36,36
low,9,5,194,194
low,9,6,85,85
low,9,7,123,123
low,9,8,125,125
low,9,9,354,250
low,9,10,89,89
low,9,11,35,35
low,9,12,22,22
low,9,13,13,13
low,9,14,13,13
low,9,15,4,4
low,9,17,28,28
low,9,18,9,9
low,9,19,80,80
low,9,20,26,26
low,9,21,117,117
low,9,22,4,4
low,9,23,2,2
low,9,24,2,2
low,9,25,8,8
low,9,26,10,10
low,10,1,44,44
low,10,2,66,66
low,10,3,68,68
low,10,4,25,25
low,10,5,159,159
low,10,6,51,51
low,10,7,115,115
low,10,8,81,81
low,10,9,81,81
low,10,10,112,87
low,10,11,29,29
low,10,12,18,18
low,10,13,8,8
low,10,14,5,5
low,10,15,11,11
low,10,16,1,1
low,10,17,22,22
low,10,18,2,2
low,10,19,68,68
low,10,20,19,19
low,10,21,42,42
low,10,22,1,1
low,10,23,1,1
low,10,24,4,4
low,10,25,10,10
low,10,26,2,2
low,11,1,45,45
low,11,2,40,40
low,11,3,29,29
low,11,4,10,10
low,11,5,142,142
low,11,6,31,31
low,11,7,96,96
low,11,8,27,27
low,11,9,35,35
low,11,10,22,22
low,11,11,159,106
low,11,12,76,76
low,11,13,44,44
low,11,14,34,34
low,11,15,26,26
low,11,16,14,14
low,11,17,20,20
low,11,18,15,15
low,11,19,66,66
low,11,20,8,8
low,11,21,20,20
low,11,22,6,6
low,11,23,13,13
low,11,24,9,9
low,11,26,15,15
low,12,1,32,32
low,12,2,35,35
low,12,3,40,40
low,12,4,16,16
low,12,5,81,81
low,12,6,38,38
low,12,7,97,97
low,12,8,30,30
low,12,9,20,20
low,12,10,32,32
low,12,11,83,83
low,12,12,79,55
low,12,13,21,21
low,12,14,16,16
low,12,15,16,16
low,12,16,10,10
low,12,17,14,14
low,12,18,11,11
low,12,19,38,38
low,12,20,13,13
low,12,21,16,16
low,12,22,5,5
low,12,23,10,10
low,12,24,9,9
low,12,25,1,1
low,12,26,3,3
low,13,1,27,27
low,13,2,21,21
low,13,3,15,15
low,13,4,8,8
low,13,5,43,43
low,13,6,26,26
low,13,7,51,51
low,13,8,16,16
low,13,9,17,17
low,13,10,13,13
low,13,11,47,47
low,13,12,23,23
low,13,13,17,12
low,13,14,13,13
low,13,15,10,10
low,13,16,7,7
low,13,17,11,11
low,13,18,2,2
low,13,19,13,13
low,13,20,1,1
low,13,21,2,2
low,13,22,6,6
low,13,23,4,4
low,13,24,3,3
low,13,25,2,2
low,13,26,4,4
low,14,1,19,19
low,14,2,7,7
low,14,3,14,14
low,14,4,9,9
low,14,5,64,64
low,14,6,10,10
low,14,7,52,52
low,14,8,16,16
low,14,9,12,12
low,14,10,4,4
low,14,11,34,34
low,14,12,22,22
low,14,13,20,20
low,14,14,400,234
low,14,15,55,55
low,14,16,50,50
low,14,17,12,12
low,14,18,11,11
low,14,19,13,13
low,14,20,7,7
low,14,21,4,4
low,14,22,30,30
low,14,23,56,56
low,14,24,5,5
low,14,26,7,7
low,15,1,8,8
low,15,2,4,4
low,15,3,4,4
low,15,4,8,8
low,15,5,52,52
low,15,6,7,7
low,15,7,23,23
low,15,8,10,10
low,15,9,5,5
low,15,10,9,9
low,15,11,22,22
low,15,12,13,13
low,15,13,7,7
low,15,14,58,58
low,15,15,100,66
low,15,16,50,50
low,15,17,15,15
low,15,18,20,20
low,15,19,16,16
low,15,20,10,10
low,15,21,3,3
low,15,22,9,9
low,15,23,81,81
low,15,24,9,9
low,15,25,1,1
low,15,26,1,1
low,16,1,5,5
low,16,2,7,7
low,16,3,2,2
low,16,4,3,3
low,16,5,24,24
low,16,6,3,3
low,16,7,10,10
low,16,8,7,7
low,16,9,2,2
low,16,10,1,1
low,16,11,15,15
low,16,12,11,11
low,16,13,8,8
low,16,14,50,50
low,16,15,45,45
low,16,16,139,86
low,16,17,5,5
low,16,18,9,9
low,16,19,11,11
low,16,20,3,3
low,16,21,2,2
low,16,22,7,7
low,16,23,37,37
low,16,24,4,4
low,16,25,1,1
low,16,26,2,2
low,17,1,18,18
low,17,2,9,9
low,17,3,15,15
low,17,4,4,4
low,17,5,19,19
low,17,6,45,45
low,17,7,36,36
low,17,8,23,23
low,17,9,28,28
low,17,10,26,26
low,17,11,16,16
low,17,12,13,13
low,17,13,10,10
low,17,14,14,14
low,17,15,12,12
low,17,16,8,8
low,17,17,125,73
low,17,18,36,36
low,17,19,54,54
low,17,20,33,33
low,17,21,12,12
low,17,23,34,34
low,17,24,38,38
low,17,25,2,2
low,17,26,3,3
low,18,1,8,8
low,18,2,3,3
low,18,3,4,4
low,18,4,5,5
low,18,5,17,17
low,18,6,29,29
low,18,7,32,32
low,18,8,5,5
low,18,9,10,10
low,18,10,4,4
low,18,11,19,19
low,18,12,10,10
low,18,13,2,2
low,18,14,5,5
low,18,15,25,25
low,18,16,9,9
low,18,17,41,41
low,18,18,101,56
low,18,19,16,16
low,18,20,9,9
low,18,21,3,3
low,18,22,2,2
low,18,23,26,26
low,18,24,24,24
low,18,25,1,1
low,18,26,3,3
low,19,1,42,42
low,19,2,65,65
low,19,3,64,64
low,19,4,23,23
low,19,5,109,109
low,19,6,79,79
low,19,7,134,134
low,19,8,70,70
low,19,9,78,78
low,19,10,87,87
low,19,11,57,57
low,19,12,44,44
low,19,13,18,18
low,19,14,12,12
low,19,15,17,17
low,19,16,10,10
low,19,17,54,54
low,19,18,17,17
low,19,19,311,200
low,19,20,38,38
low,19,21,55,55
low,19,22,3,3
low,19,23,14,14
low,19,24,16,16
low,19,25,13,13
low,19,26,5,5
low,20,1,8,8
low,20,2,15,15
low,20,3,18,18
low,20,4,3,3
low,20,5,34,34
low,20,6,27,27
low,20,7,31,31
low,20,8,13,13
low,20,9,27,27
low,20,10,19,19
low,20,11,7,7
low,20,12,11,11
low,20,13,1,1
low,20,14,5,5
low,20,15,11,11
low,20,16,1,1
low,20,17,36,36
low,20,18,9,9
low,20,19,48,48
low,20,20,45,30
low,20,21,19,19
low,20,23,9,9
low,20,24,11,11
low,20,25,4,4
low,21,1,39,39
low,21,2,71,71
low,21,3,106,106
low,21,4,31,31
low,21,5,90,90
low,21,6,32,32
low,21,7,44,44
low,21,8,45,45
low,21,9,134,134
low,21,10,48,48
low,21,11,19,19
low,21,12,9,9
low,21,13,7,7
low,21,14,6,6
low,21,15,7,7
low,21,16,1,1
low,21,17,8,8
low,21,18,5,5
low,21,19,57,57
low,21,20,17,17
low,21,21,194,135
low,21,22,2,2
low,21,23,3,3
low,21,24,2,2
low,21,25,12,12
low,21,26,2,2
low,22,1,11,11
low,22,2,3,3
low,22,3,3,3
low,22,4,3,3
low,22,5,18,18
low,22,6,14,14
low,22,7,11,11
low,22,8,6,6
low,22,9,4,4
low,22,10,4,4
low,22,11,5,5
low,22,12,6,6
low,22,13,7,7
low,22,14,26,26
low,22,15,8,8
low,22,16,4,4
low,22,18,3,3
low,22,19,2,2
low,22,21,1,1
low,22,22,82,55
low,22,23,8,8
low,22,24,2,2
low,22,26,2,2
low,23,1,10,10
low,23,2,11,11
low,23,3,3,3
low,23,4,11,11
low,23,5,39,39
low,23,6,11,11
low,23,7,10,10
low,23,8,7,7
low,23,9,4,4
low,23,10,9,9
low,23,11,9,9
low,23,12,9,9
low,23,13,6,6
low,23,14,48,48
low,23,15,64,64
low,23,16,23,23
low,23,17,9,9
low,23,18,21,21
low,23,19,12,12
low,23,20,5,5
low,23,21,3,3
low,23,22,7,7
low,23,23,57,37
low,23,24,3,3
low,23,25,1,1
low,23,26,1,1
low,24,1,6,6
low,24,2,6,6
low,24,3,1,1
low,24,4,3,3
low,24,5,25,25
low,24,6,26,26
low,24,7,10,10
low,24,8,10,10
low,24,9,7,7
low,24,10,12,12
low,24,11,8,8
low,24,12,9,9
low,24,14,10,10
low,24,15,11,11
low,24,16,6,6
low,24,17,38,38
low,24,18,29,29
low,24,19,13,13
low,24,20,14,14
low,24,21,2,2
low,24,22,3,3
low,24,23,4,4
low,24,24,15,11
low,24,25,1,1
low,25,1,3,3
low,25,2,6,6
low,25,3,8,8
low,25,4,2,2
low,25,5,31,31
low,25,6,11,11
low,25,7,16,16
low,25,8,5,5
low,25,9,11,11
low,25,10,7,7
low,25,11,2,2
low,25,12,3,3
low,25,13,1,1
low,25,14,1,1
low,25,16,2,2
low,25,17,1,1
low,25,18,1,1
low,25,19,9,9
low,25,20,3,3
low,25,21,11,11
low,25,25,2,2
low,25,26,1,1
low,26,-1,48,48
low,26,1,6,6
low,26,2,8,8
low,26,3,5,5
low,26,4,4,4
low,26,5,122,122
low,26,6,71,71
low,26,7,29,29
low,26,8,6,6
low,26,9,8,8
low,26,10,2,2
low,26,11,14,14
low,26,12,3,3
low,26,13,3,3
low,26,14,10,10
low,26,15,4,4
low,26,16,2,2
low,26,17,4,4
low,26,18,2,2
low,26,19,7,7
low,26,20,1,1
low,26,22,1,1
low,26,24,1,1
low,26,25,2,2
low,26,26,10,10
base,-1,1,5,5
base,-1,2,13,13
base,-1,3,9,9
base,-1,4,4,4
base,-1,5,25,25
base,-1,6,15,15
base,-1,7,5,5
base,-1,8,4,4
base,-1,9,1,1
base,-1,10,3,3
base,-1,11,2,2
base,-1,14,5,5
base,-1,15,1,1
base,-1,18,3,3
base,-1,19,1,1
base,-1,20,1,1
base,-1,23,1,1
base,-1,26,2,2
base,1,1,312,214
base,1,2,205,205
base,1,3,104,104
base,1,4,92,92
base,1,5,335,335
base,1,6,93,93
base,1,7,159,159
base,1,8,114,114
base,1,9,72,72
base,1,10,49,49
base,1,11,54,54
base,1,12,39,39
base,1,13,22,22
base,1,14,23,23
base,1,15,9,9
base,1,16,6,6
base,1,17,11,11
base,1,18,3,3
base,1,19,56,56
