scenario,population_group,activity_purpose,departure_period,origin_tcs_zone,distance_band,tour_leg_count,candidate_tours,candidate_legs,ideal_taxi_legs,allocated_taxi_leg_quota,quota_remainder,selected_tours,selected_taxi_legs
low,resident,dining,01_morning_0600_0959,1,02_5_10km,2,6,12,9.225957049486462,9,0.22595704948646222,4,8
low,resident,dining,01_morning_0600_0959,1,03_10_20km,2,4,8,6.150638032990974,6,0.15063803299097422,2,4
low,resident,dining,01_morning_0600_0959,1,04_20km_plus,2,1,2,1.5376595082477436,2,0.5376595082477436,1,2
low,resident,dining,01_morning_0600_0959,2,00_0_2km,2,1,2,1.5376595082477436,2,0.5376595082477436,1,2
low,resident,dining,01_morning_0600_0959,2,01_2_5km,2,1,2,1.5376595082477436,2,0.5376595082477436,1,2
low,resident,dining,01_morning_0600_0959,2,02_5_10km,2,1,2,1.5376595082477436,2,0.5376595082477436,1,2
low,resident,dining,01_morning_0600_0959,2,03_10_20km,2,2,4,3.075319016495487,3,0.07531901649548711,2,4
low,resident,dining,01_morning_0600_0959,3,01_2_5km,2,2,4,3.075319016495487,3,0.07531901649548711,1,2
low,resident,dining,01_morning_0600_0959,3,02_5_10km,2,4,8,6.150638032990974,6,0.15063803299097422,3,6
low,resident,dining,01_morning_0600_0959,3,03_10_20km,2,8,16,12.301276065981948,12,0.30127606598194845,6,12
low,resident,dining,01_morning_0600_0959,4,00_0_2km,2,1,2,1.5376595082477436,2,0.5376595082477436,0,0
low,resident,dining,01_morning_0600_0959,4,02_5_10km,2,1,2,1.5376595082477436,2,0.5376595082477436,1,2
low,resident,dining,01_morning_0600_0959,4,03_10_20km,2,6,12,9.225957049486462,9,0.22595704948646222,4,8
low,resident,dining,01_morning_0600_0959,4,04_20km_plus,2,1,2,1.5376595082477436,2,0.5376595082477436,1,2
low,resident,dining,01_morning_0600_0959,5,03_10_20km,2,1,2,1.5376595082477436,2,0.5376595082477436,1,2
low,resident,dining,01_morning_0600_0959,6,04_20km_plus,2,1,2,1.5376595082477436,2,0.5376595082477436,1,2
low,resident,dining,01_morning_0600_0959,7,01_2_5km,2,3,6,4.612978524743231,5,0.6129785247432311,1,2
low,resident,dining,01_morning_0600_0959,7,02_5_10km,2,1,2,1.5376595082477436,2,0.5376595082477436,1,2
low,resident,dining,01_morning_0600_0959,7,03_10_20km,2,4,8,6.150638032990974,6,0.15063803299097422,3,6
low,resident,dining,01_morning_0600_0959,7,04_20km_plus,2,1,2,1.5376595082477436,2,0.5376595082477436,1,2
low,resident,dining,01_morning_0600_0959,8,01_2_5km,2,2,4,3.075319016495487,3,0.07531901649548711,1,2
low,resident,dining,01_morning_0600_0959,8,02_5_10km,2,2,4,3.075319016495487,3,0.07531901649548711,2,4
low,resident,dining,01_morning_0600_0959,8,03_10_20km,2,2,4,3.075319016495487,3,0.07531901649548711,1,2
low,resident,dining,01_morning_0600_0959,9,01_2_5km,2,1,2,1.5376595082477436,2,0.5376595082477436,0,0
low,resident,dining,01_morning_0600_0959,9,03_10_20km,2,5,10,7.688297541238717,8,0.6882975412387173,4,8
low,resident,dining,01_morning_0600_0959,9,04_20km_plus,2,1,2,1.5376595082477436,2,0.5376595082477436,0,0
low,resident,dining,01_morning_0600_0959,10,02_5_10km,2,1,2,1.5376595082477436,2,0.5376595082477436,1,2
low,resident,dining,01_morning_0600_0959,10,03_10_20km,2,1,2,1.5376595082477436,2,0.5376595082477436,1,2
low,resident,dining,01_morning_0600_0959,10,04_20km_plus,2,3,6,4.612978524743231,5,0.6129785247432311,2,4
low,resident,dining,01_morning_0600_0959,12,01_2_5km,2,1,2,1.5376595082477436,2,0.5376595082477436,1,2
low,resident,dining,01_morning_0600_0959,12,03_10_20km,2,2,4,3.075319016495487,3,0.07531901649548711,2,4
