tour_id,person_id,leg_sequence,population_group,role,origin_type,destination_type,origin_facility_id,destination_facility_id,departure_time_s,origin_tcs_zone,destination_tcs_zone,distance_km,low_classification,base_classification,high_classification
hk_collective_000024::unspecified_ride_tour,hk_collective_000024,2,resident,fixed_worker,home,shopping,home_hk_collective_000024,resident_shopping_igeocom_554457,69813.0,26,8,30.312052604343116,taxi,taxi,taxi
hk_collective_000024::unspecified_ride_tour,hk_collective_000024,3,resident,fixed_worker,shopping,shopping,resident_shopping_igeocom_554457,resident_shopping_osm_4870055747_23516,76713.0,8,1,6.936018199847252,taxi,taxi,taxi
hk_collective_000024::unspecified_ride_tour,hk_collective_000024,4,resident,fixed_worker,shopping,home,resident_shopping_osm_4870055747_23516,home_hk_collective_000024,83613.0,1,26,23.662266947689428,taxi,taxi,taxi
hk_collective_000082::unspecified_ride_tour,hk_collective_000082,2,resident,day_school_student,home,dining,home_hk_collective_000082,resident_dining_osm_13251052920_46761,60145.0,22,4,20.85868293136139,taxi,taxi,taxi
hk_collective_000082::unspecified_ride_tour,hk_collective_000082,3,resident,day_school_student,dining,home,resident_dining_osm_13251052920_46761,home_hk_collective_000082,66745.0,4,22,20.85868293136139,taxi,taxi,taxi
hk_collective_000121::unspecified_ride_tour,hk_collective_000121,0,resident,home_only,home,shopping,home_hk_collective_000121,resident_shopping_igeocom_531684,40203.0,14,14,0.1715883064780116,taxi,taxi,taxi
hk_collective_000121::unspecified_ride_tour,hk_collective_000121,1,resident,home_only,shopping,home,resident_shopping_igeocom_531684,home_hk_collective_000121,47103.0,14,14,0.1715883064780116,taxi,taxi,taxi
hk_collective_000222::unspecified_ride_tour,hk_collective_000222,2,resident,fixed_worker,home,dining,home_hk_collective_000222,resident_dining_osm_11773480828_42830,69323.0,26,22,3.4233291491628286,other_ride,taxi,taxi
hk_collective_000222::unspecified_ride_tour,hk_collective_000222,3,resident,fixed_worker,dining,home,resident_dining_osm_11773480828_42830,home_hk_collective_000222,75923.0,22,26,3.4233291491628286,other_ride,taxi,taxi
hk_collective_000243::unspecified_ride_tour,hk_collective_000243,2,resident,fixed_worker,home,personal_business,home_hk_collective_000243,resident_personal_business_igeocom_21247996,69298.0,14,14,1.7746377895213246,taxi,other_ride,taxi
hk_collective_000243::unspecified_ride_tour,hk_collective_000243,3,resident,fixed_worker,personal_business,home,resident_personal_business_igeocom_21247996,home_hk_collective_000243,76198.0,14,14,1.7746377895213246,taxi,other_ride,taxi
hk_collective_000251::unspecified_ride_tour,hk_collective_000251,0,resident,home_only,home,social,home_hk_collective_000251,resident_social_igeocom_541072,46402.0,14,15,6.469798816554602,taxi,taxi,taxi
hk_collective_000251::unspecified_ride_tour,hk_collective_000251,1,resident,home_only,social,home,resident_social_igeocom_541072,home_hk_collective_000251,56002.0,15,14,6.469798816554602,taxi,taxi,taxi
hk_collective_000338::unspecified_ride_tour,hk_collective_000338,2,resident,fixed_worker,home,dining,home_hk_collective_000338,resident_dining_osm_13357135060_47138,69917.0,14,23,3.873816406445736,taxi,taxi,taxi
hk_collective_000338::unspecified_ride_tour,hk_collective_000338,3,resident,fixed_worker,dining,home,resident_dining_osm_13357135060_47138,home_hk_collective_000338,76517.0,23,14,3.873816406445736,taxi,taxi,taxi
hk_collective_000350::unspecified_ride_tour,hk_collective_000350,0,resident,home_only,home,dining,home_hk_collective_000350,resident_dining_osm_12002187646_43331,47014.0,14,14,0.06295438730555321,other_ride,taxi,taxi
hk_collective_000350::unspecified_ride_tour,hk_collective_000350,1,resident,home_only,dining,home,resident_dining_osm_12002187646_43331,home_hk_collective_000350,53614.0,14,14,0.06295438730555321,other_ride,taxi,taxi
hk_collective_000429::unspecified_ride_tour,hk_collective_000429,2,resident,fixed_worker,home,leisure,home_hk_collective_000429,resident_leisure_igeocom_562710,72948.0,23,14,2.852476658015958,taxi,taxi,taxi
hk_collective_000429::unspecified_ride_tour,hk_collective_000429,3,resident,fixed_worker,leisure,home,resident_leisure_igeocom_562710,home_hk_collective_000429,84348.0,14,23,2.852476658015958,taxi,taxi,taxi
hk_collective_000516::unspecified_ride_tour,hk_collective_000516,0,resident,home_only,home,leisure,home_hk_collective_000516,resident_leisure_igeocom_535296,47957.0,23,18,13.841006349788485,taxi,taxi,taxi
hk_collective_000516::unspecified_ride_tour,hk_collective_000516,1,resident,home_only,leisure,home,resident_leisure_igeocom_535296,home_hk_collective_000516,59357.0,18,23,13.841006349788485,taxi,taxi,taxi
hk_collective_000529::unspecified_ride_tour,hk_collective_000529,2,resident,fixed_worker,home,dining,home_hk_collective_000529,resident_dining_osm_missing_63105,68503.0,23,4,27.2950432017093,taxi,taxi,taxi
hk_collective_000529::unspecified_ride_tour,hk_collective_000529,3,resident,fixed_worker,dining,home,resident_dining_osm_missing_63105,home_hk_collective_000529,75103.0,4,23,27.2950432017093,taxi,taxi,taxi
hk_collective_000569::unspecified_ride_tour,hk_collective_000569,2,resident,fixed_worker,home,dining,home_hk_collective_000569,resident_dining_osm_5538696817_25829,78765.0,23,1,22.440439359366508,taxi,taxi,taxi
hk_collective_000569::unspecified_ride_tour,hk_collective_000569,3,resident,fixed_worker,dining,shopping,resident_dining_osm_5538696817_25829,resident_shopping_osm_6793319324_29916,85365.0,1,2,4.633474529405016,taxi,taxi,taxi
hk_collective_000569::unspecified_ride_tour,hk_collective_000569,4,resident,fixed_worker,shopping,home,resident_shopping_osm_6793319324_29916,home_hk_collective_000569,91800.0,2,23,26.080866638393154,taxi,taxi,taxi
hk_collective_000725::unspecified_ride_tour,hk_collective_000725,0,resident,home_only,home,leisure,home_hk_collective_000725,resident_leisure_igeocom_558249,58402.0,15,15,1.8158548610094776,taxi,taxi,taxi
hk_collective_000725::unspecified_ride_tour,hk_collective_000725,1,resident,home_only,leisure,shopping,resident_leisure_igeocom_558249,resident_shopping_igeocom_528889,69802.0,15,22,18.931006724833786,taxi,taxi,taxi
hk_collective_000725::unspecified_ride_tour,hk_collective_000725,2,resident,home_only,shopping,home,resident_shopping_igeocom_528889,home_hk_collective_000725,76702.0,22,15,20.7317776845107,taxi,taxi,taxi
hk_collective_000802::unspecified_ride_tour,hk_collective_000802,0,resident,home_only,home,leisure,home_hk_collective_000802,resident_leisure_osm_missing_62267,39630.0,11,19,15.775684062436747,taxi,taxi,taxi
hk_collective_000802::unspecified_ride_tour,hk_collective_000802,1,resident,home_only,leisure,home,resident_leisure_osm_missing_62267,home_hk_collective_000802,51030.0,19,11,15.775684062436747,taxi,taxi,taxi
hk_collective_000856::unspecified_ride_tour,hk_collective_000856,2,resident,fixed_worker,home,shopping,home_hk_collective_000856,resident_shopping_igeocom_551511,63250.0,11,19,15.251311227840445,taxi,taxi,taxi
hk_collective_000856::unspecified_ride_tour,hk_collective_000856,3,resident,fixed_worker,shopping,personal_business,resident_shopping_igeocom_551511,resident_personal_business_igeocom_550471,70150.0,19,6,8.181492440145936,taxi,taxi,taxi
hk_collective_000856::unspecified_ride_tour,hk_collective_000856,4,resident,fixed_worker,personal_business,home,resident_personal_business_igeocom_550471,home_hk_collective_000856,77050.0,6,11,12.060580191778296,taxi,taxi,taxi
hk_collective_000887::unspecified_ride_tour,hk_collective_000887,2,resident,work_mobile,home,personal_business,home_hk_collective_000887,resident_personal_business_osm_4452448463_17538,61200.0,23,23,8.035597705313664,taxi,taxi,taxi
hk_collective_000887::unspecified_ride_tour,hk_collective_000887,3,resident,work_mobile,personal_business,home,resident_personal_business_osm_4452448463_17538,home_hk_collective_000887,68100.0,23,23,8.035597705313664,taxi,taxi,taxi
hk_collective_000967::unspecified_ride_tour,hk_collective_000967,0,resident,home_only,home,shopping,home_hk_collective_000967,resident_shopping_osm_4858329408_21453,39767.0,13,17,14.631193997922166,other_ride,taxi,taxi
hk_collective_000967::unspecified_ride_tour,hk_collective_000967,1,resident,home_only,shopping,social,resident_shopping_osm_4858329408_21453,resident_social_igeocom_550786,46667.0,17,17,4.860880939490303,other_ride,taxi,taxi
hk_collective_000967::unspecified_ride_tour,hk_collective_000967,2,resident,home_only,social,home,resident_social_igeocom_550786,home_hk_collective_000967,56267.0,17,13,15.360131653761862,other_ride,taxi,taxi
hk_collective_000968::unspecified_ride_tour,hk_collective_000968,2,resident,day_school_student,home,social,home_hk_collective_000968,resident_social_osm_missing_66742,64942.0,13,16,18.106126605096325,taxi,taxi,taxi
hk_collective_000968::unspecified_ride_tour,hk_collective_000968,3,resident,day_school_student,social,leisure,resident_social_osm_missing_66742,resident_leisure_igeocom_535414,74542.0,16,4,29.313630634393864,taxi,taxi,taxi
hk_collective_000968::unspecified_ride_tour,hk_collective_000968,4,resident,day_school_student,leisure,home,resident_leisure_igeocom_535414,home_hk_collective_000968,85942.0,4,13,11.228907744808858,taxi,taxi,taxi
hk_collective_001005::unspecified_ride_tour,hk_collective_001005,0,resident,home_only,home,social,home_hk_collective_001005,resident_social_osm_4856146950_20955,53562.0,11,2,13.155489386658529,other_ride,other_ride,taxi
hk_collective_001005::unspecified_ride_tour,hk_collective_001005,1,resident,home_only,social,home,resident_social_osm_4856146950_20955,home_hk_collective_001005,63162.0,2,11,13.155489386658529,other_ride,other_ride,taxi
hk_collective_001006::unspecified_ride_tour,hk_collective_001006,2,resident,fixed_worker,home,leisure,home_hk_collective_001006,resident_leisure_igeocom_21093854,71849.0,11,14,15.173993106843868,taxi,other_ride,taxi
hk_collective_001006::unspecified_ride_tour,hk_collective_001006,3,resident,fixed_worker,leisure,dining,resident_leisure_igeocom_21093854,resident_dining_osm_6925197175_30298,83249.0,14,14,5.419481416338088,taxi,other_ride,taxi
