tour_id,person_id,population_group,role,classification_source,activity_purpose,tour_leg_count,manifest_ride_leg_count,leg_sequences,tour_departure_time_s,departure_period,origin_tcs_zone,first_destination_tcs_zone,second_destination_tcs_zone,tcs26_tour_chain,tour_distance_km,distance_band,household_id,age,sex,dcca,grid_id,tcs_zone,household_private_vehicle_count,potential_household_vehicle_access,is_designated_driver,assigned_vehicle_count,income_band_tcs,housing_type,visitor_day_kind,candidate_leg_count,low_selected_as_taxi,low_classification,base_selected_as_taxi,base_classification,high_selected_as_taxi,high_classification
hk_collective_000024::unspecified_ride_tour,hk_collective_000024,resident,fixed_worker,resident_discretionary_ride_assignment,shopping>shopping,3,3,2|3|4,69813.0,03_evening_peak_1600_1959,26,8,1,26>8>1>26,60.910337751879794,04_20km_plus,,46,M,3901,54,26,0.0,False,False,0.0,,,,3,True,taxi,True,taxi,True,taxi
hk_collective_000082::unspecified_ride_tour,hk_collective_000082,resident,day_school_student,resident_discretionary_ride_assignment,dining,2,2,2|3,60145.0,03_evening_peak_1600_1959,22,4,-1,22>4>22,41.71736586272278,04_20km_plus,,11,M,3901,196,22,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_000121::unspecified_ride_tour,hk_collective_000121,resident,home_only,resident_discretionary_ride_assignment,shopping,2,2,0|1,40203.0,02_midday_1000_1559,14,14,-1,14>14>14,0.3431766129560232,00_0_2km,,73,F,3316,223,14,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_000222::unspecified_ride_tour,hk_collective_000222,resident,fixed_worker,resident_discretionary_ride_assignment,dining,2,2,2|3,69323.0,03_evening_peak_1600_1959,26,22,-1,26>22>26,6.846658298325657,02_5_10km,,23,M,3901,243,26,0.0,False,False,0.0,,,,2,False,other_ride,True,taxi,True,taxi
hk_collective_000243::unspecified_ride_tour,hk_collective_000243,resident,fixed_worker,resident_discretionary_ride_assignment,personal_business,2,2,2|3,69298.0,03_evening_peak_1600_1959,14,14,-1,14>14>14,3.549275579042649,01_2_5km,,28,F,3327,251,14,0.0,False,False,0.0,,,,2,True,taxi,False,other_ride,True,taxi
hk_collective_000251::unspecified_ride_tour,hk_collective_000251,resident,home_only,resident_discretionary_ride_assignment,social,2,2,0|1,46402.0,02_midday_1000_1559,14,15,-1,14>15>14,12.939597633109203,03_10_20km,,52,M,3327,251,14,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_000338::unspecified_ride_tour,hk_collective_000338,resident,fixed_worker,resident_discretionary_ride_assignment,dining,2,2,2|3,69917.0,03_evening_peak_1600_1959,14,23,-1,14>23>14,7.747632812891472,02_5_10km,,52,M,3311,275,14,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_000350::unspecified_ride_tour,hk_collective_000350,resident,home_only,resident_discretionary_ride_assignment,dining,2,2,0|1,47014.0,02_midday_1000_1559,14,14,-1,14>14>14,0.12590877461110642,00_0_2km,,52,M,3311,275,14,0.0,False,False,0.0,,,,2,False,other_ride,True,taxi,True,taxi
hk_collective_000429::unspecified_ride_tour,hk_collective_000429,resident,fixed_worker,resident_discretionary_ride_assignment,leisure,2,2,2|3,72948.0,04_night_2000_2359,23,14,-1,23>14>23,5.704953316031916,02_5_10km,,59,F,3415,307,23,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_000516::unspecified_ride_tour,hk_collective_000516,resident,home_only,resident_discretionary_ride_assignment,leisure,2,2,0|1,47957.0,02_midday_1000_1559,23,18,-1,23>18>23,27.68201269957697,04_20km_plus,,23,F,3434,341,23,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
