person_id,unrouted_leg_sequence,main_trip_index,mapped_routed_raw_leg_sequence,origin_activity_type,destination_activity_type,mode_before,mode_after,route_distance_m,actual_travel_time_s,route_attributes_hash_before,route_attributes_hash_after,route_text_hash_before,route_text_hash_after,taxi_type,classification_source,fare_baseline_hkd,fare_attribute_written_hkd,attribute_match,conversion_status
hk_collective_000024,2,2,2,home,shopping,ride,taxi,50231.980999999985,2883.0,34fb4f116d95963d917e4eb238cceda312e1ff979b3b2156eafa497f42fdfc79,34fb4f116d95963d917e4eb238cceda312e1ff979b3b2156eafa497f42fdfc79,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unresolved,resident_discretionary_ride_assignment,392.3,392.3,True,converted_validated
hk_collective_000024,3,3,3,shopping,shopping,ride,taxi,7939.932000000003,501.0,190781176f6eb8831184cd3ef391d0c2dd937c56fd68219e6f8ac2985b822a2c,190781176f6eb8831184cd3ef391d0c2dd937c56fd68219e6f8ac2985b822a2c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unresolved,resident_discretionary_ride_assignment,92.0,92.0,True,converted_validated
hk_collective_000024,4,4,4,shopping,home,ride,taxi,51797.37400000002,2904.0,444dc129539499d34e2794967689b473b31f51a1cbb76aa273893dbd3522c234,444dc129539499d34e2794967689b473b31f51a1cbb76aa273893dbd3522c234,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unresolved,resident_discretionary_ride_assignment,402.1,402.1,True,converted_validated
hk_collective_000082,2,2,2,home,dining,ride,taxi,41508.10999999999,2060.0,cfc7b4bf1f58a6a8682d26bf9200ea6837ba1e8c82056dcd6dcd0a1fda67cd76,cfc7b4bf1f58a6a8682d26bf9200ea6837ba1e8c82056dcd6dcd0a1fda67cd76,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unresolved,resident_discretionary_ride_assignment,330.7,330.7,True,converted_validated
hk_collective_000082,3,3,3,dining,home,ride,taxi,41408.004,2045.0,8b1785f36f8507a595fb5c63dda43b7c77e86e79e38f0b06c47a97e079ec5bbd,8b1785f36f8507a595fb5c63dda43b7c77e86e79e38f0b06c47a97e079ec5bbd,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unresolved,resident_discretionary_ride_assignment,330.7,330.7,True,converted_validated
hk_collective_000121,0,0,0,home,shopping,ride,taxi,236.858,16.0,070feb9555b91913f1c3ad140df1022df32f87212f621374a0b4af8db5906cf7,070feb9555b91913f1c3ad140df1022df32f87212f621374a0b4af8db5906cf7,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,new_territories_taxi,resident_discretionary_ride_assignment,25.5,25.5,True,converted_validated
hk_collective_000121,1,1,1,shopping,home,ride,taxi,505.82399999999996,36.0,0c3d199ed66647364116c8164f70e705355ae64c0cdd23ee29d85d48c7a0ffa2,0c3d199ed66647364116c8164f70e705355ae64c0cdd23ee29d85d48c7a0ffa2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,new_territories_taxi,resident_discretionary_ride_assignment,25.5,25.5,True,converted_validated
hk_collective_000222,2,2,2,home,dining,ride,taxi,3866.0079999999994,190.0,76a39d934087f5be1a4d6e73171890ef2d4a0632693ac6198698cf87ec96d565,76a39d934087f5be1a4d6e73171890ef2d4a0632693ac6198698cf87ec96d565,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unresolved,resident_discretionary_ride_assignment,50.0,50.0,True,converted_validated
hk_collective_000222,3,3,3,dining,home,ride,taxi,6190.799,276.0,796e585b93f97d1e62155ed1cab4897328b20cc4e1510ad42d3f7531174ee74d,796e585b93f97d1e62155ed1cab4897328b20cc4e1510ad42d3f7531174ee74d,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unresolved,resident_discretionary_ride_assignment,73.1,73.1,True,converted_validated
hk_collective_000250,0,0,0,home,work,ride,taxi,31439.811,1621.0,10f152007c4245f0a2b68884ffbd9c4033652889512f8f4467366cfac1770f3e,10f152007c4245f0a2b68884ffbd9c4033652889512f8f4467366cfac1770f3e,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,urban_taxi,v1_mode_detail_explicit_taxi,260.7,260.7,True,converted_validated
hk_collective_000250,1,1,1,work,home,ride,taxi,32499.024,1636.0,af56e3bdc71b757001e3e3d074511f3ec84d82478fa1098cd4fa5012f7cb10d8,af56e3bdc71b757001e3e3d074511f3ec84d82478fa1098cd4fa5012f7cb10d8,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,urban_taxi,v1_mode_detail_explicit_taxi,267.7,267.7,True,converted_validated
hk_collective_000251,0,0,0,home,social,ride,taxi,7718.526,428.0,dfdf1da43bb2fcba81b848a6455eded7b83d98b6a21be67c80b2f11292686aa3,dfdf1da43bb2fcba81b848a6455eded7b83d98b6a21be67c80b2f11292686aa3,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,new_territories_taxi,resident_discretionary_ride_assignment,80.6,80.6,True,converted_validated
hk_collective_000251,1,1,1,social,home,ride,taxi,8163.308999999997,457.0,c26ae34c835dd7a82af093138006f12be5744e011aca716733b8c0b177f75074,c26ae34c835dd7a82af093138006f12be5744e011aca716733b8c0b177f75074,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,new_territories_taxi,resident_discretionary_ride_assignment,83.9,83.9,True,converted_validated
hk_collective_000338,2,2,2,home,dining,ride,taxi,4749.736999999999,308.0,a7efcb8eff5e83b4a3ea35ba459f0caf8d73170cfbf78c865dcf5c0f2dbf84da,a7efcb8eff5e83b4a3ea35ba459f0caf8d73170cfbf78c865dcf5c0f2dbf84da,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,new_territories_taxi,resident_discretionary_ride_assignment,52.1,52.1,True,converted_validated
hk_collective_000338,3,3,3,dining,home,ride,taxi,4764.356,307.0,b0d9ef22d8c7ade729f7ff37037d04d33470b48a33433fd3c1059e7feed48abb,b0d9ef22d8c7ade729f7ff37037d04d33470b48a33433fd3c1059e7feed48abb,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,new_territories_taxi,resident_discretionary_ride_assignment,52.1,52.1,True,converted_validated
hk_collective_000350,0,0,0,home,dining,ride,taxi,17.667,0.0,9129e233d9a90a91e453da9bc19444ed00294b0213e38d013bf0735420e4b055,9129e233d9a90a91e453da9bc19444ed00294b0213e38d013bf0735420e4b055,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,new_territories_taxi,resident_discretionary_ride_assignment,25.5,25.5,True,converted_validated
hk_collective_000350,1,1,1,dining,home,ride,taxi,5.207,0.0,9cf57cf437b690ce7e7f9c9946bfe4ad3d34d472986b34b0a1f40aacff3008f9,9cf57cf437b690ce7e7f9c9946bfe4ad3d34d472986b34b0a1f40aacff3008f9,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,new_territories_taxi,resident_discretionary_ride_assignment,25.5,25.5,True,converted_validated
hk_collective_000429,2,2,2,home,leisure,ride,taxi,3513.009,234.0,166f147ff6bf079bfdf673bb7fa5a746435fc55f5bf781393a8b5e300db31fa5,166f147ff6bf079bfdf673bb7fa5a746435fc55f5bf781393a8b5e300db31fa5,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,new_territories_taxi,resident_discretionary_ride_assignment,40.7,40.7,True,converted_validated
hk_collective_000429,3,3,3,leisure,home,ride,taxi,4174.317,279.0,29992dc761e85a3ae8b49bdd453a3c7b4e9ffa9134b5a0cdb7919e45f74b7c67,29992dc761e85a3ae8b49bdd453a3c7b4e9ffa9134b5a0cdb7919e45f74b7c67,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,new_territories_taxi,resident_discretionary_ride_assignment,46.4,46.4,True,converted_validated
hk_collective_000516,0,0,0,home,leisure,ride,taxi,20302.161000000004,994.0,db66606068758443a2994064046cfc19e0f2352b269e5d4ddd77d7a23bb3c66f,db66606068758443a2994064046cfc19e0f2352b269e5d4ddd77d7a23bb3c66f,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,new_territories_taxi,resident_discretionary_ride_assignment,169.3,169.3,True,converted_validated
hk_collective_000516,1,1,1,leisure,home,ride,taxi,25439.079999999998,1195.0,649bf7d2aa58b866ac72ef199065c0ab8e6e6557c680e0d02fea619933c10b95,649bf7d2aa58b866ac72ef199065c0ab8e6e6557c680e0d02fea619933c10b95,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,new_territories_taxi,resident_discretionary_ride_assignment,205.7,205.7,True,converted_validated
hk_collective_000529,2,2,2,home,dining,ride,taxi,39968.97900000001,2127.0,56a748443ba358a0d79cc35af4cf7d0e19fe5cf912ae488d67c0a72031fcc949,56a748443ba358a0d79cc35af4cf7d0e19fe5cf912ae488d67c0a72031fcc949,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,urban_taxi,resident_discretionary_ride_assignment,319.5,319.5,True,converted_validated
hk_collective_000529,3,3,3,dining,home,ride,taxi,38961.174999999996,2027.0,0f17811bd48f97acde55fe12db961e2e5a51aee2ad477e2989da2f26c19ee73d,0f17811bd48f97acde55fe12db961e2e5a51aee2ad477e2989da2f26c19ee73d,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,urban_taxi,resident_discretionary_ride_assignment,312.5,312.5,True,converted_validated
hk_collective_000569,2,2,2,home,dining,ride,taxi,32193.16500000001,1587.0,3555fd1662adbf2b9b7fb3ebda23119796561a561b6e0258b30621cb47889fed,3555fd1662adbf2b9b7fb3ebda23119796561a561b6e0258b30621cb47889fed,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,urban_taxi,resident_discretionary_ride_assignment,264.9,264.9,True,converted_validated
