plan_source,section,metric,category,value
unrouted,structure_count,persons,all,385820
unrouted,structure_count,plans,all,385820
unrouted,structure_count,activities,all,1129434
unrouted,structure_count,legs,all,743614
unrouted,structure_count,routes,all,0
unrouted,mode_count,legs,car,67718
unrouted,mode_count,legs,pt,557104
unrouted,mode_count,legs,ride,56360
unrouted,mode_count,legs,walk,62432
unrouted,plans_per_person,persons,1,385820
unrouted,person_plan_audit,multi_plan_persons,all,0
unrouted,person_plan_audit,selected_plan_unresolved_persons,all,0
unrouted,person_order,person_order_sha256,all,a43f57bfb231a2b5c73cf7b183a254316bde5b4f756ceafe6db8efa60d004694
routed,structure_count,persons,all,385820
routed,structure_count,plans,all,385820
routed,structure_count,activities,all,1264870
routed,structure_count,legs,all,879050
routed,structure_count,routes,all,879050
routed,mode_count,legs,car,67718
routed,mode_count,legs,pt,557104
routed,mode_count,legs,ride,56360
routed,mode_count,legs,walk,197868
routed,route_type_count,routes,generic,811332
routed,route_type_count,routes,links,67718
routed,plans_per_person,persons,1,385820
routed,person_plan_audit,multi_plan_persons,all,0
routed,person_plan_audit,selected_plan_unresolved_persons,all,0
routed,person_order,person_order_sha256,all,387b17170af8337ff74caccc91f14aa7ac089820b82d70451ef50363c9057694
comparison,cross_source,person_id_order_matches,all,False
comparison,cross_source,person_sets_match,all,True
comparison,cross_source,main_sequence_mismatch_persons,all,0
comparison,stage_audit,accepted_stage_types,all,car interaction
comparison,stage_audit,ambiguous_stage_persons,all,0
