"person_id","taxi_ordinal","hk_taxi_main_trip_index","plan_element_index","departure_time_seconds","preceding_leg_modes","fare_hkd","taxi_type","classification_source","observed_departure","observed_arrival","missing_attribution"
"hk_collective_000024","0","2","5","69813.0","pt|pt","392.3","unresolved","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_000024","1","3","7","76713.0","pt|pt|taxi","92.0","unresolved","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_000024","2","4","9","83613.0","pt|pt|taxi|taxi","402.1","unresolved","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_000082","0","2","5","60145.0","walk|walk","330.7","unresolved","resident_discretionary_ride_assignment","true","true",""
"hk_collective_000082","1","3","7","66745.0","walk|walk|taxi","330.7","unresolved","resident_discretionary_ride_assignment","true","true",""
"hk_collective_000121","0","0","1","40203.0","","25.5","new_territories_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_000121","1","1","3","47103.0","taxi","25.5","new_territories_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_000222","0","2","5","69323.0","pt|pt","50.0","unresolved","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_000222","1","3","7","75923.0","pt|pt|taxi","73.1","unresolved","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_000250","0","0","1","28797.0","","260.7","urban_taxi","v1_mode_detail_explicit_taxi","true","true",""
"hk_collective_000250","1","1","3","62438.0","taxi","267.7","urban_taxi","v1_mode_detail_explicit_taxi","true","true",""
"hk_collective_000251","0","0","1","46402.0","","80.6","new_territories_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_000251","1","1","3","56002.0","taxi","83.9","new_territories_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_000338","0","2","5","69917.0","pt|pt","52.1","new_territories_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_000338","1","3","7","76517.0","pt|pt|taxi","52.1","new_territories_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_000350","0","0","1","47014.0","","25.5","new_territories_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_000350","1","1","3","53614.0","taxi","25.5","new_territories_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_000429","0","2","5","72948.0","pt|pt","40.7","new_territories_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_000429","1","3","7","84348.0","pt|pt|taxi","46.4","new_territories_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_000516","0","0","1","47957.0","","169.3","new_territories_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_000516","1","1","3","59357.0","taxi","205.7","new_territories_taxi","resident_discretionary_ride_assignment","true","true",""
"hk_collective_000529","0","2","5","68503.0","pt|pt","319.5","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_000529","1","3","7","75103.0","pt|pt|taxi","312.5","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_000569","0","2","5","78765.0","pt|pt","264.9","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
"hk_collective_000569","1","3","7","85365.0","pt|pt|taxi","73.1","urban_taxi","resident_discretionary_ride_assignment","false","false","invalid_pt_before_taxi_agent_removed"
