"person_id","pt_no_transit_route_lines","pt_no_stop_lines"
"hk_collective_000000","1","1"
"hk_collective_000002","1","1"
"hk_collective_000004","1","1"
"hk_collective_000005","1","1"
"hk_collective_000008","1","1"
"hk_collective_000011","1","1"
"hk_collective_000012","1","1"
"hk_collective_000013","1","1"
"hk_collective_000014","1","1"
"hk_collective_000015","1","1"
"hk_collective_000017","1","1"
"hk_collective_000018","1","1"
"hk_collective_000020","1","1"
"hk_collective_000022","1","1"
"hk_collective_000024","1","1"
"hk_collective_000026","1","1"
"hk_collective_000028","1","1"
"hk_collective_000030","1","1"
"hk_collective_000032","1","1"
"hk_collective_000036","1","1"
"hk_collective_000037","1","1"
"hk_collective_000038","1","1"
"hk_collective_000040","1","1"
"hk_collective_000041","1","1"
"hk_collective_000045","1","1"
"hk_collective_000046","1","1"
"hk_collective_000048","1","1"
"hk_collective_000049","1","1"
"hk_collective_000054","1","1"
"hk_collective_000057","1","1"
"hk_collective_000058","1","1"
"hk_collective_000059","1","1"
"hk_collective_000062","1","1"
"hk_collective_000063","1","1"
"hk_collective_000065","1","1"
"hk_collective_000067","1","1"
"hk_collective_000068","1","1"
"hk_collective_000069","1","1"
"hk_collective_000071","1","1"
"hk_collective_000072","1","1"
"hk_collective_000073","1","1"
"hk_collective_000076","1","1"
"hk_collective_000077","1","1"
"hk_collective_000079","1","1"
"hk_collective_000080","1","1"
"hk_collective_000083","1","1"
"hk_collective_000084","1","1"
"hk_collective_000085","1","1"
"hk_collective_000087","1","1"
"hk_collective_000092","1","1"
"hk_collective_000093","1","1"
"hk_collective_000095","1","1"
"hk_collective_000096","1","1"
"hk_collective_000097","1","1"
"hk_collective_000098","1","1"
"hk_collective_000099","1","1"
"hk_collective_000100","1","1"
"hk_collective_000101","1","1"
"hk_collective_000102","1","1"
"hk_collective_000103","1","1"
"hk_collective_000106","1","1"
"hk_collective_000108","1","1"
"hk_collective_000109","1","1"
"hk_collective_000110","1","1"
"hk_collective_000112","1","1"
"hk_collective_000113","1","1"
"hk_collective_000115","1","1"
"hk_collective_000116","1","1"
"hk_collective_000119","1","1"
"hk_collective_000123","1","1"
"hk_collective_000124","1","1"
"hk_collective_000127","1","1"
"hk_collective_000130","1","1"
"hk_collective_000134","1","1"
"hk_collective_000135","1","1"
"hk_collective_000136","1","1"
"hk_collective_000137","1","1"
"hk_collective_000138","1","1"
"hk_collective_000139","1","1"
"hk_collective_000140","1","1"
"hk_collective_000141","1","1"
"hk_collective_000142","1","1"
"hk_collective_000144","1","1"
"hk_collective_000145","1","1"
"hk_collective_000146","1","1"
"hk_collective_000147","1","1"
"hk_collective_000149","1","1"
"hk_collective_000150","1","1"
"hk_collective_000151","1","1"
"hk_collective_000152","1","1"
"hk_collective_000154","1","1"
"hk_collective_000157","1","1"
"hk_collective_000158","1","1"
"hk_collective_000159","1","1"
"hk_collective_000160","1","1"
"hk_collective_000161","1","1"
"hk_collective_000163","1","1"
"hk_collective_000164","1","1"
"hk_collective_000165","1","1"
"hk_collective_000167","1","1"
"hk_collective_000168","1","1"
"hk_collective_000170","1","1"
"hk_collective_000171","1","1"
"hk_collective_000173","1","1"
"hk_collective_000174","1","1"
"hk_collective_000175","1","1"
"hk_collective_000177","1","1"
"hk_collective_000178","1","1"
"hk_collective_000179","1","1"
"hk_collective_000187","1","1"
"hk_collective_000190","1","1"
"hk_collective_000191","1","1"
"hk_collective_000192","1","1"
"hk_collective_000193","1","1"
"hk_collective_000194","1","1"
"hk_collective_000196","1","1"
"hk_collective_000197","1","1"
"hk_collective_000199","1","1"
"hk_collective_000200","1","1"
"hk_collective_000202","1","1"
"hk_collective_000203","1","1"
"hk_collective_000204","1","1"
"hk_collective_000205","1","1"
