"category","person_id","position","runtime_class","details"
"invalid_pt_original","hk_collective_000000","1","org.matsim.core.population.routes.GenericRouteImpl","activity_signature=home|road_8166_0_r|home_hk_collective_000000|0x1.596f676c8b439p17:0x1.2ccbed5e353f8p21->work|road_101609_0_f|work_poi_igeocom:531363|0x1.acab46872b021p17:0x1.2d9bbdbe76c8bp21;route=road_8166_0_r|road_101609_0_f||0x1.f110bb645a1c9p15|0x1.c12p12||||;invalid=true"
"invalid_pt_original","hk_collective_000000","3","org.matsim.core.population.routes.GenericRouteImpl","activity_signature=work|road_101609_0_f|work_poi_igeocom:531363|0x1.acab46872b021p17:0x1.2d9bbdbe76c8bp21->home|road_8166_0_r|home_hk_collective_000000|0x1.596f676c8b439p17:0x1.2ccbed5e353f8p21;route=road_101609_0_f|road_8166_0_r||0x1.f15c60c49ba6p15|0x1.c31p12||||;invalid=true"
"invalid_pt_original","hk_collective_000002","1","org.matsim.core.population.routes.GenericRouteImpl","activity_signature=home|road_284489_0_f|home_hk_collective_000002|0x1.59705cac08312p17:0x1.2cced016872bp21->work_mobile|road_9203_0_f|work_mobile_grid_23|0x1.59fcfe353f7cfp17:0x1.2c33b0df3b646p21;route=road_284489_0_f|road_9203_0_f||0x1.9efffbe76c8b4p12|0x1.dd8p9||||;invalid=true"
"invalid_pt_original","hk_collective_000002","3","org.matsim.core.population.routes.GenericRouteImpl","activity_signature=work_mobile|road_9203_0_f|work_mobile_grid_23|0x1.59fcfe353f7cfp17:0x1.2c33b0df3b646p21->home|road_284489_0_f|home_hk_collective_000002|0x1.59705cac08312p17:0x1.2cced016872bp21;route=road_9203_0_f|road_284489_0_f||0x1.958d958106251p12|0x1.d28p9||||;invalid=true"
"invalid_pt_original","hk_collective_000004","1","org.matsim.core.population.routes.GenericRouteImpl","activity_signature=home|road_274383_0_r|home_hk_collective_000004|0x1.59446d0e56042p17:0x1.2ccbfba1cac08p21->work|road_64134_0_f|work_grid_814|0x1.9655cfdf3b646p17:0x1.2c75703f7ced9p21;route=road_274383_0_r|road_64134_0_f||0x1.e07d7020c49b6p15|0x1.c23p12||||;invalid=true"
"invalid_pt_taxi","hk_collective_000000","1","org.matsim.core.population.routes.GenericRouteImpl","activity_signature=home|road_8166_0_r|home_hk_collective_000000|0x1.596f676c8b439p17:0x1.2ccbed5e353f8p21->work|road_101609_0_f|work_poi_igeocom:531363|0x1.acab46872b021p17:0x1.2d9bbdbe76c8bp21;route=road_8166_0_r|road_101609_0_f||0x1.f110bb645a1c9p15|0x1.c12p12||||;invalid=true"
"invalid_pt_taxi","hk_collective_000000","3","org.matsim.core.population.routes.GenericRouteImpl","activity_signature=work|road_101609_0_f|work_poi_igeocom:531363|0x1.acab46872b021p17:0x1.2d9bbdbe76c8bp21->home|road_8166_0_r|home_hk_collective_000000|0x1.596f676c8b439p17:0x1.2ccbed5e353f8p21;route=road_101609_0_f|road_8166_0_r||0x1.f15c60c49ba6p15|0x1.c31p12||||;invalid=true"
"invalid_pt_taxi","hk_collective_000002","1","org.matsim.core.population.routes.GenericRouteImpl","activity_signature=home|road_284489_0_f|home_hk_collective_000002|0x1.59705cac08312p17:0x1.2cced016872bp21->work_mobile|road_9203_0_f|work_mobile_grid_23|0x1.59fcfe353f7cfp17:0x1.2c33b0df3b646p21;route=road_284489_0_f|road_9203_0_f||0x1.9efffbe76c8b4p12|0x1.dd8p9||||;invalid=true"
"invalid_pt_taxi","hk_collective_000002","3","org.matsim.core.population.routes.GenericRouteImpl","activity_signature=work_mobile|road_9203_0_f|work_mobile_grid_23|0x1.59fcfe353f7cfp17:0x1.2c33b0df3b646p21->home|road_284489_0_f|home_hk_collective_000002|0x1.59705cac08312p17:0x1.2cced016872bp21;route=road_9203_0_f|road_284489_0_f||0x1.958d958106251p12|0x1.d28p9||||;invalid=true"
"invalid_pt_taxi","hk_collective_000004","1","org.matsim.core.population.routes.GenericRouteImpl","activity_signature=home|road_274383_0_r|home_hk_collective_000004|0x1.59446d0e56042p17:0x1.2ccbfba1cac08p21->work|road_64134_0_f|work_grid_814|0x1.9655cfdf3b646p17:0x1.2c75703f7ced9p21;route=road_274383_0_r|road_64134_0_f||0x1.e07d7020c49b6p15|0x1.c23p12||||;invalid=true"
"first_pt_removal_person_plan_context","hk_person_02893021","0","org.matsim.core.population.ActivityImpl","activity_type=home;link=road_101832_0_f"
"first_pt_removal_person_plan_context","hk_person_02893021","1","org.matsim.core.population.LegImpl","mode=pt;routingMode=pt;departure=0x1.15ap13;routeClass=org.matsim.core.population.routes.GenericRouteImpl;routeDescription="
"first_pt_removal_person_plan_context","hk_person_02893021","2","org.matsim.core.population.ActivityImpl","activity_type=border;link=road_112015_0_f"
"first_pt_removal_person_plan_context","hk_person_02893021","3","org.matsim.core.population.LegImpl","mode=pt;routingMode=pt;departure=0x1.1c0cp16;routeClass=org.matsim.core.population.routes.GenericRouteImpl;routeDescription="
"first_pt_removal_person_plan_context","hk_person_02893021","4","org.matsim.core.population.ActivityImpl","activity_type=home;link=road_101832_0_f"
"first_pt_removal_log","hk_person_02893021","286","2026-07-29T15:18:13,443",""
