"dimension","key","count"
"mode","car","11753"
"mode","<null>","55"
"mode","walk","579"
"hour","19","1495"
"hour","18","1315"
"hour","17","672"
"hour","16","581"
"hour","15","453"
"hour","14","416"
"hour","13","356"
"hour","12","304"
"hour","11","246"
"hour","10","432"
"hour","29","5"
"hour","28","63"
"hour","27","63"
"hour","26","118"
"hour","25","249"
"hour","24","420"
"hour","23","487"
"hour","22","884"
"hour","21","1240"
"hour","20","1483"
"hour","9","314"
"hour","8","137"
"hour","7","1"
"hour","30","653"
"link","road_102259_0_f","2"
"link","road_103459_0_f","1"
"link","road_103300_0_f","25"
"link","road_62921_0_f","6"
"link","road_9060_0_f","1"
"link","road_104674_0_r","1"
"link","road_103954_0_f","37"
"link","road_101309_0_f","5"
"link","road_108015_0_f","1"
"link","road_102274_0_f","1"
"link","road_127914_0_f","1"
"link","road_7757_0_f","9"
"link","road_57160_0_f","4"
"link","road_261181_0_f","2"
"link","road_57603_0_r","5"
"link","road_95027_0_f","1"
"link","road_260197_0_f","1"
"link","road_125034_0_f","12"
"link","road_93088_0_f","31"
"link","road_96185_0_f","3"
"link","road_93122_0_f","19"
"link","road_1098_0_f","1"
"link","road_57603_0_f","1"
"link","road_63872_0_f","1"
"link","road_106039_0_f","2"
"link","road_103437_0_f","21"
"link","road_94496_0_r","3"
"link","road_5127_0_f","3"
"link","road_58130_0_f","30"
"link","road_102007_0_r","1"
"link","road_93296_0_f","5"
"link","road_102948_0_f","1"
"link","road_60042_0_f","4"
"link","road_4638_0_f","1"
"link","road_110653_0_f","1"
"link","road_62828_0_f","13"
"link","road_57834_0_f","2"
"link","road_109847_0_f","2"
"link","road_94746_0_f","6"
"link","road_95443_0_f","7"
"link","road_94266_0_f","3"
"link","road_141084_0_f","2"
"link","road_260175_0_f","4"
"link","road_93066_0_f","7"
"link","road_58992_0_f","8"
"link","road_93259_0_f","17"
"link","road_59947_0_f","4"
"link","road_125723_0_r","1"
"link","road_3669_0_f","2"
"link","road_103415_0_f","43"
"link","road_93754_0_f","5"
"link","road_103876_0_f","8"
"link","road_93081_0_f","33"
"link","road_96606_0_f","2"
"link","road_94474_0_f","1"
"link","road_107693_0_r","4"
"link","road_102926_0_f","4"
"link","road_107928_0_f","7"
"link","road_274483_0_f","2"
"link","road_103430_0_f","4"
"link","road_94682_0_r","1"
"link","road_102884_0_f","2"
"link","road_95637_0_r","1"
"link","road_93237_0_f","5"
"link","road_58245_0_r","3"
"link","road_57238_0_r","8"
"link","road_296259_0_f","1"
"link","road_104997_0_f","2"
"link","road_93698_0_f","9"
"link","road_57238_0_f","3"
"link","road_273303_0_f","1"
"link","road_93948_0_f","1"
"link","road_93252_0_f","6"
"link","road_94207_0_f","1"
"link","road_110575_0_f","6"
"link","road_102904_0_f","2"
"link","road_9116_0_r","15"
"link","road_62077_0_f","1"
"link","road_107671_0_f","3"
"link","road_102424_0_f","8"
"link","road_59653_0_f","9"
"link","road_164491_0_f","37"
"link","road_97017_0_f","2"
"link","road_96085_0_f","2"
"link","road_60615_0_r","1"
"link","road_58703_0_f","8"
"link","road_60808_0_r","1"
"link","road_9804_0_f","1"
"link","road_92919_0_r","5"
"link","road_7672_0_f","9"
"link","road_58189_0_f","1"
"link","road_284688_0_f","1"
"link","road_105234_0_f","3"
"link","road_107634_0_f","4"
"link","road_93196_0_f","3"
"link","road_100693_0_f","1"
"link","road_1720_0_f","6"
"link","road_93926_0_f","2"
"link","road_9592_0_f","2"
"link","road_111730_0_f","5"
"link","road_165174_0_f","17"
"link","road_57231_0_f","1"
"link","road_95343_0_f","2"
"link","road_62248_0_f","15"
"link","road_164662_0_f","3"
"link","road_58647_0_f","28"
"link","road_61350_0_f","12"
"link","road_94567_0_r","1"
"link","road_59151_0_f","3"
"link","road_93847_0_f","1"
"link","road_93654_0_f","1"
"link","road_102308_0_f","2"
"link","road_111909_0_f","10"
"link","road_272270_0_f","1"
"link","road_102576_0_f","1"
"link","road_101569_0_f","2"
"link","road_60400_0_f","20"
"link","road_102130_0_r","1"
"link","road_58201_0_f","3"
"link","road_103028_0_f","10"
"link","road_8563_0_f","2"
"link","road_101123_0_f","4"
"link","road_93424_0_f","3"
"link","road_8620_0_f","1"
"link","road_61487_0_r","1"
"link","road_261446_0_r","3"
"link","road_261389_0_f","5"
"link","road_107786_0_f","3"
"link","road_60321_0_r","1"
"link","road_59322_0_r","2"
"link","road_94582_0_f","1"
"link","road_93137_0_f","1"
"link","road_59095_0_f","4"
"link","road_58088_0_f","1"
"link","road_264063_0_r","1"
"link","road_4898_0_r","1"
"link","road_56913_0_f","5"
"link","road_5251_0_f","3"
"link","road_103754_0_f","1"
"link","road_283006_0_f","4"
"link","road_279843_0_f","2"
"link","road_93840_0_r","1"
"link","road_260209_0_f","1"
"link","road_58108_0_r","1"
"link","road_56894_0_f","14"
"link","road_57369_0_r","36"
"link","road_4955_0_f","3"
"link","road_111902_0_f","12"
"link","road_105171_0_f","2"
"link","road_93402_0_f","30"
"link","road_93308_0_r","1"
"link","road_59073_0_r","23"
"link","road_8061_0_f","1"
"link","road_165323_0_f","2"
"link","road_103717_0_f","4"
"link","road_60515_0_r","1"
"link","road_272427_0_f","28"
"link","road_165531_0_r","2"
"link","road_104682_0_f","3"
"link","road_100880_0_f","1"
"link","road_8292_0_r","3"
"link","road_93803_0_f","7"
"link","road_285595_0_f","9"
"link","road_260432_0_r","1"
"link","road_101332_0_f","4"
"link","road_58561_0_f","51"
"link","road_93539_0_r","1"
"link","road_107727_0_f","41"
"link","road_104395_0_f","2"
"link","road_260648_0_r","1"
"link","road_100786_0_f","1"
"link","road_7822_0_f","1"
"link","road_93323_0_f","8"
"link","road_93130_0_f","6"
"link","road_60035_0_f","27"
"link","road_58081_0_f","1"
"link","road_61235_0_f","1"
"link","road_141111_0_r","1"
"link","road_101540_0_f","1"
"link","road_104660_0_r","3"
"link","road_272900_0_r","2"
"link","road_101949_0_f","6"
"link","road_277845_0_f","8"
"link","road_102260_0_f","2"
"link","road_104608_0_f","1"
"link","road_102669_0_f","16"
"link","road_141092_0_f","8"
"link","road_100571_0_f","2"
"link","road_116769_0_f","11"
"link","road_102439_0_r","1"
"link","road_148721_0_f","2"
"link","road_5809_0_f","2"
"link","road_9871_0_r","1"
"link","road_94675_0_r","2"
"link","road_59668_0_f","38"
"link","road_4181_0_f","1"
"link","road_260819_0_f","1"
"link","road_107686_0_f","9"
"link","road_102439_0_f","60"
"link","road_100995_0_r","1"
"link","road_61901_0_f","1"
"link","road_107720_0_f","8"
"link","road_96421_0_f","8"
"link","road_9391_0_r","12"
"link","road_58963_0_f","1"
"link","road_102934_0_f","4"
"link","road_107936_0_f","15"
"link","road_93725_0_f","1"
"link","road_105249_0_f","1"
"link","road_5537_0_f","2"
"link","road_116747_0_f","7"
"link","road_164216_0_r","1"
"link","road_97104_0_f","1"
"link","road_103401_0_f","11"
"link","road_116804_0_f","1"
"link","road_93015_0_r","3"
"link","road_107664_0_f","1"
"link","road_102662_0_f","39"
"link","road_103862_0_f","7"
"link","road_102855_0_f","11"
"link","road_29_0_f","8"
"link","road_261301_0_f","1"
"link","road_267503_0_f","31"
"link","road_93703_0_r","1"
"link","road_93015_0_f","20"
"link","road_57303_0_f","14"
"link","road_296475_0_f","1"
"link","road_284522_0_r","1"
"link","road_260812_0_f","4"
"link","road_107627_0_f","5"
"link","road_3138_0_f","1"
"link","road_97025_0_f","1"
"link","road_58711_0_f","10"
"link","road_93491_0_f","1"
"link","road_104545_0_f","2"
"link","road_164942_0_f","1"
"link","road_4296_0_f","1"
"link","road_165167_0_f","10"
"link","road_269631_0_f","1"
"link","road_95336_0_f","1"
"link","road_283746_0_f","1"
"link","road_103360_0_f","1"
"link","road_95831_0_f","1"
"link","road_94847_0_f","1"
"link","road_56928_0_f","4"
"link","road_164905_0_f","1"
"link","road_112213_0_f","23"
"link","road_110006_0_f","3"
"link","road_93201_0_r","3"
"link","road_95351_0_f","1"
"link","road_96551_0_f","3"
"link","road_92942_0_f","23"
"link","road_9102_0_f","8"
"link","road_104466_0_f","11"
"link","road_3361_0_f","2"
"link","road_93201_0_f","26"
"link","road_60106_0_f","18"
"link","road_60087_0_r","11"
"link","road_56943_0_f","9"
"link","road_9083_0_f","2"
"link","road_102777_0_f","5"
"link","road_271026_0_f","1"
"link","road_105220_0_f","5"
"link","road_93375_0_f","22"
"link","road_270287_0_f","2"
"link","road_104481_0_f","4"
"link","road_9310_0_f","5"
"link","road_60087_0_f","8"
"link","road_57663_0_f","50"
"link","road_101097_0_f","1"
"link","road_261439_0_f","1"
"link","road_104697_0_f","1"
"link","road_60121_0_f","1"
"link","road_9719_0_f","1"
"link","road_59315_0_f","1"
"link","road_58190_0_f","5"
"link","road_95295_0_f","1"
"link","road_58138_0_f","29"
"link","road_102547_0_f","1"
"link","road_103051_0_f","7"
"link","road_62922_0_r","13"
"link","road_95790_0_f","2"
"link","road_93338_0_f","34"
"link","road_103301_0_f","17"
"link","road_272665_0_r","1"
"link","road_58591_0_f","2"
"link","road_58153_0_f","1"
"link","road_104675_0_r","2"
"link","road_93108_0_f","1"
"link","road_266664_0_f","1"
"link","road_260217_0_f","1"
"link","road_60258_0_f","2"
"link","road_62658_0_f","1"
"link","road_97178_0_f","1"
"link","road_7815_0_r","14"
"link","road_93410_0_f","2"
"link","road_59081_0_r","2"
"link","road_57161_0_f","22"
"link","road_107772_0_f","6"
"link","road_104690_0_r","2"
"link","road_165331_0_f","2"
"link","road_57377_0_f","2"
"link","road_7815_0_f","1"
"link","road_7528_0_r","1"
"link","road_93123_0_f","19"
"link","road_96186_0_f","1"
"link","road_268792_0_r","2"
"link","road_103683_0_f","1"
"link","road_62866_0_f","1"
"link","road_8032_0_f","5"
"link","road_58131_0_f","6"
"link","road_5589_0_f","1"
"link","road_59524_0_f","24"
"link","road_103933_0_f","1"
"link","road_93297_0_f","4"
"link","road_56828_0_r","5"
"link","road_103453_0_f","4"
"link","road_104653_0_f","4"
"link","road_61629_0_f","2"
"link","road_93067_0_r","18"
"link","road_57298_0_f","8"
"link","road_283166_0_f","1"
"link","road_101303_0_f","2"
"link","road_9002_0_f","1"
"link","road_141085_0_f","1"
"link","road_93067_0_f","2"
"link","road_280084_0_f","1"
"link","road_112019_0_f","26"
"link","road_110617_0_f","4"
"link","road_103416_0_f","1"
"link","road_64269_0_f","26"
"link","road_59963_0_r","1"
"link","road_1304_0_f","1"
"link","road_94014_0_f","1"
"link","road_164533_0_f","4"
"link","road_103397_0_f","1"
"link","road_102927_0_f","5"
"link","road_276423_0_f","32"
"link","road_59022_0_f","1"
"link","road_102885_0_f","5"
"link","road_95638_0_r","1"
"link","road_261331_0_f","7"
"link","road_97092_0_f","1"
"link","road_260154_0_f","1"
"link","road_58246_0_r","6"
"link","road_57239_0_r","15"
"link","road_263006_0_f","1"
"link","road_57291_0_f","13"
"link","road_103855_0_f","1"
"link","road_93253_0_f","10"
"link","road_102670_0_f","3"
"link","road_102863_0_f","2"
"link","road_102425_0_f","6"
"link","road_96566_0_f","7"
"link","road_92957_0_f","4"
"link","road_7960_0_f","1"
"link","road_263422_0_r","8"
"link","road_93216_0_f","18"
"link","road_61373_0_f","1"
"link","road_60616_0_r","1"
"link","road_5080_0_f","2"
"link","road_100981_0_f","2"
"link","road_96816_0_f","4"
"link","road_282346_0_r","1"
"link","road_100929_0_f","2"
"link","road_263422_0_f","5"
"link","road_95136_0_f","1"
"link","road_107635_0_f","5"
"link","road_94892_0_r","2"
"link","road_58685_0_f","14"
"link","road_101203_0_r","1"
"link","road_109075_0_r","1"
"link","road_5043_0_f","1"
"link","road_96351_0_f","1"
"link","road_59632_0_f","1"
"link","road_62249_0_f","11"
"link","road_92950_0_r","2"
"link","road_59152_0_f","1"
"link","road_102116_0_f","3"
"link","road_93655_0_f","1"
"link","road_58168_0_f","1"
"link","road_280865_0_f","9"
"link","road_102131_0_r","4"
"link","road_94375_0_f","1"
"link","road_104036_0_f","10"
"link","road_103029_0_f","6"
"link","road_7901_0_f","1"
"link","road_59576_0_r","4"
"link","road_103297_0_f","27"
"link","road_7421_0_f","9"
"link","road_101585_0_f","1"
"link","road_59576_0_f","6"
"link","road_104051_0_f","1"
"link","road_58626_0_f","1"
"link","road_58089_0_f","1"
"link","road_103698_0_f","1"
"link","road_4725_0_f","3"
"link","road_93440_0_f","1"
"link","road_59591_0_f","5"
"link","road_58584_0_f","22"
"link","road_283007_0_f","8"
"link","road_61042_0_f","1"
"link","road_7558_0_r","1"
"link","road_101850_0_f","3"
"link","road_108009_0_f","23"
"link","road_61946_0_r","1"
"link","road_59554_0_r","16"
"link","road_165324_0_r","2"
"link","road_56895_0_f","30"
"link","road_1356_0_f","2"
"link","road_111903_0_f","26"
"link","road_105172_0_f","2"
"link","road_58161_0_f","2"
"link","road_57154_0_f","5"
"link","road_284660_0_f","1"
"link","road_103963_0_f","3"
"link","road_93577_0_r","1"
"link","road_3008_0_f","1"
"link","road_5408_0_f","2"
"link","road_103022_0_f","6"
"link","road_101333_0_r","4"
"link","road_97220_0_f","1"
"link","road_58604_0_f","3"
"link","road_104683_0_f","1"
"link","road_97186_0_f","3"
"link","road_93097_0_r","1"
"link","road_56858_0_f","28"
"link","road_2284_0_r","5"
"link","road_102499_0_f","1"
"link","road_94081_0_f","1"
"link","road_93804_0_f","10"
"link","road_58562_0_f","48"
"link","road_57612_0_r","3"
"link","road_283230_0_f","7"
