grouping_dimension,group_value,leg_count,route_distance_m_mean,route_distance_m_median,fare_baseline_hkd_mean,fare_baseline_hkd_median,old_ride_score_mean,old_ride_score_median,old_ride_score_p10,old_ride_score_p90,new_taxi_score_before_asc_mean,new_taxi_score_before_asc_median,new_taxi_score_before_asc_p10,new_taxi_score_before_asc_p90,asc_equivalent_mean,asc_equivalent_median,asc_equivalent_p10,asc_equivalent_p25,asc_equivalent_p75,asc_equivalent_p90
overall,overall,37286,11162.30779008207,8638.202000000001,109.86560907579253,98.3,-19.295906883499615,-15.341919,-43.0307526666667,-4.636832166666667,-6.54572565216614,-5.806666666666667,-13.346666666666668,-1.6816666666666669,-12.750181231333478,-9.492480499999996,-29.66278650000001,-16.500543874999998,-4.813097000000003,-2.9551655000000006
taxi_type,lantau_taxi,62,2706.2109193548386,2580.6395,34.69516129032259,29.7,-5.865311002688172,-5.679292583333334,-8.432345166666668,-2.5481792333333337,-2.0407526881720432,-1.7933333333333334,-2.844,-1.2758333333333334,-3.824558314516129,-3.8802785,-5.589678500000001,-4.6352845,-2.4141633750000002,-1.2723459000000001
taxi_type,new_territories_taxi,3654,11123.386529556652,7767.752,100.27720306513409,80.6,-19.1775661107006,-13.945133999999998,-43.76810933333335,-4.010446899999999,-6.006346469622331,-4.831666666666667,-12.934833333333332,-1.4583333333333335,-13.171219641078272,-9.109101500000001,-30.831756800000008,-19.457385625,-4.078222625,-2.555661
taxi_type,unresolved,2533,22321.374525463874,24683.63500000001,191.7459928938018,213.1,-36.87855474779576,-40.65776,-66.77927663333334,-5.356131000000001,-11.48379260429004,-12.713333333333335,-19.921666666666667,-1.9450000000000003,-25.394762143505723,-27.870452500000017,-47.0522133,-36.725898499999985,-8.603740999999996,-3.411131000000001
taxi_type,urban_taxi,31037,10273.065281180525,8349.818,104.46217417920546,96.2,-17.901708574647465,-14.885884333333333,-35.89679559999999,-4.636832166666667,-6.215219361836947,-5.705,-11.517333333333333,-1.6816666666666669,-11.686489212810518,-9.199481,-24.340810399999988,-15.045829500000007,-4.813097000000003,-2.9551655000000006
route_distance_bin,0–2 km,4323,1397.8011718713856,1466.941,28.486005089058523,29.0,-3.7632631734906314,-3.875287,-4.636832166666667,-2.6886523333333336,-1.5908616701364793,-1.6083333333333334,-1.6816666666666669,-1.465,-2.172401503354152,-2.2908994999999996,-2.9551655000000006,-2.8753339999999996,-1.71759025,-1.1818414999999995
route_distance_bin,2–5 km,7060,3304.0708511331445,3235.061000000001,43.10082152974504,42.6,-6.838520582648726,-6.724258166666669,-8.873426749999997,-5.065756983333332,-2.5374553824362605,-2.5200000000000005,-3.3301666666666665,-1.8150000000000002,-4.301065200212465,-4.211954,-5.547311599999999,-4.944338375,-3.598032875000001,-3.2174842999999997
route_distance_bin,5–10 km,9799,7456.0450365343395,7355.08,86.22791101132769,85.7,-13.46362533280607,-13.308609833333332,-16.675264233333337,-10.401159200000002,-5.090953328570942,-5.053333333333334,-6.281666666666667,-3.918333333333333,-8.372672004235127,-8.2510865,-10.451892799999994,-9.576894499999998,-7.139362250000001,-6.478955599999999
route_distance_bin,10–20 km,10274,13799.468333365778,13249.520999999997,135.71267276620597,131.9,-23.531059290652784,-22.676303250000004,-30.133775,-18.4529887,-8.117490428914413,-7.913333333333334,-9.901666666666667,-6.726666666666667,-15.413568861738367,-14.756763249999995,-20.238774999999997,-17.800094625,-12.738138250000004,-11.719553749999998
route_distance_bin,20–30 km,3383,24781.317396984923,24466.527999999995,212.19920189181198,208.9,-40.79491382333235,-40.31311466666666,-47.69129053333334,-34.47914986666666,-12.732897822445564,-12.586666666666668,-14.581666666666667,-11.035333333333334,-28.062016000886786,-27.730319999999992,-33.11830039999999,-31.50906025000001,-24.67421775000001,-23.420698999999992
