metric,unit,legs,mean,median,p10,p25,p75,p90,p95
route_distance_m,m,37286,11162.30779008207,8638.202000000001,1936.7770000000003,3837.622,14758.122,26188.286000000007,31816.321999999993
actual_travel_time_s,s,37286,631.4671190259079,527.0,139.0,262.0,854.0,1330.0,1549.0
travel_time_hours,h,37286,0.1754075330627522,0.1463888888888889,0.03861111111111111,0.07277777777777777,0.23722222222222222,0.36944444444444446,0.43027777777777776
fare_baseline_hkd,HKD,37286,109.86560907579253,98.3,29.0,47.9,143.1,222.5,262.1
old_ride_constant_utility,util,37286,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5
old_ride_travel_time_utility,util,37286,-1.0524451983765133,-0.8783333333333334,-2.216666666666667,-1.4233333333333333,-0.43666666666666665,-0.23166666666666666,-0.16
old_ride_distance_utility,util,37286,-16.743461685123105,-12.957303,-39.28242900000001,-22.137183,-5.7564329999999995,-2.9051655000000003,-2.0263905
old_ride_score,util,37286,-19.295906883499615,-15.341919,-43.0307526666667,-25.078640916666657,-7.695187791666667,-4.636832166666667,-3.6863905000000003
new_taxi_travel_time_utility,util,37286,-1.0524451983765133,-0.8783333333333334,-2.216666666666667,-1.4233333333333333,-0.43666666666666665,-0.23166666666666666,-0.16
new_taxi_fare_utility,util,37286,-5.493280453789627,-4.915,-11.125,-7.155,-2.395,-1.4500000000000002,-1.4500000000000002
new_taxi_score_before_asc,util,37286,-6.54572565216614,-5.806666666666667,-13.346666666666668,-8.556666666666668,-2.8466666666666667,-1.6816666666666669,-1.5900000000000003
asc_equivalent,util,37286,-12.750181231333478,-9.492480499999996,-29.66278650000001,-16.500543874999998,-4.813097000000003,-2.9551655000000006,-2.1064564999999997
