scenario_id,taxi_fare_utility_per_hkd,fare_share_factor,taxi_asc,mean_total_leg_utility_with_asc,median_total_leg_utility_with_asc,p10_total_leg_utility_with_asc,p90_total_leg_utility_with_asc,asc_search_note
farecoef_0p03_share_0p5,0.03,0.5,-3,-5.700429334513401,-5.357833333333334,-8.5725,-3.6666666666666665,Offline utility offset only; final mode share cannot be inferred without MATSim replanning.
farecoef_0p03_share_0p5,0.03,0.5,-2,-4.700429334513401,-4.357833333333334,-7.5725,-2.6666666666666665,Offline utility offset only; final mode share cannot be inferred without MATSim replanning.
farecoef_0p03_share_0p5,0.03,0.5,-1,-3.7004293345134007,-3.3578333333333332,-6.5725,-1.6666666666666665,Offline utility offset only; final mode share cannot be inferred without MATSim replanning.
farecoef_0p03_share_0p5,0.03,0.5,0,-2.7004293345134007,-2.3578333333333332,-5.5725,-0.6666666666666666,Offline utility offset only; final mode share cannot be inferred without MATSim replanning.
farecoef_0p03_share_0p5,0.03,0.5,1,-1.7004293345134007,-1.3578333333333332,-4.5725,0.33333333333333337,Offline utility offset only; final mode share cannot be inferred without MATSim replanning.
farecoef_0p03_share_0p5,0.03,0.5,2,-0.7004293345134007,-0.3578333333333332,-3.5725,1.3333333333333335,Offline utility offset only; final mode share cannot be inferred without MATSim replanning.
farecoef_0p03_share_0p5,0.03,0.5,3,0.2995706654865993,0.6421666666666668,-2.5725,2.3333333333333335,Offline utility offset only; final mode share cannot be inferred without MATSim replanning.
farecoef_0p03_share_0p5,0.03,0.5,4,1.2995706654865993,1.6421666666666668,-1.5724999999999998,3.3333333333333335,Offline utility offset only; final mode share cannot be inferred without MATSim replanning.
farecoef_0p03_share_0p5,0.03,0.5,5,2.2995706654865993,2.6421666666666668,-0.5724999999999998,4.333333333333333,Offline utility offset only; final mode share cannot be inferred without MATSim replanning.
farecoef_0p03_share_0p5,0.03,0.5,6,3.2995706654865993,3.6421666666666668,0.4275000000000002,5.333333333333333,Offline utility offset only; final mode share cannot be inferred without MATSim replanning.
farecoef_0p03_share_0p5,0.03,0.5,7,4.299570665486599,4.642166666666666,1.4275000000000002,6.333333333333333,Offline utility offset only; final mode share cannot be inferred without MATSim replanning.
farecoef_0p03_share_0p5,0.03,0.5,8,5.299570665486599,5.642166666666666,2.4275,7.333333333333333,Offline utility offset only; final mode share cannot be inferred without MATSim replanning.
farecoef_0p03_share_0p75,0.03,0.75,-3,-6.524421402581845,-6.095083333333333,-10.236916666666666,-3.8841666666666668,Offline utility offset only; final mode share cannot be inferred without MATSim replanning.
farecoef_0p03_share_0p75,0.03,0.75,-2,-5.524421402581845,-5.095083333333333,-9.236916666666666,-2.8841666666666668,Offline utility offset only; final mode share cannot be inferred without MATSim replanning.
farecoef_0p03_share_0p75,0.03,0.75,-1,-4.524421402581845,-4.095083333333333,-8.236916666666666,-1.8841666666666668,Offline utility offset only; final mode share cannot be inferred without MATSim replanning.
farecoef_0p03_share_0p75,0.03,0.75,0,-3.524421402581845,-3.095083333333333,-7.236916666666667,-0.8841666666666667,Offline utility offset only; final mode share cannot be inferred without MATSim replanning.
farecoef_0p03_share_0p75,0.03,0.75,1,-2.524421402581845,-2.095083333333333,-6.236916666666667,0.11583333333333334,Offline utility offset only; final mode share cannot be inferred without MATSim replanning.
farecoef_0p03_share_0p75,0.03,0.75,2,-1.524421402581845,-1.0950833333333332,-5.236916666666667,1.1158333333333332,Offline utility offset only; final mode share cannot be inferred without MATSim replanning.
farecoef_0p03_share_0p75,0.03,0.75,3,-0.524421402581845,-0.09508333333333319,-4.236916666666667,2.1158333333333332,Offline utility offset only; final mode share cannot be inferred without MATSim replanning.
farecoef_0p03_share_0p75,0.03,0.75,4,0.475578597418155,0.9049166666666668,-3.2369166666666667,3.1158333333333332,Offline utility offset only; final mode share cannot be inferred without MATSim replanning.
farecoef_0p03_share_0p75,0.03,0.75,5,1.475578597418155,1.9049166666666668,-2.2369166666666667,4.115833333333334,Offline utility offset only; final mode share cannot be inferred without MATSim replanning.
farecoef_0p03_share_0p75,0.03,0.75,6,2.475578597418155,2.904916666666667,-1.2369166666666667,5.115833333333334,Offline utility offset only; final mode share cannot be inferred without MATSim replanning.
