scenario_id,taxi_fare_utility_per_hkd,fare_share_factor,marginal_utility_of_traveling_util_hr,effective_time_diagnostic_util_hr,implied_vot_hkd_hr,is_recommended_center,taxi_fare_utility_mean,taxi_fare_utility_median,taxi_fare_utility_p10,taxi_fare_utility_p25,taxi_fare_utility_p75,taxi_fare_utility_p90,taxi_fare_utility_p95,direct_travel_time_utility_mean,direct_travel_time_utility_median,direct_travel_time_utility_p10,direct_travel_time_utility_p25,direct_travel_time_utility_p75,direct_travel_time_utility_p90,direct_travel_time_utility_p95,approx_effective_time_utility_mean,approx_effective_time_utility_median,approx_effective_time_utility_p10,approx_effective_time_utility_p25,approx_effective_time_utility_p75,approx_effective_time_utility_p90,approx_effective_time_utility_p95,total_leg_utility_before_asc_mean,total_leg_utility_before_asc_median,total_leg_utility_before_asc_p10,total_leg_utility_before_asc_p25,total_leg_utility_before_asc_p75,total_leg_utility_before_asc_p90,total_leg_utility_before_asc_p95
farecoef_0p03_share_1p0,0.03,1.0,-6.0,-12.0,400.0,False,-3.2959682722737758,-2.949,-6.675,-4.292999999999999,-1.4369999999999998,-0.87,-0.87,-1.0524451983765133,-0.8783333333333334,-2.216666666666667,-1.4233333333333333,-0.43666666666666665,-0.23166666666666666,-0.16,-2.1048903967530266,-1.7566666666666668,-4.433333333333334,-2.8466666666666667,-0.8733333333333333,-0.4633333333333333,-0.32,-4.348413470650289,-3.832333333333333,-8.8995,-5.702916666666666,-1.8886666666666665,-1.1016666666666666,-1.01
farecoef_0p03_share_0p75,0.03,0.75,-6.0,-12.0,400.0,False,-2.471976204205332,-2.21175,-5.00625,-3.2197499999999994,-1.07775,-0.6525,-0.6525,-1.0524451983765133,-0.8783333333333334,-2.216666666666667,-1.4233333333333333,-0.43666666666666665,-0.23166666666666666,-0.16,-2.1048903967530266,-1.7566666666666668,-4.433333333333334,-2.8466666666666667,-0.8733333333333333,-0.4633333333333333,-0.32,-3.524421402581845,-3.095083333333333,-7.236916666666667,-4.632583333333334,-1.52775,-0.8841666666666667,-0.7925
farecoef_0p03_share_0p5,0.03,0.5,-6.0,-12.0,400.0,False,-1.6479841361368879,-1.4745,-3.3375,-2.1464999999999996,-0.7184999999999999,-0.435,-0.435,-1.0524451983765133,-0.8783333333333334,-2.216666666666667,-1.4233333333333333,-0.43666666666666665,-0.23166666666666666,-0.16,-2.1048903967530266,-1.7566666666666668,-4.433333333333334,-2.8466666666666667,-0.8733333333333333,-0.4633333333333333,-0.32,-2.7004293345134007,-2.3578333333333332,-5.5725,-3.5595000000000003,-1.1677916666666666,-0.6666666666666666,-0.5841666666666667
farecoef_0p05_share_1p0,0.05,1.0,-6.0,-12.0,240.0,True,-5.493280453789627,-4.915,-11.125,-7.155,-2.395,-1.4500000000000002,-1.4500000000000002,-1.0524451983765133,-0.8783333333333334,-2.216666666666667,-1.4233333333333333,-0.43666666666666665,-0.23166666666666666,-0.16,-2.1048903967530266,-1.7566666666666668,-4.433333333333334,-2.8466666666666667,-0.8733333333333333,-0.4633333333333333,-0.32,-6.54572565216614,-5.806666666666667,-13.346666666666668,-8.556666666666668,-2.8466666666666667,-1.6816666666666669,-1.5900000000000003
farecoef_0p05_share_0p75,0.05,0.75,-6.0,-12.0,240.0,False,-4.11996034034222,-3.6862500000000002,-8.34375,-5.36625,-1.7962500000000001,-1.0875000000000001,-1.0875000000000001,-1.0524451983765133,-0.8783333333333334,-2.216666666666667,-1.4233333333333333,-0.43666666666666665,-0.23166666666666666,-0.16,-2.1048903967530266,-1.7566666666666668,-4.433333333333334,-2.8466666666666667,-0.8733333333333333,-0.4633333333333333,-0.32,-5.172405538718733,-4.574583333333334,-10.565833333333334,-6.770416666666667,-2.247916666666667,-1.3191666666666668,-1.2275
farecoef_0p05_share_0p5,0.05,0.5,-6.0,-12.0,240.0,False,-2.7466402268948134,-2.4575,-5.5625,-3.5775,-1.1975,-0.7250000000000001,-0.7250000000000001,-1.0524451983765133,-0.8783333333333334,-2.216666666666667,-1.4233333333333333,-0.43666666666666665,-0.23166666666666666,-0.16,-2.1048903967530266,-1.7566666666666668,-4.433333333333334,-2.8466666666666667,-0.8733333333333333,-0.4633333333333333,-0.32,-3.799085425271326,-3.340416666666667,-7.793333333333334,-4.989166666666667,-1.6483333333333334,-0.9566666666666668,-0.8650000000000001
farecoef_0p075_share_1p0,0.075,1.0,-6.0,-12.0,160.0,False,-8.239920680684438,-7.3725,-16.6875,-10.7325,-3.5925,-2.175,-2.175,-1.0524451983765133,-0.8783333333333334,-2.216666666666667,-1.4233333333333333,-0.43666666666666665,-0.23166666666666666,-0.16,-2.1048903967530266,-1.7566666666666668,-4.433333333333334,-2.8466666666666667,-0.8733333333333333,-0.4633333333333333,-0.32,-9.29236587906095,-8.264166666666666,-18.910000000000004,-12.1275,-4.0441666666666665,-2.4066666666666663,-2.315
farecoef_0p075_share_0p75,0.075,0.75,-6.0,-12.0,160.0,False,-6.17994051051333,-5.529375,-12.515625,-8.049375,-2.694375,-1.6312499999999999,-1.6312499999999999,-1.0524451983765133,-0.8783333333333334,-2.216666666666667,-1.4233333333333333,-0.43666666666666665,-0.23166666666666666,-0.16,-2.1048903967530266,-1.7566666666666668,-4.433333333333334,-2.8466666666666667,-0.8733333333333333,-0.4633333333333333,-0.32,-7.232385708889842,-6.4210416666666665,-14.736250000000002,-9.4509375,-3.1460416666666666,-1.8629166666666666,-1.7712499999999998
farecoef_0p075_share_0p5,0.075,0.5,-6.0,-12.0,160.0,False,-4.119960340342219,-3.68625,-8.34375,-5.36625,-1.79625,-1.0875,-1.0875,-1.0524451983765133,-0.8783333333333334,-2.216666666666667,-1.4233333333333333,-0.43666666666666665,-0.23166666666666666,-0.16,-2.1048903967530266,-1.7566666666666668,-4.433333333333334,-2.8466666666666667,-0.8733333333333333,-0.4633333333333333,-0.32,-5.172405538718733,-4.574583333333333,-10.565833333333334,-6.770416666666667,-2.247916666666667,-1.3191666666666666,-1.2275
farecoef_0p1_share_1p0,0.1,1.0,-6.0,-12.0,120.0,False,-10.986560907579253,-9.83,-22.25,-14.31,-4.79,-2.9000000000000004,-2.9000000000000004,-1.0524451983765133,-0.8783333333333334,-2.216666666666667,-1.4233333333333333,-0.43666666666666665,-0.23166666666666666,-0.16,-2.1048903967530266,-1.7566666666666668,-4.433333333333334,-2.8466666666666667,-0.8733333333333333,-0.4633333333333333,-0.32,-12.039006105955767,-10.719166666666666,-24.47416666666667,-15.697916666666668,-5.241666666666667,-3.131666666666667,-3.0400000000000005
