scenario_id,taxi_fare_utility_per_hkd,fare_share_factor,implied_vot_hkd_hr,legs,taxi_fare_utility_mean,taxi_fare_utility_median,taxi_fare_utility_p10,taxi_fare_utility_p25,taxi_fare_utility_p75,taxi_fare_utility_p90,taxi_fare_utility_p95,direct_travel_time_utility_mean,direct_travel_time_utility_median,direct_travel_time_utility_p10,direct_travel_time_utility_p25,direct_travel_time_utility_p75,direct_travel_time_utility_p90,direct_travel_time_utility_p95,approximate_effective_time_utility_mean,approximate_effective_time_utility_median,approximate_effective_time_utility_p10,approximate_effective_time_utility_p25,approximate_effective_time_utility_p75,approximate_effective_time_utility_p90,approximate_effective_time_utility_p95,total_leg_utility_before_asc_mean,total_leg_utility_before_asc_median,total_leg_utility_before_asc_p10,total_leg_utility_before_asc_p25,total_leg_utility_before_asc_p75,total_leg_utility_before_asc_p90,total_leg_utility_before_asc_p95,fare_to_direct_time_utility_ratio_mean,fare_to_direct_time_utility_ratio_median,fare_to_direct_time_utility_ratio_p10,fare_to_direct_time_utility_ratio_p25,fare_to_direct_time_utility_ratio_p75,fare_to_direct_time_utility_ratio_p90,fare_to_direct_time_utility_ratio_p95,fare_to_effective_time_utility_ratio_mean,fare_to_effective_time_utility_ratio_median,fare_to_effective_time_utility_ratio_p10,fare_to_effective_time_utility_ratio_p25,fare_to_effective_time_utility_ratio_p75,fare_to_effective_time_utility_ratio_p90,fare_to_effective_time_utility_ratio_p95
farecoef_0p03_share_0p5,0.03,0.5,400.0,37286,-1.6479841361368879,-1.4745,-3.3375,-2.1464999999999996,-0.7184999999999999,-0.435,-0.435,-1.0524451983765133,-0.8783333333333334,-2.216666666666667,-1.4233333333333333,-0.43666666666666665,-0.23166666666666666,-0.16,-2.1048903967530266,-1.7566666666666668,-4.433333333333334,-2.8466666666666667,-0.8733333333333333,-0.4633333333333333,-0.32,-2.7004293345134007,-2.3578333333333332,-5.5725,-3.5595000000000003,-1.1677916666666666,-0.6666666666666666,-0.5841666666666667,1.8260561506196726,1.6310469314079423,1.4297165901198612,1.5268481271617784,1.7625000000000002,1.9477611940298507,2.6363636363636362,0.9130280753098363,0.8155234657039712,0.7148582950599306,0.7634240635808892,0.8812500000000001,0.9738805970149254,1.3181818181818181
farecoef_0p03_share_0p75,0.03,0.75,400.0,37286,-2.471976204205332,-2.21175,-5.00625,-3.2197499999999994,-1.07775,-0.6525,-0.6525,-1.0524451983765133,-0.8783333333333334,-2.216666666666667,-1.4233333333333333,-0.43666666666666665,-0.23166666666666666,-0.16,-2.1048903967530266,-1.7566666666666668,-4.433333333333334,-2.8466666666666667,-0.8733333333333333,-0.4633333333333333,-0.32,-3.524421402581845,-3.095083333333333,-7.236916666666667,-4.632583333333334,-1.52775,-0.8841666666666667,-0.7925,2.7390842259295085,2.446570397111913,2.1445748851797917,2.2902721907426677,2.64375,2.921641791044776,3.954545454545454,1.3695421129647543,1.2232851985559565,1.0722874425898958,1.1451360953713339,1.321875,1.460820895522388,1.977272727272727
farecoef_0p03_share_1p0,0.03,1.0,400.0,37286,-3.2959682722737758,-2.949,-6.675,-4.292999999999999,-1.4369999999999998,-0.87,-0.87,-1.0524451983765133,-0.8783333333333334,-2.216666666666667,-1.4233333333333333,-0.43666666666666665,-0.23166666666666666,-0.16,-2.1048903967530266,-1.7566666666666668,-4.433333333333334,-2.8466666666666667,-0.8733333333333333,-0.4633333333333333,-0.32,-4.348413470650289,-3.832333333333333,-8.8995,-5.702916666666666,-1.8886666666666665,-1.1016666666666666,-1.01,3.6521123012393453,3.2620938628158846,2.8594331802397224,3.053696254323557,3.5250000000000004,3.8955223880597014,5.2727272727272725,1.8260561506196726,1.6310469314079423,1.4297165901198612,1.5268481271617784,1.7625000000000002,1.9477611940298507,2.6363636363636362
farecoef_0p05_share_0p5,0.05,0.5,240.0,37286,-2.7466402268948134,-2.4575,-5.5625,-3.5775,-1.1975,-0.7250000000000001,-0.7250000000000001,-1.0524451983765133,-0.8783333333333334,-2.216666666666667,-1.4233333333333333,-0.43666666666666665,-0.23166666666666666,-0.16,-2.1048903967530266,-1.7566666666666668,-4.433333333333334,-2.8466666666666667,-0.8733333333333333,-0.4633333333333333,-0.32,-3.799085425271326,-3.340416666666667,-7.793333333333334,-4.989166666666667,-1.6483333333333334,-0.9566666666666668,-0.8650000000000001,3.0434269176994544,2.718411552346571,2.382860983533102,2.5447468786029637,2.9375000000000004,3.2462686567164183,4.3939393939393945,1.5217134588497272,1.3592057761732854,1.191430491766551,1.2723734393014818,1.4687500000000002,1.6231343283582091,2.1969696969696972
farecoef_0p05_share_0p75,0.05,0.75,240.0,37286,-4.11996034034222,-3.6862500000000002,-8.34375,-5.36625,-1.7962500000000001,-1.0875000000000001,-1.0875000000000001,-1.0524451983765133,-0.8783333333333334,-2.216666666666667,-1.4233333333333333,-0.43666666666666665,-0.23166666666666666,-0.16,-2.1048903967530266,-1.7566666666666668,-4.433333333333334,-2.8466666666666667,-0.8733333333333333,-0.4633333333333333,-0.32,-5.172405538718733,-4.574583333333334,-10.565833333333334,-6.770416666666667,-2.247916666666667,-1.3191666666666668,-1.2275,4.5651403765491825,4.077617328519856,3.5742914752996535,3.817120317904446,4.40625,4.869402985074627,6.590909090909092,2.2825701882745912,2.038808664259928,1.7871457376498268,1.908560158952223,2.203125,2.4347014925373136,3.295454545454546
farecoef_0p05_share_1p0,0.05,1.0,240.0,37286,-5.493280453789627,-4.915,-11.125,-7.155,-2.395,-1.4500000000000002,-1.4500000000000002,-1.0524451983765133,-0.8783333333333334,-2.216666666666667,-1.4233333333333333,-0.43666666666666665,-0.23166666666666666,-0.16,-2.1048903967530266,-1.7566666666666668,-4.433333333333334,-2.8466666666666667,-0.8733333333333333,-0.4633333333333333,-0.32,-6.54572565216614,-5.806666666666667,-13.346666666666668,-8.556666666666668,-2.8466666666666667,-1.6816666666666669,-1.5900000000000003,6.086853835398909,5.436823104693142,4.765721967066204,5.089493757205927,5.875000000000001,6.492537313432837,8.787878787878789,3.0434269176994544,2.718411552346571,2.382860983533102,2.5447468786029637,2.9375000000000004,3.2462686567164183,4.3939393939393945
farecoef_0p075_share_0p5,0.075,0.5,160.0,37286,-4.119960340342219,-3.68625,-8.34375,-5.36625,-1.79625,-1.0875,-1.0875,-1.0524451983765133,-0.8783333333333334,-2.216666666666667,-1.4233333333333333,-0.43666666666666665,-0.23166666666666666,-0.16,-2.1048903967530266,-1.7566666666666668,-4.433333333333334,-2.8466666666666667,-0.8733333333333333,-0.4633333333333333,-0.32,-5.172405538718733,-4.574583333333333,-10.565833333333334,-6.770416666666667,-2.247916666666667,-1.3191666666666666,-1.2275,4.565140376549182,4.077617328519856,3.5742914752996535,3.817120317904446,4.40625,4.869402985074626,6.59090909090909,2.282570188274591,2.038808664259928,1.7871457376498268,1.908560158952223,2.203125,2.434701492537313,3.295454545454545
farecoef_0p075_share_0p75,0.075,0.75,160.0,37286,-6.17994051051333,-5.529375,-12.515625,-8.049375,-2.694375,-1.6312499999999999,-1.6312499999999999,-1.0524451983765133,-0.8783333333333334,-2.216666666666667,-1.4233333333333333,-0.43666666666666665,-0.23166666666666666,-0.16,-2.1048903967530266,-1.7566666666666668,-4.433333333333334,-2.8466666666666667,-0.8733333333333333,-0.4633333333333333,-0.32,-7.232385708889842,-6.4210416666666665,-14.736250000000002,-9.4509375,-3.1460416666666666,-1.8629166666666666,-1.7712499999999998,6.847710564823773,6.116425992779783,5.36143721294948,5.725680476856669,6.609375,7.30410447761194,9.886363636363635,3.4238552824118864,3.0582129963898916,2.68071860647474,2.8628402384283347,3.3046875,3.65205223880597,4.9431818181818175
farecoef_0p075_share_1p0,0.075,1.0,160.0,37286,-8.239920680684438,-7.3725,-16.6875,-10.7325,-3.5925,-2.175,-2.175,-1.0524451983765133,-0.8783333333333334,-2.216666666666667,-1.4233333333333333,-0.43666666666666665,-0.23166666666666666,-0.16,-2.1048903967530266,-1.7566666666666668,-4.433333333333334,-2.8466666666666667,-0.8733333333333333,-0.4633333333333333,-0.32,-9.29236587906095,-8.264166666666666,-18.910000000000004,-12.1275,-4.0441666666666665,-2.4066666666666663,-2.315,9.130280753098363,8.155234657039712,7.148582950599307,7.634240635808892,8.8125,9.738805970149253,13.18181818181818,4.565140376549182,4.077617328519856,3.5742914752996535,3.817120317904446,4.40625,4.869402985074626,6.59090909090909
farecoef_0p1_share_0p5,0.1,0.5,120.0,37286,-5.493280453789627,-4.915,-11.125,-7.155,-2.395,-1.4500000000000002,-1.4500000000000002,-1.0524451983765133,-0.8783333333333334,-2.216666666666667,-1.4233333333333333,-0.43666666666666665,-0.23166666666666666,-0.16,-2.1048903967530266,-1.7566666666666668,-4.433333333333334,-2.8466666666666667,-0.8733333333333333,-0.4633333333333333,-0.32,-6.54572565216614,-5.806666666666667,-13.346666666666668,-8.556666666666668,-2.8466666666666667,-1.6816666666666669,-1.5900000000000003,6.086853835398909,5.436823104693142,4.765721967066204,5.089493757205927,5.875000000000001,6.492537313432837,8.787878787878789,3.0434269176994544,2.718411552346571,2.382860983533102,2.5447468786029637,2.9375000000000004,3.2462686567164183,4.3939393939393945
