"YR_MTH","MODE","TTD_PTO_CODE","FRANCHISE_TYPE","RAIL_LINE","PAX","PAX_INDI"
"201301","PLB","GMB","","",47274.576,""
"201301","Fran_Bus","NLB","","",1910.363,""
"201301","Fran_Bus","LWB","","",2612.52,""
"201301","Fran_Bus","NWFB","","",15571.513,""
"201301","Fran_Bus","CTB","2","",2087.759,""
"201301","Fran_Bus","CTB","1","",17619.148,""
"201301","Fran_Bus","KMB","","",81882.717,""
"201301","Railways","HKT","","",6381.452,""
"201301","Railways","MTRC","","LRT",14391.879,""
"201301","Railways","MTRC","","Airport",1035.941,""
"201301","LRB","LRB","","",4043.861,""
"201301","RS","RS","","",7391.876,""
"201301","TAX","TAX","","",30233.941593,""
"201301","Ferries","LFS","","",1107.363,""
"201301","Ferries","STF","","",1767.984,""
"201301","Ferries","NWFF","","",1089.022,""
"201301","PLB","RMB","","",11107.337,""
"201301","Railways","MTRC","","Local",135857.719,""
"201302","Railways","MTRC","","LRT",12671.037,""
"201302","LRB","LRB","","",3440.355,""
"201302","RS","RS","","",6410.69,""
"201302","TAX","TAX","","",28455.323449,""
"201302","Ferries","LFS","","",1048.068,""
"201302","Ferries","STF","","",1701.151,""
"201302","Ferries","NWFF","","",1099.98,""
"201302","PLB","RMB","","",9656.186,""
"201302","PLB","GMB","","",41689.922,""
"201302","Railways","MTRC","","Local",118165.092,""
"201302","Fran_Bus","NLB","","",1892.049,""
"201302","Fran_Bus","LWB","","",2431.136,""
"201302","Fran_Bus","NWFB","","",13692.206,""
"201302","Fran_Bus","CTB","2","",1906.86,""
"201302","Fran_Bus","CTB","1","",16003.876,""
"201302","Fran_Bus","KMB","","",73197.688,""
"201302","Railways","HKT","","",5644.37,""
"201302","Railways","MTRC","","Airport",932.392,""
"201303","PLB","GMB","","",46600.826,""
"201303","PLB","RMB","","",10774.893,""
"201303","Ferries","NWFF","","",1225.462,""
"201303","Ferries","STF","","",1803.663,""
"201303","Ferries","LFS","","",1170.366,""
"201303","TAX","TAX","","",31728.467126,""
"201303","RS","RS","","",7266.638,""
"201303","LRB","LRB","","",3950.375,""
"201303","Fran_Bus","KMB","","",80611.327,""
"201303","Fran_Bus","CTB","1","",17490.612,""
"201303","Fran_Bus","CTB","2","",2140.919,""
"201303","Fran_Bus","NWFB","","",15259.391,""
"201303","Fran_Bus","LWB","","",2696.303,""
"201303","Fran_Bus","NLB","","",1969.155,""
"201303","Railways","MTRC","","Local",132018.522,""
"201303","Railways","MTRC","","Airport",1145.913,""
"201303","Railways","MTRC","","LRT",14181.09,""
"201303","Railways","HKT","","",6213.038,""
"201304","PLB","GMB","","",44875.186,""
"201304","Railways","HKT","","",5859.343,""
"201304","Railways","MTRC","","LRT",13685.255,""
"201304","Railways","MTRC","","Airport",1132.849,""
"201304","Railways","MTRC","","Local",126089.38,""
"201304","Fran_Bus","NLB","","",1807.786,""
"201304","Fran_Bus","LWB","","",2630.259,""
"201304","Fran_Bus","NWFB","","",14675.505,""
"201304","Fran_Bus","CTB","2","",2073.453,""
"201304","Fran_Bus","CTB","1","",16601.155,""
"201304","Fran_Bus","KMB","","",76810.306,""
"201304","LRB","LRB","","",3805.05,""
"201304","RS","RS","","",7079.225,""
"201304","TAX","TAX","","",29144.168239,""
"201304","Ferries","LFS","","",1095.271,""
"201304","Ferries","STF","","",1651.081,""
"201304","Ferries","NWFF","","",1142.479,""
"201304","PLB","RMB","","",10510.686,""
"201305","Fran_Bus","KMB","","",80093.765,""
"201305","LRB","LRB","","",4006.319,""
