"YR_MTH","MODE","TTD_PTO_CODE","FRANCHISE_TYPE","RAIL_LINE","BUS_TYPE_CODE","KM","KM_INDI","KM_CROSS_HARBOUR","KM_CROSS_HARBOUR_INDI","NO_FLEET","NO_FLEET_INDI","PAX_CAP","PAX_CAP_INDI"
"201301","RS","RS","","","",3608.873,"",,"",1094,"",55030,""
"201301","TAX","TAX","","","",,"",,"",18133,"",89401,""
"201301","Fran_Bus","KMB","","","",26388.568,"",3095.829,"",3827,"",472792,""
"201301","Fran_Bus","KMB","","","DD",,"",,"",3660,"",,""
"201301","Fran_Bus","KMB","","","SD",,"",,"",167,"",,""
"201301","Fran_Bus","CTB","1","","",4685.9079,"",2082.9212,"",778,"",94946,""
"201301","Fran_Bus","CTB","1","","DD",,"",,"",714,"",,""
"201301","Fran_Bus","CTB","1","","SD",,"",,"",64,"",,""
"201301","Fran_Bus","CTB","2","","",2293.9684,"",670.9643,"",170,"",17993,""
"201301","Fran_Bus","CTB","2","","DD",,"",,"",152,"",,""
"201301","Fran_Bus","CTB","2","","SD",,"",,"",18,"",,""
"201301","Fran_Bus","NWFB","","","",4068.7949,"",1611.9617,"",700,"",86004,""
"201301","Fran_Bus","NWFB","","","DD",,"",,"",664,"",,""
"201301","Fran_Bus","NWFB","","","SD",,"",,"",36,"",,""
"201301","Fran_Bus","LWB","","","",2156.262,"",,"",166,"",19638,""
"201301","Fran_Bus","LWB","","","DD",,"",,"",166,"",,""
"201301","Fran_Bus","LWB","","","SD",,"",,"",0,"",,""
"201301","Fran_Bus","NLB","","","",606.353,"",,"",108,"",7019,""
"201301","Fran_Bus","NLB","","","DD",,"",,"",0,"",,""
"201301","Fran_Bus","NLB","","","SD",,"",,"",108,"",,""
"201301","Railways","MTRC","","Local","",2718.556,"",,"",1740,"",548214,""
"201301","Railways","MTRC","","Airport","",246.145,"",,"",77,"",7700,""
"201301","Railways","MTRC","","LRT","",662.61,"",,"",139,"",32665,""
"201301","Railways","HKT","","","",426.42619,"",,"",161,"",18515,""
"201301","PLB","GMB","","","",28014.241,"",,"",3074,"",49184,""
"201301","PLB","RMB","","","",,"",,"",1274,"",20384,""
"201301","Ferries","NWFF","","","",0,"",,"",21,"",13891,""
"201301","Ferries","STF","","","",0,"",,"",11,"",5913,""
"201301","Ferries","LFS","","","",0,"",,"",36,"",10676,""
"201301","LRB","LRB","","","",502.9998,"",,"",117,"",13052,""
"201301","LRB","LRB","","","DD",,"",,"",109,"",,""
"201301","LRB","LRB","","","SD",,"",,"",8,"",,""
"201302","Fran_Bus","KMB","","","",23473.307,"",2747.878,"",3818,"",471547,""
"201302","Fran_Bus","KMB","","","DD",,"",,"",3651,"",,""
"201302","Fran_Bus","KMB","","","SD",,"",,"",167,"",,""
"201302","Fran_Bus","CTB","1","","",4203.3679,"",1863.7907,"",777,"",94551,""
"201302","Fran_Bus","CTB","1","","DD",,"",,"",713,"",,""
