"YR_MTH","VEHICLE_CLASS_CODE","GOODS_VEHICLE_TYPE_CODE","GOV_VEHICLE_TYPE_CODE","MOTOR_CYCLE_TYPE_CODE","TAXIS_TYPE_CODE","TTD_PTO_CODE","BUS_TYPE_CODE","FRANCHISED_TYPE","FIRST_REG","TOTAL_REG","TOTAL_LIC"
"201301","12","","","","","NLB","DD","",0,0,0
"201301","12","","","","","LWB","DD","",1,168,166
"201301","12","","","","","NLB","SD","",0,108,108
"201301","12","","","","","NWFB","SD","",0,36,36
"201301","6","","","","","","","",10,1625,1473
"201301","12","","","","","CTB","SD","1",0,68,64
"201301","12","","","","","CTB","SD","2",0,19,18
"201301","12","","","","","CTB","DD","1",11,734,714
"201301","2","","","SOLO","","","","",298,57439,39964
"201301","12","","","","","LWB","SD","",0,0,0
"201301","11","","","","","OTHERS","DD","",0,99,99
"201301","9","","","","","GMB","","",6,3074,3074
"201301","10","","","","","","","",31,2494,2474
"201301","3","","","","Lantau","TAX","","",2,50,50
"201301","9","","","","","RMB","","",2,1276,1274
"201301","11","","","","","LRB","SD","",0,8,8
"201301","12","","","","","CTB","DD","2",0,154,152
"201301","7","","MC","","","","","",0,901,901
"201301","2","","","MTRI","","","","",1,55,37
"201301","12","","","","","KMB","SD","",1,168,167
"201301","3","","","","Urban","TAX","","",6,15250,15249
"201301","7","","OTHERS","","","","","",17,5348,5348
"201301","12","","","","","NWFB","DD","",2,673,664
"201301","2","","","COMBO","","","","",0,46,28
"201301","4","","","","","","DD","",0,58,57
"201301","3","","","","NT","TAX","","",6,2838,2834
"201301","5","3","","","","","","",61,4396,4294
"201301","11","","","","","LRB","DD","",0,110,109
"201301","11","","","","","OTHERS","SD","",66,6836,6749
"201301","5","1","","","","","","",436,76458,72044
"201301","12","","","","","KMB","DD","",17,3662,3660
"201301","5","2","","","","","","",170,39325,36885
"201301","1","","","","","","","",3863,496835,457570
"201301","4","","","","","","SD","",8,502,492
"201302","12","","","","","KMB","DD","",2,3660,3651
"201302","1","","","","","","","",3128,498529,459222
"201302","12","","","","","NWFB","SD","",0,36,36
"201302","11","","","","","OTHERS","DD","",0,99,99
"201302","3","","","","NT","TAX","","",2,2838,2830
"201302","5","3","","","","","","",61,4434,4321
"201302","3","","","","Urban","TAX","","",15,15250,15248
"201302","4","","","","","","DD","",0,58,57
"201302","2","","","COMBO","","","","",0,46,28
"201302","9","","","","","GMB","","",0,3076,3075
"201302","12","","","","","CTB","DD","1",10,731,713
"201302","12","","","","","NLB","SD","",2,108,108
"201302","7","","MC","","","","","",0,895,895
"201302","2","","","SOLO","","","","",260,57565,40133
"201302","3","","","","Lantau","TAX","","",0,50,50
"201302","12","","","","","KMB","SD","",0,168,167
"201302","12","","","","","NLB","DD","",0,0,0
"201302","12","","","","","NWFB","DD","",5,678,669
"201302","11","","","","","LRB","SD","",0,8,8
"201302","11","","","","","OTHERS","SD","",38,6838,6742
"201302","5","1","","","","","","",334,76617,71997
"201302","9","","","","","RMB","","",1,1274,1273
"201302","4","","","","","","SD","",9,506,496
"201302","2","","","MTRI","","","","",0,55,36
"201302","12","","","","","CTB","DD","2",0,154,150
"201302","12","","","","","LWB","DD","",1,169,167
"201302","7","","OTHERS","","","","","",34,5351,5351
"201302","5","2","","","","","","",137,39360,36835
"201302","12","","","","","CTB","SD","2",0,19,18
"201302","10","","","","","","","",12,2502,2478
"201302","12","","","","","LWB","SD","",0,0,0
"201302","6","","","","","","","",3,1625,1469
"201302","11","","","","","LRB","DD","",0,110,109
"201302","12","","","","","CTB","SD","1",0,68,64
"201303","11","","","","","LRB","DD","",0,110,109
"201303","12","","","","","KMB","SD","",0,168,167
"201303","5","3","","","","","","",195,4599,4444
"201303","12","","","","","NWFB","DD","",7,685,675
"201303","12","","","","","NLB","SD","",2,108,108
"201303","11","","","","","OTHERS","SD","",96,6830,6740
"201303","1","","","","","","","",4284,501021,460504
"201303","12","","","","","CTB","DD","1",6,734,708
"201303","12","","","","","NWFB","SD","",0,36,36
"201303","12","","","","","CTB","SD","2",0,19,18
"201303","12","","","","","LWB","DD","",0,169,167
"201303","2","","","COMBO","","","","",0,46,29
"201303","6","","","","","","","",12,1636,1474
"201303","4","","","","","","SD","",10,513,502
"201303","12","","","","","KMB","DD","",0,3630,3606
"201303","5","2","","","","","","",662,39838,36969
"201303","9","","","","","RMB","","",3,1266,1264
"201303","12","","","","","CTB","DD","2",4,158,154
"201303","3","","","","Lantau","TAX","","",0,50,50
"201303","5","1","","","","","","",777,77116,72313
"201303","2","","","SOLO","","","","",384,57815,40068
"201303","2","","","MTRI","","","","",1,56,37
"201303","9","","","","","GMB","","",2,3084,3084
"201303","12","","","","","NLB","DD","",0,0,0
"201303","11","","","","","OTHERS","DD","",0,99,99
"201303","3","","","","Urban","TAX","","",24,15250,15244
"201303","11","","","","","LRB","SD","",0,8,8
"201303","3","","","","NT","TAX","","",9,2838,2829
"201303","7","","OTHERS","","","","","",64,5363,5363
"201303","12","","","","","CTB","SD","1",0,68,64
"201303","7","","MC","","","","","",0,890,890
"201303","10","","","","","","","",35,2537,2512
