edge_id,from_lat_wgs84,from_lon_wgs84,from_sequence,from_station_id,from_station_name,line_id,line_name,to_lat_wgs84,to_lon_wgs84,to_sequence,to_station_id,to_station_name
350100010003_001_002,26.09021659020983,119.28392964621786,1,BV10208388,西门,350100010003,1路(西门--白湖亭),26.08787041351458,119.28585016286716,2,BV09180217,善化坊口
350100010003_002_003,26.08787041351458,119.28585016286716,2,BV09180217,善化坊口,350100010003,1路(西门--白湖亭),26.08735254370894,119.29484644717866,3,BV10808814,南街
350100010003_003_004,26.08735254370894,119.29484644717866,3,BV10808814,南街,350100010003,1路(西门--白湖亭),26.081074423390923,119.29666790210536,4,BV10809101,道山路口
350100010003_004_005,26.081074423390923,119.29666790210536,4,BV10809101,道山路口,350100010003,1路(西门--白湖亭),26.076064229892758,119.29839235946028,5,BV10208394,南门
350100010003_005_006,26.076064229892758,119.29839235946028,5,BV10208394,南门,350100010003,1路(西门--白湖亭),26.073707562973045,119.29904441765484,6,BV10208395,茶亭
350100010003_006_007,26.073707562973045,119.29904441765484,6,BV10208395,茶亭,350100010003,1路(西门--白湖亭),26.06914904578812,119.30049923528794,7,BV10208409,洋头口
350100010003_007_008,26.06914904578812,119.30049923528794,7,BV10208409,洋头口,350100010003,1路(西门--白湖亭),26.064264301261556,119.30077711611517,8,BV10208397,省人民医院
350100010003_008_009,26.064264301261556,119.30077711611517,8,BV10208397,省人民医院,350100010003,1路(西门--白湖亭),26.06058938883407,119.3016169136716,9,BV09188578,文化宫
350100010003_009_010,26.06058938883407,119.3016169136716,9,BV09188578,文化宫,350100010003,1路(西门--白湖亭),26.059025146180083,119.3040107520271,10,BV10208398,达道
350100010003_010_011,26.059025146180083,119.3040107520271,10,BV10208398,达道,350100010003,1路(西门--白湖亭),26.058721520686458,119.30592928262725,11,BV10886689,地铁达道站
350100010003_011_012,26.058721520686458,119.30592928262725,11,BV10886689,地铁达道站,350100010003,1路(西门--白湖亭),26.05744134206018,119.30831297166264,12,BV10209140,新玉环路
350100010003_012_013,26.05744134206018,119.30831297166264,12,BV10209140,新玉环路,350100010003,1路(西门--白湖亭),26.05688180904632,119.30948981303709,13,BV10208410,安平小区
350100010003_013_014,26.05688180904632,119.30948981303709,13,BV10208410,安平小区,350100010003,1路(西门--白湖亭),26.05616360795842,119.31257303548449,14,BV09020981,闽江之心(台江步行街)
350100010003_014_015,26.05616360795842,119.31257303548449,14,BV09020981,闽江之心(台江步行街),350100010003,1路(西门--白湖亭),26.048699322732652,119.31642920152841,15,BV10208401,桥南
350100010003_015_016,26.048699322732652,119.31642920152841,15,BV10208401,桥南,350100010003,1路(西门--白湖亭),26.044775583140243,119.31700538526003,16,BV10902716,埔顶
350100010003_016_017,26.044775583140243,119.31700538526003,16,BV10902716,埔顶,350100010003,1路(西门--白湖亭),26.040589615491886,119.31760554106907,17,BV10965141,龙津
350100010003_017_018,26.040589615491886,119.31760554106907,17,BV10965141,龙津,350100010003,1路(西门--白湖亭),26.038641803382784,119.3189161504725,18,BV09365533,三叉街地铁站B口
350100010003_018_019,26.038641803382784,119.3189161504725,18,BV09365533,三叉街地铁站B口,350100010003,1路(西门--白湖亭),26.03720043643253,119.32226176666195,19,BV10906644,三叉街
350100010003_019_020,26.03720043643253,119.32226176666195,19,BV10906644,三叉街,350100010003,1路(西门--白湖亭),26.034197903546783,119.32513641745614,20,BV10208403,三叉街新村
