end_stop,line_id,line_name,line_type,queried_stop_name,returned_stop_id,returned_stop_name,start_stop,stop_id
,350100010087,25路(敬老线路)(尤溪洲(西)公交站--公交福湾站),,闽江之心(台江步行街)(公交站),BV09020981,闽江之心(台江步行街)(公交站),,BV09020981
公交海峡国际会展中心西站,350100010326,136路(公交仁德站--公交海峡国际会展中心西站),,闽江之心(台江步行街)(公交站),BV09020981,闽江之心(台江步行街)(公交站),公交仁德站,BV09020981
,900000083060,335路(尤溪洲(东)停车场--潭桥公交总站),,闽江之心(台江步行街)(公交站),BV09020981,闽江之心(台江步行街)(公交站),,BV09020981
公交海峡国际会展中心西站,350100010005,2路(火车站北广场--公交海峡国际会展中心西站),,闽江之心(台江步行街)(公交站),BV09020981,闽江之心(台江步行街)(公交站),火车站北广场,BV09020981
远东丽景公交站,350100010424,321路(公交大学城总站--远东丽景公交站),,闽江之心(台江步行街)(公交站),BV09020981,闽江之心(台江步行街)(公交站),公交大学城总站,BV09020981
,350100010330,309路(尤溪洲(东)停车场--雁头路东),,闽江之心(台江步行街)(公交站),BV09020981,闽江之心(台江步行街)(公交站),,BV09020981
鹭岭公交总站,350100010271,K1路(火车站北广场--鹭岭公交总站),,闽江之心(台江步行街)(公交站),BV09020981,闽江之心(台江步行街)(公交站),火车站北广场,BV09020981
鳌峰洲公交总站,350100010024,10路(火车站北广场--鳌峰洲公交总站),,闽江之心(台江步行街)(公交站),BV09020981,闽江之心(台江步行街)(公交站),火车站北广场,BV09020981
海军医院,900000220899,马尾快线2号线(西门--海军医院),,闽江之心(台江步行街)(公交站),BV09020981,闽江之心(台江步行街)(公交站),西门,BV09020981
,350100010028,13路(敬老线路)(洪塘公交总站--鳌峰洲公交总站),,闽江之心(台江步行街)(公交站),BV09020981,闽江之心(台江步行街)(公交站),,BV09020981
新后坂停车场,350100010031,14路(软件园鲲鹏大厦--新后坂停车场),,闽江之心(台江步行街)(公交站),BV09020981,闽江之心(台江步行街)(公交站),软件园鲲鹏大厦,BV09020981
,350100010598,149路(尤溪洲(西)公交站--海峡汽车文化广场),,闽江之心(台江步行街)(公交站),BV09020981,闽江之心(台江步行街)(公交站),,BV09020981
,350100010179,50路(尤溪洲(西)公交站--义序公交综合车场),,闽江之心(台江步行街)(公交站),BV09020981,闽江之心(台江步行街)(公交站),,BV09020981
,900000167351,7686路船政文化城旅游专线(三坊七巷(澳门路)--马尾青洲公交总站),,闽江之心(台江步行街)(公交站),BV09020981,闽江之心(台江步行街)(公交站),,BV09020981
青口公交总站,350100010248,31路(台江广场--青口公交总站),,闽江之心(台江步行街)(公交站),BV09020981,闽江之心(台江步行街)(公交站),台江广场,BV09020981
鳌峰洲公交总站,350100010406,15路(洪山桥西公交总站--鳌峰洲公交总站),,闽江之心(台江步行街)(公交站),BV09020981,闽江之心(台江步行街)(公交站),洪山桥西公交总站,BV09020981
马尾青洲公交总站,900000144206,高峰快线1路(青年广场--马尾青洲公交总站),,闽江之心(台江步行街)(公交站),BV09020981,闽江之心(台江步行街)(公交站),青年广场,BV09020981
鳌峰洲公交总站,350100010366,320路(洪山桥小区--鳌峰洲公交总站),,闽江之心(台江步行街)(公交站),BV09020981,闽江之心(台江步行街)(公交站),洪山桥小区,BV09020981
白湖亭,350100010003,1路(西门--白湖亭),,闽江之心(台江步行街)(公交站),BV09020981,闽江之心(台江步行街)(公交站),西门,BV09020981
火车南站东广场,350100010325,83路(公交仁德站--火车南站东广场),,闽江之心(台江步行街)(公交站),BV09020981,闽江之心(台江步行街)(公交站),公交仁德站,BV09020981
鳌峰洲公交总站,350100010350,312路(淮安公交总站--鳌峰洲公交总站),,闽江之心(台江步行街)(公交站),BV09020981,闽江之心(台江步行街)(公交站),淮安公交总站,BV09020981
,350100010057,37路(尤溪洲(西)公交站--马尾青洲公交总站),,闽江之心(台江步行街)(公交站),BV09020981,闽江之心(台江步行街)(公交站),,BV09020981
港头(朝阳路,350100010090,105路(软件园公交总站--港头(朝阳路)),,闽江之心(台江步行街)(公交站),BV09020981,闽江之心(台江步行街)(公交站),软件园公交总站,BV09020981
,350100010274,12路(尤溪洲(东)停车场--秀宅路),,闽江之心(台江步行街)(公交站),BV09020981,闽江之心(台江步行街)(公交站),,BV09020981
