poi_id,name,duplicate_count,source_tile_ids
BV09022446,城门龙江(公交站),2,L0_009_000;L0_010_000
BV09022450,螺洲古镇地铁站(公交站),2,L0_008_001;L0_009_001
BV09023163,闽运汽车北站2站台(公交站),2,L0_007_005;L0_007_006
BV09025199,横屿路板桥路口(公交站),2,L0_008_005;L0_009_005
BV09033812,庙弄(公交站),2,L0_000_006;L0_001_006
BV09033813,榕东卫生所(公交站),2,L0_000_006;L0_001_006
BV09045881,清华附中福州学校(公交站),2,L0_009_002;L0_010_002
BV09053581,春风路(公交站),2,L0_001_005;L0_001_006
BV09055732,秀山地铁站B口(公交站),2,L0_007_006;L0_007_007
BV09059673,盘屿地铁站A口(公交站),2,L0_006_001;L0_007_001
BV09073273,葆桢路南(公交站),2,L0_010_002;L0_011_002
BV09078849,鼓楼工业园(公交站),2,L0_005_002;L0_006_002
BV09089781,马尾区图书馆(公交站),3,L0_012_001;L0_013_000;L0_013_001
BV09091861,埔顶(汇达广场)站(公交站),2,L0_007_003;L0_008_003
BV09094701,泉头路西(北侧)(公交站),2,L0_008_006;L0_008_007
BV09094702,泉头路西(南侧)(公交站),2,L0_008_006;L0_008_007
BV09096384,北园路南台路口(公交站),2,L0_007_002;L0_008_002
BV09106156,海军医院(马尾快线停车场)(公交站),3,L0_012_000;L0_012_001;L0_013_001
BV09110016,雁头路东(公交站),3,L0_008_003;L0_009_002;L0_009_003
BV09118748,盛天现代城(前屿村)(公交站),2,L0_008_004;L0_009_004
BV09121213,下洋地铁站(公交站),2,L0_011_000;L0_011_001
BV09144640,行政服务中心(县税务局)(公交站),2,L0_001_006;L0_001_007
BV09151261,清华附中福州学校西门(公交站),2,L0_009_002;L0_010_002
BV09155595,空港快线金山正祥站(公交站),2,L0_005_002;L0_006_002
BV09162124,县医院(公交站),2,L0_001_007;L0_002_007
BV09169917,上雁(公交站),2,L0_005_002;L0_005_003
BV09170440,福建理工大学鼓山校区(公交站),2,L0_009_004;L0_009_005
BV09180757,三坊七巷(双抛桥)(公交站),2,L0_006_004;L0_006_005
BV09183316,益凤李厝(公交站),2,L0_005_006;L0_006_006
BV09184613,福州英华职业学院(公交站),2,L0_002_006;L0_002_007
BV09185305,三角池地铁站(公交站),2,L0_007_005;L0_008_005
BV09188574,湖里路口(江滨东大道辅道)(公交站),2,L0_011_001;L0_011_002
BV09192986,仓山区实验中学金山分校(公交站),2,L0_005_002;L0_005_003
BV09199313,城锦公交车场站(公交站),2,L0_009_000;L0_009_001
BV09201999,新颐路金洲南路口(公交站),2,L0_005_003;L0_006_003
BV09202000,东林支巷(公交站),2,L0_005_003;L0_006_003
BV09212358,高湖(公交站),2,L0_008_002;L0_008_003
BV09219351,仓山区实验中学(公交站),2,L0_005_002;L0_005_003
BV09222164,前屿地铁站(公交站),2,L0_008_004;L0_009_004
BV09242391,六桥路西(公交站),2,L0_002_005;L0_003_005
BV09245394,佳馨苑(公交站),2,L0_008_004;L0_008_005
BV09250171,招呼站(公交站),2,L0_008_005;L0_009_005
BV09255404,临时站(公交站),2,L0_004_003;L0_005_003
