poi_id,name,normalized_name,type,typecode,address,pname,cityname,adname,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,x_epsg32650,y_epsg32650,inside_boundary,inside_boundary_500m_buffer,source_tile_ids,source_pages,duplicate_count,stop_cluster_id,saturation_warning
BV09020981,闽江之心(台江步行街)(公交站),闽江之心(台江步行街),交通设施服务;公交车站;公交车站相关,150700,(停运)7686闽江之心环线;105路;10路;12路;136路;13路(敬老线路);149路;14路;15路;1路;25路(敬老线路);2路;309路;30路;312路;319路;31路;320路;321路;335路;37路;3路;50路;51路(敬老线路);71路;7686路船政文化城旅游专线;83路;K1路;马尾快线2号线;高峰快线1路;高峰快线2路,福建省,福州市,台江区,119.317408,26.053112,119.31257303548449,26.05616360795842,731365.6049855037,2883955.315464894,True,True,L0_007_003,2,1,闽江之心(台江步行街)_00001,False
BV09022105,江福路(交警大队)(公交站),江福路(交警大队),交通设施服务;公交车站;公交车站相关,150700,761路;761路(上放学期间),福建省,福州市,闽侯县,119.137042,26.144122,119.1321011510998,26.147154111205573,713139.4669634311,2893728.5191551642,True,True,L0_001_007,1,1,江福路(交警大队)_00002,False
BV09022444,洲尾(公交站),洲尾,交通设施服务;公交车站;公交车站相关,150700,地铁接驳27号专线,福建省,福州市,仓山区,119.357685,25.98107,119.35278190166986,25.983999229450056,735533.8831246383,2876031.3751179203,True,True,L0_009_000,1,1,洲尾_00003,False
BV09022446,城门龙江(公交站),城门龙江,交通设施服务;公交车站;公交车站相关,150700,地铁接驳27号专线,福建省,福州市,仓山区,119.37668,25.979988,119.37175372769205,25.982891509787883,737436.0251488927,2875942.9758794894,True,True,L0_009_000;L0_010_000,1,2,城门龙江_00004,False
BV09022447,天福洲(公交站),天福洲,交通设施服务;公交车站;公交车站相关,150700,地铁接驳27号专线,福建省,福州市,仓山区,119.366918,25.980412,119.36200214675108,25.98332733677262,736458.5788383873,2875973.58213448,True,True,L0_009_000,1,1,天福洲_00005,False
BV09022449,方岐洲路西(公交站),方岐洲路西,交通设施服务;公交车站;公交车站相关,150700,3路;90路;地铁接驳27号专线,福建省,福州市,仓山区,119.346647,25.987339,119.34176163023083,25.99029105966762,734417.7844019805,2876708.6958152074,True,True,L0_008_001,1,1,方岐洲路西_00006,False
BV09022450,螺洲古镇地铁站(公交站),螺洲古镇地铁站,交通设施服务;公交车站;公交车站相关,150700,3路;90路;地铁接驳27号专线;螺洲吴石故居接驳专线,福建省,福州市,仓山区,119.350279,25.986562,119.3453874105399,25.98950718037161,734782.4210860241,2876628.3528071833,True,True,L0_008_001;L0_009_001,1,2,螺洲古镇地铁站_00007,False
BV09023163,闽运汽车北站2站台(公交站),闽运汽车北站2站台,交通设施服务;公交车站;公交车站相关,150700,(停运)夜班2号线,福建省,福州市,晋安区,119.317855,26.109444,119.31301493691112,26.11253210458434,731298.9069805638,2890201.770108546,True,True,L0_007_005;L0_007_006,3,2,闽运汽车北站2站台_00008,False
BV09023763,万科紫台(公交站),万科紫台,交通设施服务;公交车站;公交车站相关,150700,58路区间,福建省,福州市,马尾区,119.464927,26.01243,119.46010365054687,26.015426481335737,746216.142528686,2879711.625204527,True,True,L0_013_002,1,1,万科紫台_00009,False
BV09025187,潭桥公交总站(公交站),潭桥公交总站,交通设施服务;公交车站;公交车站相关,150700,130路;310路;333路;335路;46路;62路(敬老线路);地铁接驳23号专线,福建省,福州市,晋安区,119.355607,26.098923,119.35069816751421,26.101934935759076,735089.6930676524,2889095.1354426,True,True,L0_009_005,1,1,潭桥公交总站_00010,False
