line_id,line_name,stop_sequence,station_id,station_name,x_epsg32650,y_epsg32650,link_id,route_index,snap_distance_m,arrival_offset,departure_offset
350100010003,1路(西门--白湖亭),1,BV10208388,西门,728432.84,2887677.823,l_5395_0_f,0,0.296,00:00:00,00:00:20
350100010003,1路(西门--白湖亭),2,BV09180217,善化坊口,728629.552,2887421.239,l_2361_1_f,4,1.652,00:00:33,00:00:53
350100010003,1路(西门--白湖亭),3,BV10808814,南街,729530.663,2887379.69,l_6012_2_f,17,1.214,00:01:17,00:01:37
350100010003,1路(西门--白湖亭),4,BV10809101,道山路口,729725.172,2886687.288,l_1448_1_f,34,2.883,00:03:21,00:03:41
350100010003,1路(西门--白湖亭),5,BV10208394,南门,729907.514,2886135.202,l_1305_2_f,43,0.11,00:04:02,00:04:22
350100010003,1路(西门--白湖亭),6,BV10208395,茶亭,729977.368,2885875.235,l_1429_0_f,48,2.05,00:04:23,00:04:43
350100010003,1路(西门--白湖亭),7,BV10208409,洋头口,730131.862,2885372.721,l_1429_4_f,54,1.253,00:04:53,00:05:13
350100010003,1路(西门--白湖亭),8,BV10208397,省人民医院,730169.225,2884831.983,l_1328_1_f,59,0.478,00:05:15,00:05:35
350100010003,1路(西门--白湖亭),9,BV09188578,文化宫,730260.456,2884426.287,l_1328_4_f,62,2.245,00:05:36,00:05:56
350100010003,1路(西门--白湖亭),10,BV10208398,达道,730503.086,2884257.201,l_8451_0_f,76,2.654,00:07:01,00:07:21
350100010003,1路(西门--白湖亭),11,BV10886689,地铁达道站,730695.683,2884226.955,l_2782_1_f,92,4.987,00:07:51,00:08:11
350100010003,1路(西门--白湖亭),12,BV10209140,新玉环路,730936.75,2884089.333,l_1571_0_r,100,12.3,00:08:23,00:08:43
350100010003,1路(西门--白湖亭),13,BV10208410,安平小区,731055.625,2884029.422,l_5413_1_f,108,0.587,00:08:44,00:09:04
350100010003,1路(西门--白湖亭),14,BV09020981,闽江之心(台江步行街),731365.605,2883955.315,l_1984_0_f,114,2.711,00:09:05,00:09:25
350100010003,1路(西门--白湖亭),15,BV10208401,桥南,731766.225,2883135.121,l_2530_0_f,158,1.513,00:11:27,00:11:47
350100010003,1路(西门--白湖亭),16,BV10902716,埔顶,731831.618,2882701.393,l_1897_4_f,163,0.517,00:11:48,00:12:08
350100010003,1路(西门--白湖亭),17,BV10965141,龙津,731899.929,2882238.654,l_2013_1_f,166,0.937,00:12:13,00:12:33
350100010003,1路(西门--白湖亭),18,BV09365533,三叉街地铁站B口,732034.95,2882025.167,l_2374_0_f,180,1.736,00:13:12,00:13:32
350100010003,1路(西门--白湖亭),19,BV10906644,三叉街,732372.675,2881871.42,l_1721_3_r,215,0.193,00:16:23,00:16:43
350100010003,1路(西门--白湖亭),20,BV10208403,三叉街新村,732666.348,2881543.862,l_1721_4_r,236,1.337,00:18:54,00:19:14
