correction_status,departure_count,direction_from,direction_index,direction_tab_label,direction_to,directions_collected,expand_action,fare,fix_full_line_query,latest_departure_text,merge_source,message,note,observed_line,query,rule_count,scrolls,service_end,service_start,snapshot_file,source_query,status,target_end_stop,target_line_id,target_line_name,target_query,target_start_stop
,89,则徐大道盖山路口,1.0,则徐大道盖山路口→西门,西门,2.0,expanded:20:00-24:00;expanded:16:00-20:00;expanded:10:00-16:00;expanded:06:00-10:00;expanded:00:00-06:00,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交1路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,1路,1路,0,25,,,dir_1_pre_00.xml,,ok,白湖亭,350100000000.0,1路(西门--白湖亭),1路,西门
,90,西门,2.0,西门→白湖亭,白湖亭,,visible_times_no_expand,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交1路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,1路,1路,0,25,,,dir_2_pre_00.xml,,ok,白湖亭,350100000000.0,1路(西门--白湖亭),1路,西门
,90,公交海峡国际会展中心西站,1.0,公交海峡国际会展中心西站→火车站北广场,火车站北广场,2.0,expanded:20:00-24:00;expanded:16:00-20:00;expanded:10:00-16:00;expanded:06:00-10:00,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交2路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,2路,2路,0,24,,,dir_1_pre_00.xml,,ok,公交海峡国际会展中心西站,350100000000.0,2路(火车站北广场--公交海峡国际会展中心西站),2路,火车站北广场
,91,火车站北广场,2.0,火车站北广场→公交海峡国际会展中心西站,公交海峡国际会展中心西站,,visible_times_no_expand,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交2路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,2路,2路,0,24,,,dir_2_pre_00.xml,,ok,公交海峡国际会展中心西站,350100000000.0,2路(火车站北广场--公交海峡国际会展中心西站),2路,火车站北广场
,83,公交苍霞站,1.0,公交苍霞站→螺洲古镇,螺洲古镇,2.0,expanded:20:00-24:00;expanded:16:00-20:00;expanded:10:00-16:00;expanded:06:00-10:00,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交3路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,3路,3路,0,24,,,dir_1_pre_00.xml,,ok,公交苍霞站,350100000000.0,3路(螺洲古镇--公交苍霞站),3路,螺洲古镇
,84,螺洲古镇,2.0,螺洲古镇→公交苍霞站,公交苍霞站,,visible_times_no_expand,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交3路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,3路,3路,0,24,,,dir_2_pre_00.xml,,ok,公交苍霞站,350100000000.0,3路(螺洲古镇--公交苍霞站),3路,螺洲古镇
,66,左海公园西门,1.0,左海公园西门→丰泉环保集团,丰泉环保集团,2.0,expanded:20:00-24:00;expanded:16:00-20:00;expanded:10:00-16:00;expanded:06:00-10:00,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交4路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,4路,4路,0,36,,,dir_1_pre_00.xml,,ok,左海公园西门,350100000000.0,4路(丰泉环保集团--左海公园西门),4路,丰泉环保集团
,0,丰泉环保集团,2.0,丰泉环保集团→左海公园西门,左海公园西门,,expanded:06:00-20:30;expanded:06:00-21:00,票价: 1元,,,,opened_schedule;search_phrase=福州公交4路;entry=visible_result,,4路,4路,5,36,21:00,06:00,dir_2_pre_00.xml,,ok,左海公园西门,350100000000.0,4路(丰泉环保集团--左海公园西门),4路,丰泉环保集团
,0,火车站北广场,1.0,火车站北广场→金山公交总站,金山公交总站,2.0,no_collapsed_period,票价: 1元,,,,opened_schedule;search_phrase=福州公交5路;entry=visible_result,,5路,5路,3,27,22:00,05:45,dir_1_pre_00.xml,,ok,火车站北广场,350100000000.0,5路(金山公交总站--火车站北广场),5路,金山公交总站
,64,金山公交总站,2.0,金山公交总站→火车站北广场,火车站北广场,,expanded:20:00-24:00;expanded:16:00-20:00;expanded:10:00-16:00;expanded:06:00-10:00;expanded:00:00-06:00,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交5路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,5路,5路,0,27,,,dir_2_pre_00.xml,,ok,火车站北广场,350100000000.0,5路(金山公交总站--火车站北广场),5路,金山公交总站
,59,廨院公交总站,1.0,廨院公交总站→福大学生广场,福大学生广场,2.0,expanded:20:00-24:00;expanded:16:00-20:00;expanded:10:00-16:00;expanded:06:00-10:00,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交7路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,7路,7路,0,34,,,dir_1_pre_00.xml,,ok,廨院公交总站,350100000000.0,7路(福大学生广场--廨院公交总站),7路,福大学生广场
,0,福大学生广场,2.0,福大学生广场→廨院公交总站,廨院公交总站,,no_collapsed_period,票价: 1元,,,,opened_schedule;search_phrase=福州公交7路;entry=visible_result,,7路,7路,3,34,22:00,05:30,dir_2_pre_00.xml,,ok,廨院公交总站,350100000000.0,7路(福大学生广场--廨院公交总站),7路,福大学生广场
,95,软件园公交总站,1.0,软件园公交总站→白湖亭,白湖亭,2.0,expanded:20:00-24:00;expanded:16:00-20:00;expanded:10:00-16:00;expanded:06:00-10:00,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交8路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,8路,8路,0,24,,,dir_1_pre_00.xml,,ok,软件园公交总站,350100000000.0,8路(则徐大道盖山路口--软件园公交总站),8路,则徐大道盖山路口
,90,则徐大道盖山路口,2.0,则徐大道盖山路口→软件园公交总站,软件园公交总站,,visible_times_no_expand,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交8路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,8路,8路,0,24,,,dir_2_pre_00.xml,,ok,软件园公交总站,350100000000.0,8路(则徐大道盖山路口--软件园公交总站),8路,则徐大道盖山路口
,110,新厦二区社区,1.0,新厦二区社区→远东丽景公交站,远东丽景公交站,2.0,expanded:20:00-24:00;expanded:16:00-20:00;expanded:10:00-16:00;expanded:06:00-10:00,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交9路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,9路,9路,0,24,,,dir_1_pre_00.xml,,ok,新厦二区社区,350100000000.0,9路(远东丽景公交站--新厦二区社区),9路,远东丽景公交站
,109,远东丽景公交站,2.0,远东丽景公交站→新厦二区社区,新厦二区社区,,visible_times_no_expand,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交9路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,9路,9路,0,24,,,dir_2_pre_00.xml,,ok,新厦二区社区,350100000000.0,9路(远东丽景公交站--新厦二区社区),9路,远东丽景公交站
,0,地铁葫芦阵(东侧),1.0,地铁葫芦阵(东侧)→软件园鲲鹏大厦,软件园鲲鹏大厦,2.0,no_collapsed_period,票价: 1元,,,,opened_schedule;search_phrase=福州公交14路;entry=visible_result,,14路,14路,3,26,21:40,06:00,dir_1_pre_00.xml,,ok,新后坂停车场,350100000000.0,14路(软件园鲲鹏大厦--新后坂停车场),14路,软件园鲲鹏大厦
,74,软件园鲲鹏大厦,2.0,软件园鲲鹏大厦→新后坂停车场,新后坂停车场,,expanded:20:00-24:00;expanded:16:00-20:00;expanded:10:00-16:00;expanded:06:00-10:00,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交14路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,14路,14路,0,26,,,dir_2_pre_00.xml,,ok,新后坂停车场,350100000000.0,14路(软件园鲲鹏大厦--新后坂停车场),14路,软件园鲲鹏大厦
,74,洪山梁厝路,1.0,洪山梁厝路→鳌峰洲公交总站,鳌峰洲公交总站,2.0,expanded:20:00-24:00;expanded:16:00-20:00;expanded:10:00-16:00;expanded:06:00-10:00,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交16路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,16路,16路,0,24,,,dir_1_pre_00.xml,,ok,洪山梁厝路,350100000000.0,16路(鳌峰洲公交总站--洪山梁厝路),16路,鳌峰洲公交总站
,75,鳌峰洲公交总站,2.0,鳌峰洲公交总站→洪山梁厝路,洪山梁厝路,,visible_times_no_expand,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交16路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,16路,16路,0,24,,,dir_2_pre_00.xml,,ok,洪山梁厝路,350100000000.0,16路(鳌峰洲公交总站--洪山梁厝路),16路,鳌峰洲公交总站
,101,火车站北广场,1.0,火车站北广场→火车南站东广场,火车南站东广场,2.0,expanded:20:00-24:00;expanded:16:00-20:00;expanded:10:00-16:00;expanded:06:00-10:00;expanded:00:00-06:00,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交K2路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,K2路,K2路,0,25,,,dir_1_pre_00.xml,,ok,火车站北广场,350100000000.0,K2路(火车南站西广场--火车站北广场),K2路,火车南站西广场
,100,火车南站西广场,2.0,火车南站西广场→火车站北广场,火车站北广场,,visible_times_no_expand,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交K2路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,K2路,K2路,0,25,,,dir_2_pre_00.xml,,ok,火车站北广场,350100000000.0,K2路(火车南站西广场--火车站北广场),K2路,火车南站西广场
,76,仁山路利嘉国际商业城,1.0,仁山路利嘉国际商业城→火车站南广场,火车站南广场,2.0,expanded:20:00-24:00;expanded:16:00-20:00;expanded:10:00-16:00;expanded:06:00-10:00,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交18路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,18路,18路,0,24,,,dir_1_pre_00.xml,,ok,仁山路利嘉国际商业城,350100000000.0,18路(火车站南广场--仁山路利嘉国际商业城),18路,火车站南广场
,76,火车站南广场,2.0,火车站南广场→仁山路利嘉国际商业城,仁山路利嘉国际商业城,,visible_times_no_expand,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交18路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,18路,18路,0,24,,,dir_2_pre_00.xml,,ok,仁山路利嘉国际商业城,350100000000.0,18路(火车站南广场--仁山路利嘉国际商业城),18路,火车站南广场
,105,火车站南广场,1.0,火车站南广场→福州华光大帝庙,福州华光大帝庙,2.0,expanded:20:00-24:00;expanded:16:00-20:00;expanded:10:00-16:00;expanded:06:00-10:00;expanded:00:00-06:00,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交20路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,20路,20路,0,25,,,dir_1_pre_00.xml,,ok,火车站南广场,350100000000.0,20路(福州华光大帝庙--火车站南广场),20路,福州华光大帝庙
,106,福州华光大帝庙,2.0,福州华光大帝庙→火车站南广场,火车站南广场,,visible_times_no_expand,票价: 1元,,第1班次预计,,opened_schedule;search_phrase=福州公交20路;entry=visible_result,时刻表基于历史数据统计，仅供参考，请提前候车,20路,20路,0,25,,,dir_2_pre_00.xml,,ok,火车站南广场,350100000000.0,20路(福州华光大帝庙--火车站南广场),20路,福州华光大帝庙
,0,,,,,,,,,,,schedule_button_not_found_from_visible_results;search_phrase=福州公交22路,,,22路,0,0,,,,,navigation_failed,淮安公交总站,350100000000.0,22路(罗汉山隧道西--淮安公交总站),,罗汉山隧道西
