bounds,day_type,departure_time,direction_from,direction_index,direction_tab_label,direction_to,fix_full_line_query,headway_minutes,merge_source,observed_line,period_end,period_start,query,rule_type,scroll_index,source_query,target_end_stop,target_line_id,target_line_name,target_query,target_start_stop,text,x1,y1
"[70,1097][560,1164]",,,丰泉环保集团,2,丰泉环保集团→左海公园西门,左海公园西门,,,,4路,,,4路,raw_text,402,,左海公园西门,350100000000.0,4路(丰泉环保集团--左海公园西门),4路,丰泉环保集团,上车站：左海公园西门,70,1097
"[70,1209][392,1276]",,,丰泉环保集团,2,丰泉环保集团→左海公园西门,左海公园西门,,,,4路,,,4路,raw_text,402,,左海公园西门,350100000000.0,4路(丰泉环保集团--左海公园西门),4路,丰泉环保集团,票价信息：1元,70,1209
"[70,1321][595,1388]",,,丰泉环保集团,2,丰泉环保集团→左海公园西门,左海公园西门,,,,4路,,,4路,raw_text,402,,左海公园西门,350100000000.0,4路(丰泉环保集团--左海公园西门),4路,丰泉环保集团,首末班车：06:00-21:00,70,1321
"[70,1705][350,1772]",,,丰泉环保集团,2,丰泉环保集团→左海公园西门,左海公园西门,,,,4路,21:00,06:00,4路,regular_headway,402,,左海公园西门,350100000000.0,4路(丰泉环保集团--左海公园西门),4路,丰泉环保集团,06:00-21:00,70,1705
"[70,2044][350,2111]",,,丰泉环保集团,2,丰泉环保集团→左海公园西门,左海公园西门,,,,4路,20:30,06:00,4路,regular_headway,402,,左海公园西门,350100000000.0,4路(丰泉环保集团--左海公园西门),4路,丰泉环保集团,06:00-20:30,70,2044
"[70,1097][560,1164]",,,火车站北广场,1,火车站北广场→金山公交总站,金山公交总站,,,,5路,,,5路,raw_text,402,,火车站北广场,350100000000.0,5路(金山公交总站--火车站北广场),5路,金山公交总站,上车站：火车站北广场,70,1097
"[70,1209][392,1276]",,,火车站北广场,1,火车站北广场→金山公交总站,金山公交总站,,,,5路,,,5路,raw_text,402,,火车站北广场,350100000000.0,5路(金山公交总站--火车站北广场),5路,金山公交总站,票价信息：1元,70,1209
"[70,1321][595,1388]",,,火车站北广场,1,火车站北广场→金山公交总站,金山公交总站,,,,5路,,,5路,raw_text,402,,火车站北广场,350100000000.0,5路(金山公交总站--火车站北广场),5路,金山公交总站,首末班车：05:45-22:00,70,1321
"[70,1097][560,1164]",,,福大学生广场,2,福大学生广场→廨院公交总站,廨院公交总站,,,,7路,,,7路,raw_text,402,,廨院公交总站,350100000000.0,7路(福大学生广场--廨院公交总站),7路,福大学生广场,上车站：廨院公交总站,70,1097
"[70,1209][392,1276]",,,福大学生广场,2,福大学生广场→廨院公交总站,廨院公交总站,,,,7路,,,7路,raw_text,402,,廨院公交总站,350100000000.0,7路(福大学生广场--廨院公交总站),7路,福大学生广场,票价信息：1元,70,1209
"[70,1321][595,1388]",,,福大学生广场,2,福大学生广场→廨院公交总站,廨院公交总站,,,,7路,,,7路,raw_text,402,,廨院公交总站,350100000000.0,7路(福大学生广场--廨院公交总站),7路,福大学生广场,首末班车：05:30-22:00,70,1321
"[70,1097][641,1164]",,,地铁葫芦阵(东侧),1,地铁葫芦阵(东侧)→软件园鲲鹏大厦,软件园鲲鹏大厦,,,,14路,,,14路,raw_text,402,,新后坂停车场,350100000000.0,14路(软件园鲲鹏大厦--新后坂停车场),14路,软件园鲲鹏大厦,上车站：地铁葫芦阵(东侧),70,1097
"[70,1209][392,1276]",,,地铁葫芦阵(东侧),1,地铁葫芦阵(东侧)→软件园鲲鹏大厦,软件园鲲鹏大厦,,,,14路,,,14路,raw_text,402,,新后坂停车场,350100000000.0,14路(软件园鲲鹏大厦--新后坂停车场),14路,软件园鲲鹏大厦,票价信息：1元,70,1209
"[70,1321][595,1388]",,,地铁葫芦阵(东侧),1,地铁葫芦阵(东侧)→软件园鲲鹏大厦,软件园鲲鹏大厦,,,,14路,,,14路,raw_text,402,,新后坂停车场,350100000000.0,14路(软件园鲲鹏大厦--新后坂停车场),14路,软件园鲲鹏大厦,首末班车：06:00-21:40,70,1321
"[70,1097][462,1164]",,,台江广场,1,台江广场→尚干,尚干,,,,30路,,,30路,raw_text,402,,台江广场,350100000000.0,30路(尚干--台江广场),30路,尚干,上车站：台江广场,70,1097
"[70,1209][392,1276]",,,台江广场,1,台江广场→尚干,尚干,,,,30路,,,30路,raw_text,402,,台江广场,350100000000.0,30路(尚干--台江广场),30路,尚干,票价信息：2元,70,1209
"[70,1321][595,1388]",,,台江广场,1,台江广场→尚干,尚干,,,,30路,,,30路,raw_text,402,,台江广场,350100000000.0,30路(尚干--台江广场),30路,尚干,首末班车：05:05-19:05,70,1321
"[70,1705][350,1772]",,,台江广场,1,台江广场→尚干,尚干,,,,30路,19:05,05:05,30路,regular_headway,402,,台江广场,350100000000.0,30路(尚干--台江广场),30路,尚干,05:05-19:05,70,1705
"[70,2044][350,2111]",,,台江广场,1,台江广场→尚干,尚干,,,,30路,19:05,05:25,30路,regular_headway,402,,台江广场,350100000000.0,30路(尚干--台江广场),30路,尚干,05:25-19:05,70,2044
"[70,1097][462,1164]",,,尚干,2,尚干→台江广场,台江广场,,,,30路,,,30路,raw_text,402,,台江广场,350100000000.0,30路(尚干--台江广场),30路,尚干,上车站：台江广场,70,1097
"[70,1209][392,1276]",,,尚干,2,尚干→台江广场,台江广场,,,,30路,,,30路,raw_text,402,,台江广场,350100000000.0,30路(尚干--台江广场),30路,尚干,票价信息：2元,70,1209
"[70,1321][595,1388]",,,尚干,2,尚干→台江广场,台江广场,,,,30路,,,30路,raw_text,402,,台江广场,350100000000.0,30路(尚干--台江广场),30路,尚干,首末班车：06:15-20:10,70,1321
"[70,1705][350,1772]",,,尚干,2,尚干→台江广场,台江广场,,,,30路,20:10,06:15,30路,regular_headway,402,,台江广场,350100000000.0,30路(尚干--台江广场),30路,尚干,06:15-20:10,70,1705
"[70,2044][350,2111]",,,尚干,2,尚干→台江广场,台江广场,,,,30路,20:10,06:30,30路,regular_headway,402,,台江广场,350100000000.0,30路(尚干--台江广场),30路,尚干,06:30-20:10,70,2044
"[70,1097][364,1164]",,,公交仁德站,2,公交仁德站→白沙,白沙,,,,33路,,,33路,raw_text,402,,白沙,350100000000.0,33路(公交仁德站--白沙),33路,公交仁德站,上车站：白沙,70,1097
"[70,1209][446,1276]",,,公交仁德站,2,公交仁德站→白沙,白沙,,,,33路,,,33路,raw_text,402,,白沙,350100000000.0,33路(公交仁德站--白沙),33路,公交仁德站,票价信息：1-5元,70,1209
"[70,1321][595,1388]",,,公交仁德站,2,公交仁德站→白沙,白沙,,,,33路,,,33路,raw_text,402,,白沙,350100000000.0,33路(公交仁德站--白沙),33路,公交仁德站,首末班车：05:30-20:45,70,1321
"[70,1097][511,1164]",,,公交仁德站,1,公交仁德站→闽侯青岐公交总站,闽侯青岐公交总站,,,,38路,,,38路,raw_text,402,,公交仁德站,350100000000.0,38路(闽侯青岐公交总站--公交仁德站),38路,闽侯青岐公交总站,上车站：公交仁德站,70,1097
"[70,1209][487,1276]",,,公交仁德站,1,公交仁德站→闽侯青岐公交总站,闽侯青岐公交总站,,,,38路,,,38路,raw_text,402,,公交仁德站,350100000000.0,38路(闽侯青岐公交总站--公交仁德站),38路,闽侯青岐公交总站,票价信息：1-3.5元,70,1209
"[70,1321][595,1388]",,,公交仁德站,1,公交仁德站→闽侯青岐公交总站,闽侯青岐公交总站,,,,38路,,,38路,raw_text,402,,公交仁德站,350100000000.0,38路(闽侯青岐公交总站--公交仁德站),38路,闽侯青岐公交总站,首末班车：05:45-21:15,70,1321
"[70,1097][609,1164]",,,公交苍霞站,2,公交苍霞站→山北公交首末站,山北公交首末站,,,,52路,,,52路,raw_text,402,,山北公交首末站,350100000000.0,52路(公交苍霞站--山北公交首末站),52路,公交苍霞站,上车站：山北公交首末站,70,1097
"[70,1209][392,1276]",,,公交苍霞站,2,公交苍霞站→山北公交首末站,山北公交首末站,,,,52路,,,52路,raw_text,402,,山北公交首末站,350100000000.0,52路(公交苍霞站--山北公交首末站),52路,公交苍霞站,票价信息：1元,70,1209
"[70,1321][595,1388]",,,公交苍霞站,2,公交苍霞站→山北公交首末站,山北公交首末站,,,,52路,,,52路,raw_text,402,,山北公交首末站,350100000000.0,52路(公交苍霞站--山北公交首末站),52路,公交苍霞站,首末班车：06:00-22:30,70,1321
"[70,1097][511,1164]",,,金山金桔站,1,金山金桔站→动物园,动物园,,,,91路,,,91路,raw_text,402,,金山金桔站,350100000000.0,91路(动物园--金山金桔站),91路,动物园,上车站：金山金桔站,70,1097
"[70,1209][392,1276]",,,金山金桔站,1,金山金桔站→动物园,动物园,,,,91路,,,91路,raw_text,402,,金山金桔站,350100000000.0,91路(动物园--金山金桔站),91路,动物园,票价信息：1元,70,1209
"[70,1321][595,1388]",,,金山金桔站,1,金山金桔站→动物园,动物园,,,,91路,,,91路,raw_text,402,,金山金桔站,350100000000.0,91路(动物园--金山金桔站),91路,动物园,首末班车：06:20-21:30,70,1321
