query,matched_line_records,estimated_direction_rows,estimated_rule_rows,route_categories,first_last_time_sources,headway_methods,status,reference_notes
10路,2,2,10,regular:2,amap_bus_lines_full.start_time_end_time:2,nearby_regular_routes_median:8;same_category_observed_median:2,estimated_headway_added,"10路:9路,11路,8路,12路,14路 | 10路:9路,11路,8路,12路,14路 | 10路:9路,11路,8路,12路,14路 | 10路:9路,11路,8路,12路,14路 | 10路:9路,11路,8路,12路,14路 | 10路:9路,11路,8路,12路,14路 | 10路:9路,11路,8路,12路,14路 | 10路:9路,11路,8路,12路,14路 | 10路:9路,11路,8路,12路,14路 | 10路:9路,11路,8路,12路,14路"
127路,2,2,8,regular:2,amap_bus_lines_full.start_time_end_time:2,nearby_regular_routes_median:8,estimated_headway_added,"127路:126路,128路,125路,129路,124路 | 127路:126路,128路,125路,129路,124路 | 127路:126路,128路,125路,129路,124路 | 127路:126路,128路,125路,129路,124路 | 127路:126路,128路,125路,129路,124路 | 127路:126路,128路,125路,129路,124路 | 127路:126路,128路,125路,129路,124路 | 127路:126路,128路,125路,129路,124路"
137路,2,2,8,regular:2,estimated_by_route_category:2,nearby_regular_routes_median:8,estimated_headway_added,"137路:140路,133路,142路,131路,129路 | 137路:140路,133路,142路,131路,129路 | 137路:140路,133路,142路,131路,129路 | 137路:140路,133路,142路,131路,129路 | 137路:140路,133路,142路,131路,129路 | 137路:140路,133路,142路,131路,129路 | 137路:140路,133路,142路,131路,129路 | 137路:140路,133路,142路,131路,129路"
138路,2,2,8,regular:2,amap_bus_lines_full.start_time_end_time:2,nearby_regular_routes_median:8,estimated_headway_added,"138路:140路,142路,133路,131路,129路 | 138路:140路,142路,133路,131路,129路 | 138路:140路,142路,133路,131路,129路 | 138路:140路,142路,133路,131路,129路 | 138路:140路,142路,133路,131路,129路 | 138路:140路,142路,133路,131路,129路 | 138路:140路,142路,133路,131路,129路 | 138路:140路,142路,133路,131路,129路"
139快线,1,1,3,special:1,amap_bus_lines_full.start_time_end_time:1,same_category_observed_median:3,estimated_headway_added,
13路,2,2,8,regular:2,estimated_by_route_category:2,nearby_regular_routes_median:8,estimated_headway_added,"13路:12路,14路,11路,16路,9路 | 13路:12路,14路,11路,16路,9路 | 13路:12路,14路,11路,16路,9路 | 13路:12路,14路,11路,16路,9路 | 13路:12路,14路,11路,16路,9路 | 13路:12路,14路,11路,16路,9路 | 13路:12路,14路,11路,16路,9路 | 13路:12路,14路,11路,16路,9路"
153路,2,2,6,regular:2,amap_bus_lines_full.start_time_end_time:2,nearby_regular_routes_median:6,estimated_headway_added,"153路:155路,150路,156路,159路,161路 | 153路:155路,150路,156路,159路,161路 | 153路:155路,150路,156路,159路,161路 | 153路:155路,150路,156路,159路,161路 | 153路:155路,150路,156路,159路,161路 | 153路:155路,150路,156路,159路,161路"
15路,2,2,8,regular:2,amap_bus_lines_full.start_time_end_time:2,nearby_regular_routes_median:8,estimated_headway_added,"15路:14路,16路,17路,12路,18路 | 15路:14路,16路,17路,12路,18路 | 15路:14路,16路,17路,12路,18路 | 15路:14路,16路,17路,12路,18路 | 15路:14路,16路,17路,12路,18路 | 15路:14路,16路,17路,12路,18路 | 15路:14路,16路,17路,12路,18路 | 15路:14路,16路,17路,12路,18路"
160路,2,2,6,regular:2,amap_bus_lines_full.start_time_end_time:2,nearby_regular_routes_median:6,estimated_headway_added,"160路:159路,161路,156路,155路,167路 | 160路:159路,161路,156路,155路,167路 | 160路:159路,161路,156路,155路,167路 | 160路:159路,161路,156路,155路,167路 | 160路:159路,161路,156路,155路,167路 | 160路:159路,161路,156路,155路,167路"
162路,2,2,6,regular:2,amap_bus_lines_full.start_time_end_time:2,nearby_regular_routes_median:6,estimated_headway_added,"162路:161路,159路,167路,156路,168路 | 162路:161路,159路,167路,156路,168路 | 162路:161路,159路,167路,156路,168路 | 162路:161路,159路,167路,156路,168路 | 162路:161路,159路,167路,156路,168路 | 162路:161路,159路,167路,156路,168路"
163路,2,2,6,regular:2,amap_bus_lines_full.start_time_end_time:2,nearby_regular_routes_median:6,estimated_headway_added,"163路:161路,159路,167路,168路,156路 | 163路:161路,159路,167路,168路,156路 | 163路:161路,159路,167路,168路,156路 | 163路:161路,159路,167路,168路,156路 | 163路:161路,159路,167路,168路,156路 | 163路:161路,159路,167路,168路,156路"
166路,2,2,6,regular:2,amap_bus_lines_full.start_time_end_time:2,nearby_regular_routes_median:6,estimated_headway_added,"166路:167路,168路,170路,161路,159路 | 166路:167路,168路,170路,161路,159路 | 166路:167路,168路,170路,161路,159路 | 166路:167路,168路,170路,161路,159路 | 166路:167路,168路,170路,161路,159路 | 166路:167路,168路,170路,161路,159路"
169路,2,2,6,regular:2,amap_bus_lines_full.start_time_end_time:2,nearby_regular_routes_median:6,estimated_headway_added,"169路:168路,170路,167路,175路,161路 | 169路:168路,170路,167路,175路,161路 | 169路:168路,170路,167路,175路,161路 | 169路:168路,170路,167路,175路,161路 | 169路:168路,170路,167路,175路,161路 | 169路:168路,170路,167路,175路,161路"
171路,2,2,6,regular:2,amap_bus_lines_full.start_time_end_time:2,nearby_regular_routes_median:6,estimated_headway_added,"171路:170路,168路,167路,175路,178路 | 171路:170路,168路,167路,175路,178路 | 171路:170路,168路,167路,175路,178路 | 171路:170路,168路,167路,175路,178路 | 171路:170路,168路,167路,175路,178路 | 171路:170路,168路,167路,175路,178路"
176路,2,2,6,regular:2,amap_bus_lines_full.start_time_end_time:2,nearby_regular_routes_median:6,estimated_headway_added,"176路:175路,178路,179路,180路,170路 | 176路:175路,178路,179路,180路,170路 | 176路:175路,178路,179路,180路,170路 | 176路:175路,178路,179路,180路,170路 | 176路:175路,178路,179路,180路,170路 | 176路:175路,178路,179路,180路,170路"
181路,2,2,8,regular:2,amap_bus_lines_full.start_time_end_time:2,nearby_regular_routes_median:6;same_category_observed_median:2,estimated_headway_added,"181路:180路,179路,178路,175路,191路 | 181路:180路,179路,178路,175路,191路 | 181路:180路,179路,178路,175路,191路 | 181路:180路,179路,178路,175路,191路 | 181路:180路,179路,178路,175路,191路 | 181路:180路,179路,178路,175路,191路 | 181路:180路,179路,178路,175路,191路 | 181路:180路,179路,178路,175路,191路"
182路,2,2,6,regular:2,amap_bus_lines_full.start_time_end_time:2,nearby_regular_routes_median:6,estimated_headway_added,"182路:180路,179路,178路,175路,191路 | 182路:180路,179路,178路,175路,191路 | 182路:180路,179路,178路,175路,191路 | 182路:180路,179路,178路,175路,191路 | 182路:180路,179路,178路,175路,191路 | 182路:180路,179路,178路,175路,191路"
183路快线,2,2,8,special:2,estimated_by_route_category:2,same_category_observed_median:8,estimated_headway_added,
186路快线,2,2,8,special:2,estimated_by_route_category:2,same_category_observed_median:8,estimated_headway_added,
187路,2,2,6,regular:2,amap_bus_lines_full.start_time_end_time:2,nearby_regular_routes_median:6,estimated_headway_added,"187路:191路,192路,193路,180路,194路 | 187路:191路,192路,193路,180路,194路 | 187路:191路,192路,193路,180路,194路 | 187路:191路,192路,193路,180路,194路 | 187路:191路,192路,193路,180路,194路 | 187路:191路,192路,193路,180路,194路"
188路,2,2,8,regular:2,amap_bus_lines_full.start_time_end_time:2,nearby_regular_routes_median:6;same_category_observed_median:2,estimated_headway_added,"188路:191路,192路,193路,194路,180路 | 188路:191路,192路,193路,194路,180路 | 188路:191路,192路,193路,194路,180路 | 188路:191路,192路,193路,194路,180路 | 188路:191路,192路,193路,194路,180路 | 188路:191路,192路,193路,194路,180路 | 188路:191路,192路,193路,194路,180路 | 188路:191路,192路,193路,194路,180路"
190路,2,2,6,regular:2,amap_bus_lines_full.start_time_end_time:2,nearby_regular_routes_median:6,estimated_headway_added,"190路:191路,192路,193路,194路,180路 | 190路:191路,192路,193路,194路,180路 | 190路:191路,192路,193路,194路,180路 | 190路:191路,192路,193路,194路,180路 | 190路:191路,192路,193路,194路,180路 | 190路:191路,192路,193路,194路,180路"
196路,2,2,8,regular:2,amap_bus_lines_full.start_time_end_time:2,nearby_regular_routes_median:8,estimated_headway_added,"196路:194路,193路,192路,191路,201路 | 196路:194路,193路,192路,191路,201路 | 196路:194路,193路,192路,191路,201路 | 196路:194路,193路,192路,191路,201路 | 196路:194路,193路,192路,191路,201路 | 196路:194路,193路,192路,191路,201路 | 196路:194路,193路,192路,191路,201路 | 196路:194路,193路,192路,191路,201路"
197路,2,2,6,regular:2,amap_bus_lines_full.start_time_end_time:2,nearby_regular_routes_median:6,estimated_headway_added,"197路:194路,193路,201路,192路,202路 | 197路:194路,193路,201路,192路,202路 | 197路:194路,193路,201路,192路,202路 | 197路:194路,193路,201路,192路,202路 | 197路:194路,193路,201路,192路,202路 | 197路:194路,193路,201路,192路,202路"
199路,2,2,9,regular:2,amap_bus_lines_full.start_time_end_time:2,nearby_regular_routes_median:8;same_category_observed_median:1,estimated_headway_added,"199路:201路,202路,194路,193路,205路 | 199路:201路,202路,194路,193路,205路 | 199路:201路,202路,194路,193路,205路 | 199路:201路,202路,194路,193路,205路 | 199路:201路,202路,194路,193路,205路 | 199路:201路,202路,194路,193路,205路 | 199路:201路,202路,194路,193路,205路 | 199路:201路,202路,194路,193路,205路 | 199路:201路,202路,194路,193路,205路"
207路,2,2,6,regular:2,amap_bus_lines_full.start_time_end_time:2,nearby_regular_routes_median:6,estimated_headway_added,"207路:205路,210路,211路,202路,201路 | 207路:205路,210路,211路,202路,201路 | 207路:205路,210路,211路,202路,201路 | 207路:205路,210路,211路,202路,201路 | 207路:205路,210路,211路,202路,201路 | 207路:205路,210路,211路,202路,201路"
209路,2,2,6,regular:2,amap_bus_lines_full.start_time_end_time:2,nearby_regular_routes_median:6,estimated_headway_added,"209路:210路,211路,205路,202路,201路 | 209路:210路,211路,205路,202路,201路 | 209路:210路,211路,205路,202路,201路 | 209路:210路,211路,205路,202路,201路 | 209路:210路,211路,205路,202路,201路 | 209路:210路,211路,205路,202路,201路"
20路夜间区间车,1,1,1,night:1,estimated_by_route_category:1,category_default_rule:1,estimated_headway_added,
25路,2,2,8,regular:2,amap_bus_lines_full.start_time_end_time:2,nearby_regular_routes_median:8,estimated_headway_added,"25路:26路,22路,20路,19路,18路 | 25路:26路,22路,20路,19路,18路 | 25路:26路,22路,20路,19路,18路 | 25路:26路,22路,20路,19路,18路 | 25路:26路,22路,20路,19路,18路 | 25路:26路,22路,20路,19路,18路 | 25路:26路,22路,20路,19路,18路 | 25路:26路,22路,20路,19路,18路"
27路,2,2,8,regular:2,estimated_by_route_category:2,nearby_regular_routes_median:8,estimated_headway_added,"27路:26路,22路,32路,33路,东部33号线 | 27路:26路,22路,32路,33路,东部33号线 | 27路:26路,22路,32路,33路,东部33号线 | 27路:26路,22路,32路,33路,东部33号线 | 27路:26路,22路,32路,33路,东部33号线 | 27路:26路,22路,32路,33路,东部33号线 | 27路:26路,22路,32路,33路,东部33号线 | 27路:26路,22路,32路,33路,东部33号线"
28路,2,2,9,regular:2,amap_bus_lines_full.start_time_end_time:2,nearby_regular_routes_median:9,estimated_headway_added,"28路:26路,32路,33路,东部33号线,22路 | 28路:26路,32路,33路,东部33号线,22路 | 28路:26路,32路,33路,东部33号线,22路 | 28路:26路,32路,33路,东部33号线,22路 | 28路:26路,32路,33路,东部33号线,22路 | 28路:26路,32路,33路,东部33号线,22路 | 28路:26路,32路,33路,东部33号线,22路 | 28路:26路,32路,33路,东部33号线,22路 | 28路:26路,32路,33路,东部33号线,22路"
29路,2,2,8,regular:2,estimated_by_route_category:2,nearby_regular_routes_median:8,estimated_headway_added,"29路:26路,32路,33路,东部33号线,22路 | 29路:26路,32路,33路,东部33号线,22路 | 29路:26路,32路,33路,东部33号线,22路 | 29路:26路,32路,33路,东部33号线,22路 | 29路:26路,32路,33路,东部33号线,22路 | 29路:26路,32路,33路,东部33号线,22路 | 29路:26路,32路,33路,东部33号线,22路 | 29路:26路,32路,33路,东部33号线,22路"
301路,2,2,8,regular:2,amap_bus_lines_full.start_time_end_time:2,nearby_regular_routes_median:8,estimated_headway_added,"301路:311路,318路,319路,321路,322路 | 301路:311路,318路,319路,321路,322路 | 301路:311路,318路,319路,321路,322路 | 301路:311路,318路,319路,321路,322路 | 301路:311路,318路,319路,321路,322路 | 301路:311路,318路,319路,321路,322路 | 301路:311路,318路,319路,321路,322路 | 301路:311路,318路,319路,321路,322路"
302路,2,2,8,regular:2,amap_bus_lines_full.start_time_end_time:2,nearby_regular_routes_median:8,estimated_headway_added,"302路:311路,318路,319路,321路,322路 | 302路:311路,318路,319路,321路,322路 | 302路:311路,318路,319路,321路,322路 | 302路:311路,318路,319路,321路,322路 | 302路:311路,318路,319路,321路,322路 | 302路:311路,318路,319路,321路,322路 | 302路:311路,318路,319路,321路,322路 | 302路:311路,318路,319路,321路,322路"
303路,2,2,8,regular:2,amap_bus_lines_full.start_time_end_time:2,nearby_regular_routes_median:8,estimated_headway_added,"303路:311路,318路,319路,321路,322路 | 303路:311路,318路,319路,321路,322路 | 303路:311路,318路,319路,321路,322路 | 303路:311路,318路,319路,321路,322路 | 303路:311路,318路,319路,321路,322路 | 303路:311路,318路,319路,321路,322路 | 303路:311路,318路,319路,321路,322路 | 303路:311路,318路,319路,321路,322路"
305路,2,2,8,regular:2,amap_bus_lines_full.start_time_end_time:2,nearby_regular_routes_median:8,estimated_headway_added,"305路:311路,318路,319路,321路,322路 | 305路:311路,318路,319路,321路,322路 | 305路:311路,318路,319路,321路,322路 | 305路:311路,318路,319路,321路,322路 | 305路:311路,318路,319路,321路,322路 | 305路:311路,318路,319路,321路,322路 | 305路:311路,318路,319路,321路,322路 | 305路:311路,318路,319路,321路,322路"
