query,matched_line_records,estimated_direction_rows,estimated_rule_rows,route_categories,first_last_time_sources,headway_methods,status,reference_notes
103路,2,2,8,regular:2,amap_bus_lines_full_or_header_start_end:2,nearby_regular_routes_median:8,estimated_missing_regularized_added,"103路:102路,101路,105路,100路,106路 | 103路:102路,101路,105路,100路,106路 | 103路:102路,101路,105路,100路,106路 | 103路:102路,101路,105路,100路,106路 | 103路:102路,101路,105路,100路,106路 | 103路:102路,101路,105路,100路,106路 | 103路:102路,101路,105路,100路,106路 | 103路:102路,101路,105路,100路,106路"
130路,2,2,4,school_special:2,amap_bus_lines_full_or_header_start_end:2,category_default_rule:4,estimated_missing_regularized_added,
132路,2,2,8,regular:2,amap_bus_lines_full_or_header_start_end:2,nearby_regular_routes_median:8,estimated_missing_regularized_added,"132路:131路,133路,129路,128路,127路 | 132路:131路,133路,129路,128路,127路 | 132路:131路,133路,129路,128路,127路 | 132路:131路,133路,129路,128路,127路 | 132路:131路,133路,129路,128路,127路 | 132路:131路,133路,129路,128路,127路 | 132路:131路,133路,129路,128路,127路 | 132路:131路,133路,129路,128路,127路"
136路,2,2,8,regular:2,amap_bus_lines_full_or_header_start_end:2,nearby_regular_routes_median:8,estimated_missing_regularized_added,"136路:137路,138路,133路,140路,131路 | 136路:137路,138路,133路,140路,131路 | 136路:137路,138路,133路,140路,131路 | 136路:137路,138路,133路,140路,131路 | 136路:137路,138路,133路,140路,131路 | 136路:137路,138路,133路,140路,131路 | 136路:137路,138路,133路,140路,131路 | 136路:137路,138路,133路,140路,131路"
148路,2,2,6,regular:2,amap_bus_lines_full_or_header_start_end:2,nearby_regular_routes_median:6,estimated_missing_regularized_added,"148路:150路,153路,142路,155路,140路 | 148路:150路,153路,142路,155路,140路 | 148路:150路,153路,142路,155路,140路 | 148路:150路,153路,142路,155路,140路 | 148路:150路,153路,142路,155路,140路 | 148路:150路,153路,142路,155路,140路"
149路,2,2,8,regular:2,amap_bus_lines_full_or_header_start_end:2,nearby_regular_routes_median:7;same_category_or_existing_estimate_median:1,estimated_missing_regularized_added,"149路:150路,153路,155路,142路,156路 | 149路:150路,153路,155路,142路,156路 | 149路:150路,153路,155路,142路,156路 | 149路:150路,153路,155路,142路,156路 | 149路:150路,153路,155路,142路,156路 | 149路:150路,153路,155路,142路,156路 | 149路:150路,153路,155路,142路,156路 | 149路:150路,153路,155路,142路,156路"
158路,2,2,8,regular:2,amap_bus_lines_full_or_header_start_end:2,nearby_regular_routes_median:8,estimated_missing_regularized_added,"158路:159路,156路,160路,155路,161路 | 158路:159路,156路,160路,155路,161路 | 158路:159路,156路,160路,155路,161路 | 158路:159路,156路,160路,155路,161路 | 158路:159路,156路,160路,155路,161路 | 158路:159路,156路,160路,155路,161路 | 158路:159路,156路,160路,155路,161路 | 158路:159路,156路,160路,155路,161路"
172路,2,2,6,regular:2,amap_bus_lines_full_or_header_start_end:2,nearby_regular_routes_median:6,estimated_missing_regularized_added,"172路:171路,170路,169路,175路,168路 | 172路:171路,170路,169路,175路,168路 | 172路:171路,170路,169路,175路,168路 | 172路:171路,170路,169路,175路,168路 | 172路:171路,170路,169路,175路,168路 | 172路:171路,170路,169路,175路,168路"
173路,2,2,6,regular:2,amap_bus_lines_full_or_header_start_end:2,nearby_regular_routes_median:6,estimated_missing_regularized_added,"173路:171路,175路,170路,176路,169路 | 173路:171路,175路,170路,176路,169路 | 173路:171路,175路,170路,176路,169路 | 173路:171路,175路,170路,176路,169路 | 173路:171路,175路,170路,176路,169路 | 173路:171路,175路,170路,176路,169路"
177路,2,2,8,regular:2,amap_bus_lines_full_or_header_start_end:2,nearby_regular_routes_median:8,estimated_missing_regularized_added,"177路:176路,178路,175路,179路,180路 | 177路:176路,178路,175路,179路,180路 | 177路:176路,178路,175路,179路,180路 | 177路:176路,178路,175路,179路,180路 | 177路:176路,178路,175路,179路,180路 | 177路:176路,178路,175路,179路,180路 | 177路:176路,178路,175路,179路,180路 | 177路:176路,178路,175路,179路,180路"
200路,2,2,8,regular:2,amap_bus_lines_full_or_header_start_end:2,nearby_regular_routes_median:8,estimated_missing_regularized_added,"200路:199路,201路,202路,197路,196路 | 200路:199路,201路,202路,197路,196路 | 200路:199路,201路,202路,197路,196路 | 200路:199路,201路,202路,197路,196路 | 200路:199路,201路,202路,197路,196路 | 200路:199路,201路,202路,197路,196路 | 200路:199路,201路,202路,197路,196路 | 200路:199路,201路,202路,197路,196路"
23路,2,2,8,regular:2,amap_bus_lines_full_or_header_start_end:2,nearby_regular_routes_median:8,estimated_missing_regularized_added,"23路:东部23号线,22路,东部22号线,25路,东部25号线 | 23路:东部23号线,22路,东部22号线,25路,东部25号线 | 23路:东部23号线,22路,东部22号线,25路,东部25号线 | 23路:东部23号线,22路,东部22号线,25路,东部25号线 | 23路:东部23号线,22路,东部22号线,25路,东部25号线 | 23路:东部23号线,22路,东部22号线,25路,东部25号线 | 23路:东部23号线,22路,东部22号线,25路,东部25号线 | 23路:东部23号线,22路,东部22号线,25路,东部25号线"
320路,2,2,8,regular:2,amap_bus_lines_full_or_header_start_end:2,nearby_regular_routes_median:8,estimated_missing_regularized_added,"320路:319路,321路,318路,322路,317路 | 320路:319路,321路,318路,322路,317路 | 320路:319路,321路,318路,322路,317路 | 320路:319路,321路,318路,322路,317路 | 320路:319路,321路,318路,322路,317路 | 320路:319路,321路,318路,322路,317路 | 320路:319路,321路,318路,322路,317路 | 320路:319路,321路,318路,322路,317路"
358路快线,2,2,6,special:2,amap_bus_lines_full_or_header_start_end:2,same_category_or_existing_estimate_median:6,estimated_missing_regularized_added,
380路,2,2,8,regular:2,amap_bus_lines_full_or_header_start_end:2,nearby_regular_routes_median:8,estimated_missing_regularized_added,"380路:381路,382路,359路,358路区间,357路 | 380路:381路,382路,359路,358路区间,357路 | 380路:381路,382路,359路,358路区间,357路 | 380路:381路,382路,359路,358路区间,357路 | 380路:381路,382路,359路,358路区间,357路 | 380路:381路,382路,359路,358路区间,357路 | 380路:381路,382路,359路,358路区间,357路 | 380路:381路,382路,359路,358路区间,357路"
45路,2,2,8,regular:2,amap_bus_lines_full_or_header_start_end:2,nearby_regular_routes_median:8,estimated_missing_regularized_added,"45路:46路,43路,47路,42路,41路 | 45路:46路,43路,47路,42路,41路 | 45路:46路,43路,47路,42路,41路 | 45路:46路,43路,47路,42路,41路 | 45路:46路,43路,47路,42路,41路 | 45路:46路,43路,47路,42路,41路 | 45路:46路,43路,47路,42路,41路 | 45路:46路,43路,47路,42路,41路"
511路,2,2,6,regular:2,amap_bus_lines_full_or_header_start_end:2,nearby_regular_routes_median:6,estimated_missing_regularized_added,"511路:518路,518路支线,527路,529路,530路 | 511路:518路,518路支线,527路,529路,530路 | 511路:518路,518路支线,527路,529路,530路 | 511路:518路,518路支线,527路,529路,530路 | 511路:518路,518路支线,527路,529路,530路 | 511路:518路,518路支线,527路,529路,530路"
