station_id,amap_stop_id,station_name,lon,lat,line_ids,line_names,occurrence_count
BV10877581,BV10877581,万寿,119.60263,25.899952,900000076581;900000076583,地铁6号线(万寿--潘墩);地铁6号线(潘墩--万寿),2
BV10210904,BV10210904,三叉街,119.326693,26.034785,350100020612;350100020613,地铁1号线(三江口--象峰);地铁1号线(象峰--三江口),2
BV09434317,BV09434317,三叉街(滨海快线),119.322679,26.035376,900000139163;900000139164,滨海快线(文岭--福州火车站);滨海快线(福州火车站--文岭),2
BV11473936,BV11473936,三江口,119.426122,25.978861,350100020612;350100020613,地铁1号线(三江口--象峰);地铁1号线(象峰--三江口),2
BV10208689,BV10208689,三角埕,119.368306,25.990796,350100020612;350100020613,地铁1号线(三江口--象峰);地铁1号线(象峰--三江口),2
BV10972421,BV10972421,三角池,119.326262,26.090976,900000090236;900000090237,地铁4号线(半洲--帝封江);地铁4号线(帝封江--半洲),2
BV10208603,BV10208603,上洋,119.363035,26.066498,350100020745;350100020746,地铁2号线(洋里--苏洋);地铁2号线(苏洋--洋里),2
BV10687405,BV10687405,上藤,119.320579,26.043708,350100020612;350100020613,地铁1号线(三江口--象峰);地铁1号线(象峰--三江口),2
BV10208880,BV10208880,上街,119.187292,26.075713,350100020745;350100020746,地铁2号线(洋里--苏洋);地铁2号线(苏洋--洋里),2
BV10877578,BV10877578,下吴,119.582616,25.912233,900000076581;900000076583,地铁6号线(万寿--潘墩);地铁6号线(潘墩--万寿),2
BV10687392,BV10687392,下洋,119.420776,25.984204,350100020612;350100020613;900000076581;900000076583,地铁1号线(三江口--象峰);地铁1号线(象峰--三江口);地铁6号线(万寿--潘墩);地铁6号线(潘墩--万寿),4
BV10961085,BV10961085,东岭,119.277347,26.013371,900000088653;900000088654,地铁5号线(福州火车南站--荆溪厚屿);地铁5号线(荆溪厚屿--福州火车南站),2
BV10687403,BV10687403,东街口,119.299259,26.08596,350100020612;350100020613;900000090236;900000090237,地铁1号线(三江口--象峰);地铁1号线(象峰--三江口);地铁4号线(半洲--帝封江);地铁4号线(帝封江--半洲),4
BV11352891,BV11352891,东门,119.315019,26.08759,900000090236;900000090237;900000139163;900000139164,地铁4号线(半洲--帝封江);地铁4号线(帝封江--半洲);滨海快线(文岭--福州火车站);滨海快线(福州火车站--文岭),4
BV11505097,BV11505097,义序,119.32743,25.986895,900000088653;900000088654,地铁5号线(福州火车南站--荆溪厚屿);地铁5号线(荆溪厚屿--福州火车南站),2
BV10210923,BV10210923,五里亭,119.340276,26.074265,350100020745;350100020746,地铁2号线(洋里--苏洋);地铁2号线(苏洋--洋里),2
BV10972426,BV10972426,会展中心,119.359563,26.029607,900000090236;900000090237,地铁4号线(半洲--帝封江);地铁4号线(帝封江--半洲),2
BV10972431,BV10972431,光明港,119.346742,26.064404,900000090236;900000090237,地铁4号线(半洲--帝封江);地铁4号线(帝封江--半洲),2
BV10961088,BV10961088,农林大学,119.247234,26.084851,900000088653;900000088654,地铁5号线(福州火车南站--荆溪厚屿);地铁5号线(荆溪厚屿--福州火车南站),2
BV10972420,BV10972420,凤凰池,119.27271,26.078389,900000090236;900000090237,地铁4号线(半洲--帝封江);地铁4号线(帝封江--半洲),2
BV10961083,BV10961083,凤岗里,119.266951,26.038708,900000088653;900000088654,地铁5号线(福州火车南站--荆溪厚屿);地铁5号线(荆溪厚屿--福州火车南站),2
BV10208537,BV10208537,前屿,119.350588,26.07256,350100020745;350100020746;900000090236;900000090237,地铁2号线(洋里--苏洋);地铁2号线(苏洋--洋里);地铁4号线(半洲--帝封江);地铁4号线(帝封江--半洲),4
BV11623384,BV11623384,前锦,119.362402,25.984426,900000088653;900000088654,地铁5号线(福州火车南站--荆溪厚屿);地铁5号线(荆溪厚屿--福州火车南站),2
BV10877573,BV10877573,十洋,119.515221,25.958195,900000076581;900000076583,地铁6号线(万寿--潘墩);地铁6号线(潘墩--万寿),2
