line_id,line_name,start_stop,end_stop,status,stop_count_declared,stop_occurrences,adjacent_edges,has_trajectory,frequency_rows_with_headway,frequency_sources,derived_service_start_from_frequency,derived_service_end_from_frequency,line_csv_start_time,line_csv_end_time,coverage_remaining_missing_items,audit_missing_items,audit_warnings,audit_status
350100020613,地铁1号线(三江口--象峰),三江口,象峰,1,25,25,24,True,8,amap_timedesc,06:00,23:00,,,,,line_csv_start_time_end_time_blank_but_derivable_from_frequency_periods,complete_with_estimated_or_derivable_fields
350100020612,地铁1号线(象峰--三江口),象峰,三江口,1,25,25,24,True,8,amap_timedesc,06:00,23:00,,,,,line_csv_start_time_end_time_blank_but_derivable_from_frequency_periods,complete_with_estimated_or_derivable_fields
350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,1,22,22,21,True,8,amap_timedesc,06:00,23:00,,,,,line_csv_start_time_end_time_blank_but_derivable_from_frequency_periods,complete_with_estimated_or_derivable_fields
350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,1,22,22,21,True,8,amap_timedesc,06:00,23:00,,,,,line_csv_start_time_end_time_blank_but_derivable_from_frequency_periods,complete_with_estimated_or_derivable_fields
900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,1,23,23,22,True,10,amap_timedesc,06:00,23:00,,,,,line_csv_start_time_end_time_blank_but_derivable_from_frequency_periods,complete_with_estimated_or_derivable_fields
900000090236,地铁4号线(帝封江--半洲),帝封江,半洲,1,23,23,22,True,10,amap_timedesc,06:00,23:00,,,,,line_csv_start_time_end_time_blank_but_derivable_from_frequency_periods,complete_with_estimated_or_derivable_fields
900000088654,地铁5号线(福州火车南站--荆溪厚屿),福州火车南站,荆溪厚屿,1,20,20,19,True,6,amap_timedesc,06:00,23:00,,,,,line_csv_start_time_end_time_blank_but_derivable_from_frequency_periods,complete_with_estimated_or_derivable_fields
900000088653,地铁5号线(荆溪厚屿--福州火车南站),荆溪厚屿,福州火车南站,1,20,20,19,True,6,amap_timedesc,06:00,23:00,,,,,line_csv_start_time_end_time_blank_but_derivable_from_frequency_periods,complete_with_estimated_or_derivable_fields
900000076583,地铁6号线(万寿--潘墩),万寿,潘墩,1,16,16,15,True,6,estimated_from_existing_active_metro_profiles_20260709,06:00,23:00,0600,2230,official validation of estimated full-day frequency,,frequency_estimated_requires_official_validation,complete_with_estimated_or_derivable_fields
900000076581,地铁6号线(潘墩--万寿),潘墩,万寿,1,16,16,15,True,7,estimated_from_existing_active_metro_profiles_20260709;user_screenshot_amap_mobile,06:00,23:00,0600,2230,official validation of estimated full-day frequency,,frequency_estimated_requires_official_validation,complete_with_estimated_or_derivable_fields
900000139164,滨海快线(文岭--福州火车站),文岭,福州火车站,1,15,15,14,True,8,estimated_from_existing_active_metro_profiles_20260709,06:00,23:00,0600,2230,official validation of estimated full-day frequency,,frequency_estimated_requires_official_validation,complete_with_estimated_or_derivable_fields
900000139163,滨海快线(福州火车站--文岭),福州火车站,文岭,1,15,15,14,True,8,estimated_from_existing_active_metro_profiles_20260709,06:00,23:00,0607,2230,official validation of estimated full-day frequency,,frequency_estimated_requires_official_validation,complete_with_estimated_or_derivable_fields
