line_id,line_name,transit_line_id,origin_station,destination_station,station_count,link_count,departure_count,first_departure,last_departure,api_line_distance_m,allocated_link_length_sum_m,straight_station_distance_sum_m,freespeed_mps,scheduled_terminal_arrival_offset_s,vehicle_type_id,vehicle_capacity_persons,capacity_source_note,speed_source_status
350100020612,地铁1号线(象峰--三江口),metro_1,象峰,三江口,25,24,158,06:00:00,22:50:00,29172.0,29172.0,27889.714,11.5762,3209.998,metro_b_b2_6car_capacity_1460,1460,B型/B2型6节编组，额定6人/㎡约1460人/列,direct_route_api
350100020613,地铁1号线(三江口--象峰),metro_1,三江口,象峰,25,24,158,06:00:00,22:50:00,29172.0,29172.0,27889.714,11.5762,3209.998,metro_b_b2_6car_capacity_1460,1460,B型/B2型6节编组，额定6人/㎡约1460人/列,direct_route_api
350100020745,地铁2号线(苏洋--洋里),metro_2,苏洋,洋里,22,21,158,06:00:00,22:50:00,29335.0,29335.0,28427.694,10.7454,3330.005,metro_b_b2_6car_capacity_1460,1460,B型/B2型6节编组，额定6人/㎡约1460人/列,direct_route_api
350100020746,地铁2号线(洋里--苏洋),metro_2,洋里,苏洋,22,21,158,06:00:00,22:50:00,29335.0,29335.0,28427.694,10.9869,3269.998,metro_b_b2_6car_capacity_1460,1460,B型/B2型6节编组，额定6人/㎡约1460人/列,direct_route_api
900000076581,地铁6号线(潘墩--万寿),metro_6,潘墩,万寿,16,15,134,06:00:00,22:52:00,30743.0,30743.0,29354.797,13.8482,2640.0,metro_b_4car_capacity_1358,1358,B型4节编组，按最大载客能力1358人/列,direct_route_api
900000076583,地铁6号线(万寿--潘墩),metro_6,万寿,潘墩,16,15,134,06:00:00,22:52:00,30740.0,30740.0,29354.797,13.8468,2640.008,metro_b_4car_capacity_1358,1358,B型4节编组，按最大载客能力1358人/列,direct_route_api
900000088653,地铁5号线(荆溪厚屿--福州火车南站),metro_5,荆溪厚屿,福州火车南站,20,19,134,06:00:00,22:52:00,27208.0,27208.0,24507.793,11.0602,2999.992,metro_b_b2_6car_capacity_1460,1460,B型/B2型6节编组，额定6人/㎡约1460人/列,direct_route_api
900000088654,地铁5号线(福州火车南站--荆溪厚屿),metro_5,福州火车南站,荆溪厚屿,20,19,134,06:00:00,22:52:00,27208.0,27208.0,24507.793,10.7968,3060.006,metro_b_b2_6car_capacity_1460,1460,B型/B2型6节编组，额定6人/㎡约1460人/列,direct_route_api
900000090236,地铁4号线(帝封江--半洲),metro_4,帝封江,半洲,23,22,158,06:00:00,22:50:00,27872.0,27872.0,26811.459,11.3301,3089.996,metro_b_b2_6car_capacity_1460,1460,B型/B2型6节编组，额定6人/㎡约1460人/列,direct_route_api
900000090237,地铁4号线(半洲--帝封江),metro_4,半洲,帝封江,23,22,158,06:00:00,22:50:00,27872.0,27872.0,26811.459,11.6133,3030.007,metro_b_b2_6car_capacity_1460,1460,B型/B2型6节编组，额定6人/㎡约1460人/列,direct_route_api
900000139163,滨海快线(福州火车站--文岭),metro_binhai_f1,福州火车站,文岭,15,14,133,06:00:00,22:50:00,61781.0,61781.0,59058.52,23.9461,2970.003,metro_f1_4car_capacity_1084,1084,市域A型/F1 4节编组，按最大载客能力1084人/列,direct_route_api
900000139164,滨海快线(文岭--福州火车站),metro_binhai_f1,文岭,福州火车站,15,14,133,06:00:00,22:50:00,61781.0,61781.0,59058.52,27.0969,2670.003,metro_f1_4car_capacity_1084,1084,市域A型/F1 4节编组，按最大载客能力1084人/列,direct_route_api
