occurrence_id,line_id,line_name,direction_start,direction_end,sequence,station_id,amap_stop_id,station_name,lon,lat,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,x_epsg32650,y_epsg32650,coord_source,mode
350100020613_001_16dd62d3,350100020613,地铁1号线(三江口--象峰),三江口,象峰,1,BV11473936,BV11473936,三江口,119.426122,25.978861,119.426122,25.978861,119.4212085958953,25.981766596067878,742391.0659384473,2875909.1390794986,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020613_002_0452c958,350100020613,地铁1号线(三江口--象峰),三江口,象峰,2,BV10687392,BV10687392,下洋,119.420776,25.984204,119.420776,25.984204,119.4158549220757,25.98710816677129,741843.9633107373,2876491.088539508,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020613_003_15e94606,350100020613,地铁1号线(三江口--象峰),三江口,象峰,3,BV10687393,BV10687393,梁厝,119.415109,25.994261,119.415109,25.994261,119.41018104614362,25.997168055915044,741255.1990038411,2877595.276281442,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020613_004_3229d4ec,350100020613,地铁1号线(三江口--象峰),三江口,象峰,4,BV11473935,BV11473935,安平,119.402224,25.992335,119.402224,25.992335,119.39728841820994,25.995237066088094,739968.1258795774,2877357.5608680574,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020613_005_661d67a9,350100020613,地铁1号线(三江口--象峰),三江口,象峰,5,BV10603792,BV10603792,福州火车南站,119.391878,25.986372,119.391878,25.986372,119.38694263780597,25.989272324790527,738944.2164938654,2876677.679969687,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020613_006_163b5d8b,350100020613,地铁1号线(三江口--象峰),三江口,象峰,6,BV10210905,BV10210905,胪雷,119.380086,25.984504,119.380086,25.984504,119.37515659509982,25.987411048308136,737767.7061211637,2876449.9402068974,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020613_007_1273a2e4,350100020613,地铁1号线(三江口--象峰),三江口,象峰,7,BV10208689,BV10208689,三角埕,119.368306,25.990796,119.368306,25.990796,119.36338766449529,25.993720361066195,736576.5045283996,2877127.65772763,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020613_008_b9adb293,350100020613,地铁1号线(三江口--象峰),三江口,象峰,8,BV10208691,BV10208691,城门,119.36022,25.996158,119.36022,25.996158,119.35531199214243,25.999097398591246,735757.1009351484,2877708.8397996477,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020613_009_feb21562,350100020613,地铁1号线(三江口--象峰),三江口,象峰,9,BV10208471,BV10208471,排下,119.354008,26.001603,119.354008,26.001603,119.3491091055244,26.004555958555805,735125.1240455948,2878302.4721860173,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020613_010_58db90d7,350100020613,地铁1号线(三江口--象峰),三江口,象峰,10,BV10208454,BV10208454,黄山,119.348788,26.010176,119.348788,26.010176,119.34389716991659,26.013143683985177,734586.1955593119,2879244.627267268,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020613_011_17a844bf,350100020613,地铁1号线(三江口--象峰),三江口,象峰,11,BV10208456,BV10208456,葫芦阵,119.343548,26.017116,119.343548,26.017116,119.33866591823316,26.020097765755335,734048.648480602,2880005.7555282074,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020613_012_c71414f1,350100020613,地铁1号线(三江口--象峰),三江口,象峰,12,BV10208407,BV10208407,白湖亭,119.335262,26.025916,119.335262,26.025916,119.33039469568043,26.028919177603733,733203.1467507235,2880968.365802586,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020613_013_1804a7ca,350100020613,地铁1号线(三江口--象峰),三江口,象峰,13,BV10210904,BV10210904,三叉街,119.326693,26.034785,119.326693,26.034785,119.32184153680795,26.03781055192074,732329.4078633823,2881938.2721264386,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020613_014_9937d803,350100020613,地铁1号线(三江口--象峰),三江口,象峰,14,BV10687405,BV10687405,上藤,119.320579,26.043708,119.320579,26.043708,119.3157386798789,26.046751240580566,731700.9462565592,2882918.04497624,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020613_015_f2c1144e,350100020613,地铁1号线(三江口--象峰),三江口,象峰,15,BV10687404,BV10687404,达道,119.309855,26.056982,119.309855,26.056982,119.30503381911191,26.060053983321012,730603.4562150927,2884373.0064510345,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020613_016_f8b5ecc2,350100020613,地铁1号线(三江口--象峰),三江口,象峰,16,BV10687399,BV10687399,茶亭,119.304376,26.069167,119.304376,26.069167,119.2995636302829,26.072256707712945,730032.1604894407,2885715.3972790483,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020613_017_ae3c0151,350100020613,地铁1号线(三江口--象峰),三江口,象峰,17,BV10210902,BV10210902,南门兜,119.301619,26.077774,119.301619,26.077774,119.29681067802922,26.080874062620527,729739.8495325048,2886665.339833248,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020613_018_f654cbb6,350100020613,地铁1号线(三江口--象峰),三江口,象峰,18,BV10687403,BV10687403,东街口,119.299259,26.08596,119.299259,26.08596,119.29445395917679,26.08906932896125,729488.0418643352,2887569.218025013,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020613_019_a6a50a31,350100020613,地铁1号线(三江口--象峰),三江口,象峰,19,BV10687400,BV10687400,屏山,119.297038,26.096256,119.297038,26.096256,119.2922357404101,26.099375624641738,729246.0000473668,2888707.2453385084,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020613_020_dffd5e6e,350100020613,地铁1号线(三江口--象峰),三江口,象峰,20,BV10687402,BV10687402,树兜,119.305985,26.102208,119.305985,26.102208,119.30116733967627,26.105316840840846,730127.9044647886,2889381.3001757795,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020613_021_0d912d6d,350100020613,地铁1号线(三江口--象峰),三江口,象峰,21,BV10687401,BV10687401,斗门,119.313723,26.103973,119.313723,26.103973,119.30889114953922,26.107069200111113,730897.1356614478,2889589.1485839323,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020613_022_c9eabb90,350100020613,地铁1号线(三江口--象峰),三江口,象峰,22,BV10687408,BV10687408,福州火车站,119.318133,26.112978,119.318133,26.112978,119.31329214003162,26.116071892546024,731319.6622687534,2890594.4755757875,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020613_023_bac5df12,350100020613,地铁1号线(三江口--象峰),三江口,象峰,23,BV10687407,BV10687407,罗汉山,119.318365,26.126091,119.318365,26.126091,119.31352270688649,26.129192935584722,731316.8646915396,2892048.71352377,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020613_024_4a173dbf,350100020613,地铁1号线(三江口--象峰),三江口,象峰,24,BV10687406,BV10687406,秀山,119.321016,26.133785,119.321016,26.133785,119.31616804011482,26.13688686651353,731566.2588542905,2892905.9228364937,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020613_025_9d0a99df,350100020613,地铁1号线(三江口--象峰),三江口,象峰,25,BV10687409,BV10687409,象峰,119.329639,26.143436,119.329639,26.143436,119.32477361419252,26.146527545100003,732407.811895052,2893989.4929977073,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_001_9d0a99df,350100020612,地铁1号线(象峰--三江口),象峰,三江口,1,BV10687409,BV10687409,象峰,119.329639,26.143436,119.329639,26.143436,119.32477361419252,26.146527545100003,732407.811895052,2893989.4929977073,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_002_4a173dbf,350100020612,地铁1号线(象峰--三江口),象峰,三江口,2,BV10687406,BV10687406,秀山,119.321016,26.133785,119.321016,26.133785,119.31616804011482,26.13688686651353,731566.2588542905,2892905.9228364937,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_003_bac5df12,350100020612,地铁1号线(象峰--三江口),象峰,三江口,3,BV10687407,BV10687407,罗汉山,119.318365,26.126091,119.318365,26.126091,119.31352270688649,26.129192935584722,731316.8646915396,2892048.71352377,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_004_c9eabb90,350100020612,地铁1号线(象峰--三江口),象峰,三江口,4,BV10687408,BV10687408,福州火车站,119.318133,26.112978,119.318133,26.112978,119.31329214003162,26.116071892546024,731319.6622687534,2890594.4755757875,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_005_0d912d6d,350100020612,地铁1号线(象峰--三江口),象峰,三江口,5,BV10687401,BV10687401,斗门,119.313723,26.103973,119.313723,26.103973,119.30889114953922,26.107069200111113,730897.1356614478,2889589.1485839323,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_006_dffd5e6e,350100020612,地铁1号线(象峰--三江口),象峰,三江口,6,BV10687402,BV10687402,树兜,119.305985,26.102208,119.305985,26.102208,119.30116733967627,26.105316840840846,730127.9044647886,2889381.3001757795,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_007_a6a50a31,350100020612,地铁1号线(象峰--三江口),象峰,三江口,7,BV10687400,BV10687400,屏山,119.297038,26.096256,119.297038,26.096256,119.2922357404101,26.099375624641738,729246.0000473668,2888707.2453385084,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_008_f654cbb6,350100020612,地铁1号线(象峰--三江口),象峰,三江口,8,BV10687403,BV10687403,东街口,119.299259,26.08596,119.299259,26.08596,119.29445395917679,26.08906932896125,729488.0418643352,2887569.218025013,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_009_ae3c0151,350100020612,地铁1号线(象峰--三江口),象峰,三江口,9,BV10210902,BV10210902,南门兜,119.301619,26.077774,119.301619,26.077774,119.29681067802922,26.080874062620527,729739.8495325048,2886665.339833248,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_010_f8b5ecc2,350100020612,地铁1号线(象峰--三江口),象峰,三江口,10,BV10687399,BV10687399,茶亭,119.304376,26.069167,119.304376,26.069167,119.2995636302829,26.072256707712945,730032.1604894407,2885715.3972790483,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_011_f2c1144e,350100020612,地铁1号线(象峰--三江口),象峰,三江口,11,BV10687404,BV10687404,达道,119.309855,26.056982,119.309855,26.056982,119.30503381911191,26.060053983321012,730603.4562150927,2884373.0064510345,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_012_9937d803,350100020612,地铁1号线(象峰--三江口),象峰,三江口,12,BV10687405,BV10687405,上藤,119.320579,26.043708,119.320579,26.043708,119.3157386798789,26.046751240580566,731700.9462565592,2882918.04497624,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_013_1804a7ca,350100020612,地铁1号线(象峰--三江口),象峰,三江口,13,BV10210904,BV10210904,三叉街,119.326693,26.034785,119.326693,26.034785,119.32184153680795,26.03781055192074,732329.4078633823,2881938.2721264386,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_014_c71414f1,350100020612,地铁1号线(象峰--三江口),象峰,三江口,14,BV10208407,BV10208407,白湖亭,119.335262,26.025916,119.335262,26.025916,119.33039469568043,26.028919177603733,733203.1467507235,2880968.365802586,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_015_17a844bf,350100020612,地铁1号线(象峰--三江口),象峰,三江口,15,BV10208456,BV10208456,葫芦阵,119.343548,26.017116,119.343548,26.017116,119.33866591823316,26.020097765755335,734048.648480602,2880005.7555282074,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_016_58db90d7,350100020612,地铁1号线(象峰--三江口),象峰,三江口,16,BV10208454,BV10208454,黄山,119.348788,26.010176,119.348788,26.010176,119.34389716991659,26.013143683985177,734586.1955593119,2879244.627267268,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_017_feb21562,350100020612,地铁1号线(象峰--三江口),象峰,三江口,17,BV10208471,BV10208471,排下,119.354008,26.001603,119.354008,26.001603,119.3491091055244,26.004555958555805,735125.1240455948,2878302.4721860173,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_018_b9adb293,350100020612,地铁1号线(象峰--三江口),象峰,三江口,18,BV10208691,BV10208691,城门,119.36022,25.996158,119.36022,25.996158,119.35531199214243,25.999097398591246,735757.1009351484,2877708.8397996477,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_019_1273a2e4,350100020612,地铁1号线(象峰--三江口),象峰,三江口,19,BV10208689,BV10208689,三角埕,119.368306,25.990796,119.368306,25.990796,119.36338766449529,25.993720361066195,736576.5045283996,2877127.65772763,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
350100020612_020_163b5d8b,350100020612,地铁1号线(象峰--三江口),象峰,三江口,20,BV10210905,BV10210905,胪雷,119.380086,25.984504,119.380086,25.984504,119.37515659509982,25.987411048308136,737767.7061211637,2876449.9402068974,AMap GCJ-02 converted to WGS84/EPSG:32650 by coordinate unification,metro
