line_id,route_id,stop_count,route_link_count,route_length_m,service_length_m,old_terminal_offset_s,new_terminal_offset_s,old_commercial_speed_kmh,new_commercial_speed_kmh,offsets_strictly_increasing,index_warning_count
bus_line_350100010003,bus_route_350100010003,22,340,31945.979,31945.979,4897.0,4897.018,23.485,23.485,true,0
bus_line_350100010004,bus_route_350100010004,22,245,20144.257,20144.257,3218.0,3218.365,22.536,22.533,true,0
bus_line_350100010005,bus_route_350100010005,29,510,66563.506,66563.506,9857.0,9856.927,24.311,24.311,true,0
bus_line_350100010008,bus_route_350100010008,33,368,41261.348,41261.348,6552.0,6551.949,22.671,22.671,true,0
bus_line_350100010009,bus_route_350100010009,28,502,67378.452,67378.452,9592.0,9591.992,25.288,25.288,true,0
bus_line_350100010010,bus_route_350100010010,29,343,42790.149,42790.149,6582.0,6581.7,23.404,23.405,true,0
bus_line_350100010011,bus_route_350100010011,26,194,27775.276,27775.276,4233.0,4233.478,23.622,23.619,true,0
bus_line_350100010012,bus_route_350100010012,25,141,21114.886,21114.886,3348.0,3347.874,22.704,22.705,true,0
bus_line_350100010013,bus_route_350100010013,38,445,49844.184,49844.184,7448.0,7447.712,24.092,24.093,true,0
bus_line_350100010014,bus_route_350100010014,40,542,67055.989,67055.989,9794.0,9794.091,24.648,24.648,true,0
bus_line_350100010015,bus_route_350100010015,23,137,18102.055,18102.055,2943.0,2943.272,22.143,22.141,true,0
bus_line_350100010016,bus_route_350100010016,27,317,43862.229,43862.229,6506.0,6505.959,24.271,24.271,true,0
bus_line_350100010018,bus_route_350100010018,28,379,48271.062,48271.062,7127.0,7126.548,24.383,24.384,true,0
bus_line_350100010019,bus_route_350100010019,27,413,54748.882,54748.882,7683.0,7682.666,25.654,25.655,true,0
bus_line_350100010020,bus_route_350100010020,30,441,59471.387,59471.387,8710.0,8710.294,24.581,24.58,true,0
bus_line_350100010021,bus_route_350100010021,35,446,50425.521,50425.521,7416.0,7415.873,24.478,24.479,true,0
bus_line_350100010022,bus_route_350100010022,38,366,42114.149,42114.149,6349.0,6349.369,23.879,23.878,true,0
bus_line_350100010023,bus_route_350100010023,37,494,60894.625,60894.625,9062.0,9061.634,24.191,24.192,true,0
bus_line_350100010024,bus_route_350100010024,37,526,69640.468,69640.468,10096.0,10096.015,24.832,24.832,true,0
bus_line_350100010025,bus_route_350100010025,30,174,20426.875,20426.875,3463.0,3462.866,21.235,21.236,true,0
bus_line_350100010026,bus_route_350100010026,26,138,17375.452,17375.452,2886.0,2886.037,21.674,21.674,true,0
bus_line_350100010027,bus_route_350100010027,34,409,51674.705,51674.705,7869.0,7868.776,23.641,23.641,true,0
bus_line_350100010028,bus_route_350100010028,33,444,67514.547,67514.547,9861.0,9860.743,24.648,24.648,true,0
bus_line_350100010031,bus_route_350100010031,36,398,58182.643,58182.643,8679.0,8678.886,24.134,24.134,true,0
bus_line_350100010032,bus_route_350100010032,35,427,49709.145,49709.145,7591.0,7590.897,23.574,23.575,true,0
bus_line_350100010033,bus_route_350100010033,32,416,49940.204,49940.204,7567.0,7567.441,23.759,23.758,true,0
bus_line_350100010034,bus_route_350100010034,32,325,45678.934,45678.934,6790.0,6790.283,24.219,24.218,true,0
bus_line_350100010035,bus_route_350100010035,28,234,27827.541,27827.541,4265.0,4265.441,23.489,23.486,true,0
bus_line_350100010036,bus_route_350100010036,27,246,29686.43,29686.43,4580.0,4580.106,23.334,23.334,true,0
bus_line_350100010037,bus_route_350100010037,36,553,75545.568,75545.568,10910.0,10910.292,24.928,24.927,true,0
bus_line_350100010038,bus_route_350100010038,39,468,64217.86,64217.86,9588.0,9588.435,24.112,24.111,true,0
bus_line_350100010041,bus_route_350100010041,27,181,21383.113,21383.113,3526.0,3526.118,21.832,21.831,true,0
bus_line_350100010042,bus_route_350100010042,27,118,14843.319,14843.319,2573.0,2572.695,20.768,20.77,true,0
bus_line_350100010046,bus_route_350100010046,35,369,43261.478,43261.478,6489.0,6488.515,24.001,24.003,true,0
bus_line_350100010047,bus_route_350100010047,26,347,37420.996,37420.996,5587.0,5586.946,24.112,24.113,true,0
bus_line_350100010048,bus_route_350100010048,29,459,53090.509,53090.509,7718.0,7718.2,24.764,24.763,true,0
bus_line_350100010049,bus_route_350100010049,29,289,35045.216,35045.216,5366.0,5366.414,23.512,23.51,true,0
bus_line_350100010050,bus_route_350100010050,28,437,62260.028,62260.028,8665.0,8664.942,25.867,25.867,true,0
bus_line_350100010051,bus_route_350100010051,23,158,21390.07,21390.07,3126.0,3125.839,24.633,24.635,true,0
bus_line_350100010052,bus_route_350100010052,23,209,27057.325,27057.325,3991.0,3990.593,24.407,24.409,true,0
bus_line_350100010054,bus_route_350100010054,41,315,54605.828,54605.828,8624.0,8623.53,22.795,22.796,true,0
bus_line_350100010055,bus_route_350100010055,20,199,21216.476,21216.476,3485.0,3484.78,21.917,21.918,true,0
bus_line_350100010056,bus_route_350100010056,19,254,28633.969,28633.969,4415.0,4415.077,23.348,23.348,true,0
bus_line_350100010057,bus_route_350100010057,34,622,115562.572,115562.572,17215.0,17215.316,24.166,24.166,true,0
bus_line_350100010058,bus_route_350100010058,40,502,90373.517,90373.517,14106.0,14106.419,23.064,23.064,true,0
bus_line_350100010059,bus_route_350100010059,42,372,58496.766,58496.766,9286.0,9285.642,22.678,22.679,true,0
bus_line_350100010061,bus_route_350100010061,16,282,31782.752,31782.752,4654.0,4654.365,24.585,24.583,true,0
bus_line_350100010062,bus_route_350100010062,21,396,77072.772,77072.772,10472.0,10471.707,26.496,26.496,true,0
bus_line_350100010063,bus_route_350100010063,13,183,24891.545,24891.545,3581.0,3580.82,25.024,25.025,true,0
bus_line_350100010064,bus_route_350100010064,13,152,22336.996,22336.996,3240.0,3239.769,24.819,24.821,true,0
bus_line_350100010065,bus_route_350100010065,25,322,38956.49,38956.49,5778.0,5778.392,24.272,24.27,true,0
bus_line_350100010066,bus_route_350100010066,23,259,23543.39,23543.39,3698.0,3698.43,22.919,22.917,true,0
bus_line_350100010067,bus_route_350100010067,27,342,48725.247,48725.247,7083.0,7083.322,24.765,24.764,true,0
bus_line_350100010068,bus_route_350100010068,26,282,46092.173,46092.173,6535.0,6535.177,25.391,25.391,true,0
bus_line_350100010069,bus_route_350100010069,36,559,90237.787,90237.787,13501.0,13501.206,24.062,24.061,true,0
bus_line_350100010071,bus_route_350100010071,39,483,62278.296,62278.296,9223.0,9223.423,24.309,24.308,true,0
bus_line_350100010072,bus_route_350100010072,39,394,43986.709,43986.709,6947.0,6947.026,22.794,22.794,true,0
bus_line_350100010073,bus_route_350100010073,26,158,23867.132,23867.132,3664.0,3664.116,23.45,23.449,true,0
bus_line_350100010074,bus_route_350100010074,27,172,22908.453,22908.453,3586.0,3585.82,22.998,22.999,true,0
bus_line_350100010077,bus_route_350100010077,34,555,84739.076,84739.076,11970.0,11969.784,25.485,25.486,true,0
bus_line_350100010078,bus_route_350100010078,32,418,56154.019,56154.019,8122.0,8122.278,24.89,24.889,true,0
bus_line_350100010079,bus_route_350100010079,31,619,86715.364,86715.364,13050.0,13050.095,23.921,23.921,true,0
bus_line_350100010080,bus_route_350100010080,28,471,63740.417,63740.417,9659.0,9659.026,23.757,23.757,true,0
bus_line_350100010081,bus_route_350100010081,34,282,37396.846,37396.846,5826.0,5825.822,23.108,23.109,true,0
bus_line_350100010082,bus_route_350100010082,34,241,31660.322,31660.322,5111.0,5111.43,22.3,22.298,true,0
bus_line_350100010083,bus_route_350100010083,22,458,58354.424,58354.424,8385.0,8384.633,25.054,25.055,true,0
bus_line_350100010084,bus_route_350100010084,28,564,68295.5,68295.5,9586.0,9586.153,25.648,25.648,true,0
bus_line_350100010087,bus_route_350100010087,34,400,58415.651,58415.651,9198.0,9198.018,22.863,22.863,true,0
bus_line_350100010088,bus_route_350100010088,35,353,54549.806,54549.806,8506.0,8506.244,23.087,23.086,true,0
bus_line_350100010089,bus_route_350100010089,28,346,43288.169,43288.169,6433.0,6432.828,24.225,24.225,true,0
bus_line_350100010090,bus_route_350100010090,26,350,48910.538,48910.538,6987.0,6987.374,25.201,25.199,true,0
bus_line_350100010091,bus_route_350100010091,32,408,51760.807,51760.807,7479.0,7479.277,24.915,24.914,true,0
bus_line_350100010092,bus_route_350100010092,33,259,41251.406,41251.406,6182.0,6182.202,24.022,24.021,true,0
bus_line_350100010093,bus_route_350100010093,35,185,21879.724,21879.724,3693.0,3692.614,21.329,21.331,true,0
bus_line_350100010094,bus_route_350100010094,36,201,22920.886,22920.886,3836.0,3836.079,21.511,21.51,true,0
bus_line_350100010095,bus_route_350100010095,36,226,30079.646,30079.646,4922.0,4922.436,22.001,21.999,true,0
bus_line_350100010096,bus_route_350100010096,37,340,43323.561,43323.561,6972.0,6971.941,22.37,22.37,true,0
bus_line_350100010097,bus_route_350100010097,40,435,52186.797,52186.797,8242.0,8242.083,22.795,22.794,true,0
bus_line_350100010098,bus_route_350100010098,40,346,40057.323,40057.323,6637.0,6636.795,21.728,21.728,true,0
bus_line_350100010099,bus_route_350100010099,42,425,52326.704,52326.704,8057.0,8056.929,23.38,23.381,true,0
bus_line_350100010100,bus_route_350100010100,42,305,39463.766,39463.766,6412.0,6411.911,22.157,22.157,true,0
bus_line_350100010101,bus_route_350100010101,33,519,73893.975,73893.975,11059.0,11059.473,24.054,24.053,true,0
bus_line_350100010102,bus_route_350100010102,34,507,65329.928,65329.928,9968.0,9968.417,23.594,23.593,true,0
bus_line_350100010105,bus_route_350100010105,27,293,30941.257,30941.257,4705.0,4704.928,23.675,23.675,true,0
bus_line_350100010106,bus_route_350100010106,26,325,33696.131,33696.131,5073.0,5072.896,23.912,23.913,true,0
bus_line_350100010107,bus_route_350100010107,36,250,29373.652,29373.652,4830.0,4829.989,21.893,21.893,true,0
bus_line_350100010108,bus_route_350100010108,38,217,29903.048,29903.048,4860.0,4860.257,22.15,22.149,true,0
