line_id,route_id,old_terminal_s,new_terminal_s,running_speed_factor
metro_1,metro_route_350100020612,3108.0,2473.333333333333,1.35
metro_1,metro_route_350100020613,3056.0,2434.8148148148152,1.35
metro_2,metro_route_350100020745,3210.0,2525.555555555555,1.35
metro_2,metro_route_350100020746,3051.0,2407.777777777778,1.35
metro_4,metro_route_900000090236,2981.0,2363.703703703704,1.35
metro_4,metro_route_900000090237,2875.0,2285.185185185185,1.35
metro_5,metro_route_900000088653,2773.0,2186.296296296296,1.35
metro_5,metro_route_900000088654,2704.0,2135.185185185185,1.35
metro_6,metro_route_900000076581,2525.0,1971.481481481481,1.35
metro_6,metro_route_900000076583,2537.0,1980.3703703703702,1.35
metro_binhai_f1,metro_route_900000139163,2700.0,2093.333333333333,1.35
metro_binhai_f1,metro_route_900000139164,2539.0,1974.0740740740737,1.35
