poi_id,name,normalized_name,type,typecode,address,pname,cityname,adname,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,x_epsg32650,y_epsg32650,inside_boundary,inside_boundary_500m_buffer,source_tile_ids,source_pages,duplicate_count,stop_cluster_id,saturation_warning,inside_boundary_2km_buffer,distance_to_boundary_m
BV09020981,闽江之心(台江步行街)(公交站),闽江之心(台江步行街),交通设施服务;公交车站;公交车站相关,150700,(停运)7686闽江之心环线;105路;10路;12路;136路;13路(敬老线路);149路;14路;15路;1路;25路(敬老线路);2路;309路;30路;312路;319路;31路;320路;321路;335路;37路;3路;50路;51路(敬老线路);71路;7686路船政文化城旅游专线;83路;K1路;马尾快线2号线;高峰快线1路;高峰快线2路,福建省,福州市,台江区,119.317408,26.053112,119.312573,26.05616361,731365.605,2883955.315,TRUE,TRUE,L0_007_003,2,1,闽江之心(台江步行街)_00001,FALSE,TRUE,4684.22858
BV09022105,江福路(交警大队)(公交站),江福路(交警大队),交通设施服务;公交车站;公交车站相关,150700,761路;761路(上放学期间),福建省,福州市,闽侯县,119.137042,26.144122,119.1321012,26.14715411,713139.467,2893728.519,TRUE,TRUE,L0_001_007,1,1,江福路(交警大队)_00002,FALSE,TRUE,304.0398689
BV09022444,洲尾(公交站),洲尾,交通设施服务;公交车站;公交车站相关,150700,地铁接驳27号专线,福建省,福州市,仓山区,119.357685,25.98107,119.3527819,25.98399923,735533.8831,2876031.375,TRUE,TRUE,L0_009_000,1,1,洲尾_00003,FALSE,TRUE,443.0091514
BV09022446,城门龙江(公交站),城门龙江,交通设施服务;公交车站;公交车站相关,150700,地铁接驳27号专线,福建省,福州市,仓山区,119.37668,25.979988,119.3717537,25.98289151,737436.0251,2875942.976,TRUE,TRUE,L0_009_000;L0_010_000,1,2,城门龙江_00004,FALSE,TRUE,304.2385538
BV09022447,天福洲(公交站),天福洲,交通设施服务;公交车站;公交车站相关,150700,地铁接驳27号专线,福建省,福州市,仓山区,119.366918,25.980412,119.3620021,25.98332734,736458.5788,2875973.582,TRUE,TRUE,L0_009_000,1,1,天福洲_00005,FALSE,TRUE,61.56545207
BV09022449,方岐洲路西(公交站),方岐洲路西,交通设施服务;公交车站;公交车站相关,150700,3路;90路;地铁接驳27号专线,福建省,福州市,仓山区,119.346647,25.987339,119.3417616,25.99029106,734417.7844,2876708.696,TRUE,TRUE,L0_008_001,1,1,方岐洲路西_00006,FALSE,TRUE,775.3494243
BV09022450,螺洲古镇地铁站(公交站),螺洲古镇地铁站,交通设施服务;公交车站;公交车站相关,150700,3路;90路;地铁接驳27号专线;螺洲吴石故居接驳专线,福建省,福州市,仓山区,119.350279,25.986562,119.3453874,25.98950718,734782.4211,2876628.353,TRUE,TRUE,L0_008_001;L0_009_001,1,2,螺洲古镇地铁站_00007,FALSE,TRUE,795.9989002
BV09023163,闽运汽车北站2站台(公交站),闽运汽车北站2站台,交通设施服务;公交车站;公交车站相关,150700,(停运)夜班2号线,福建省,福州市,晋安区,119.317855,26.109444,119.3130149,26.1125321,731298.907,2890201.77,TRUE,TRUE,L0_007_005;L0_007_006,3,2,闽运汽车北站2站台_00008,FALSE,TRUE,1856.379495
BV09023763,万科紫台(公交站),万科紫台,交通设施服务;公交车站;公交车站相关,150700,58路区间,福建省,福州市,马尾区,119.464927,26.01243,119.4601037,26.01542648,746216.1425,2879711.625,TRUE,TRUE,L0_013_002,1,1,万科紫台_00009,FALSE,TRUE,50.25831537
BV09025187,潭桥公交总站(公交站),潭桥公交总站,交通设施服务;公交车站;公交车站相关,150700,130路;310路;333路;335路;46路;62路(敬老线路);地铁接驳23号专线,福建省,福州市,晋安区,119.355607,26.098923,119.3506982,26.10193494,735089.6931,2889095.135,TRUE,TRUE,L0_009_005,1,1,潭桥公交总站_00010,FALSE,TRUE,851.1455671
BV09025199,横屿路板桥路口(公交站),横屿路板桥路口,交通设施服务;公交车站;公交车站相关,150700,130路;335路,福建省,福州市,晋安区,119.34967,26.093583,119.3447713,26.09660137,734507.4003,2888493.468,TRUE,TRUE,L0_008_005;L0_009_005,2,2,横屿路板桥路口_00011,FALSE,TRUE,1423.217537
BV09025200,省儿童医院西门(公交站),省儿童医院西门,交通设施服务;公交车站;公交车站相关,150700,130路;335路;61路,福建省,福州市,晋安区,119.356875,26.096018,119.3519644,26.099026,735222.1964,2888775.105,TRUE,TRUE,L0_009_005,1,1,省儿童医院西门_00012,FALSE,TRUE,1194.26087
BV09025201,洋头尾路东(公交站),洋头尾路东,交通设施服务;公交车站;公交车站相关,150700,335路,福建省,福州市,晋安区,119.343587,26.091,119.3386992,26.09402747,733905.0288,2888197.346,TRUE,TRUE,L0_008_005,1,1,洋头尾路东_00013,FALSE,TRUE,1775.271586
BV09025203,福州第十一中学(横屿校区)(公交站),福州第十一中学(横屿校区),交通设施服务;公交车站;公交车站相关,150700,130路;335路,福建省,福州市,晋安区,119.354755,26.094282,119.3498479,26.09729227,735013.9136,2888579.18,TRUE,TRUE,L0_009_005,1,1,福州第十一中学(横屿校区)_00014,FALSE,TRUE,1349.911781
BV09026471,横屿路(公交站),横屿路,交通设施服务;公交车站;公交车站相关,150700,130路;地铁接驳23号专线;通学专线6路,福建省,福州市,晋安区,119.333505,26.093337,119.328636,26.09638481,732893.5334,2888440.496,TRUE,TRUE,L0_008_005,1,1,横屿路_00016,FALSE,TRUE,1680.69232
BV09026590,阳岐严复故里(公交站),阳岐严复故里,交通设施服务;公交车站;公交车站相关,150700,311路,福建省,福州市,仓山区,119.281062,25.996828,119.2762889,25.99989816,727843.0394,2877657.293,TRUE,TRUE,L0_006_001,1,1,阳岐严复故里_00017,FALSE,TRUE,702.3394048
