line_id,line_name,status,match_method,sampled_anchor_count,bridge_gap_count,stop_count,route_link_count,route_length_m,stop_snap_median_m,stop_snap_p95_m,stop_snap_max_m,unmatched_stops,departure_count,first_departure,last_departure,departure_match_status,departure_source,warning
350100010003,1路(西门--白湖亭),success,trajectory_map_matching,68,0,22,340,31945.979,1.583,4.881,12.3,0,176,05:00:00,23:00:00,timetable_exact_line_name,departure_sequence,
350100010004,1路(则徐大道盖山路口--西门),success,trajectory_map_matching,71,0,22,245,20144.257,1.664,6.016,6.319,0,89,05:00:00,23:00:00,timetable_direction_match,departure_sequence,
350100010005,2路(火车站北广场--公交海峡国际会展中心西站),success,trajectory_map_matching,110,0,29,511,66616.279,3.063,16.388,18.419,0,162,06:05:00,22:30:00,timetable_exact_line_name,departure_sequence,
350100010008,2路(公交海峡国际会展中心西站--火车站北广场),success,trajectory_map_matching,109,0,33,368,41261.348,2.79,14.848,36.319,0,90,06:30:00,22:30:00,timetable_direction_match,departure_sequence,
350100010009,3路(螺洲古镇--公交苍霞站),success,trajectory_map_matching,106,0,29,508,68247.834,3.06,15.621,32.761,0,149,06:00:00,21:00:00,timetable_exact_line_name,departure_sequence,
350100010010,3路(公交苍霞站--螺洲古镇),success,trajectory_map_matching,99,0,29,343,42790.149,4.579,22.077,33.392,0,83,06:00:00,21:00:00,timetable_direction_match,departure_sequence,
350100010011,4路(丰泉环保集团--左海公园西门),success,stop_to_stop_fallback_after_trajectory_gaps,26,0,26,194,27775.276,2.999,11.849,19.24,0,66,06:00:00,21:00:00,timetable_exact_line_name,departure_sequence+text_regular_headway,
350100010012,4路(左海公园西门--丰泉环保集团),success,stop_to_stop_fallback_after_trajectory_gaps,26,0,26,141,21114.886,1.594,15.286,19.234,0,66,06:00:00,21:00:00,timetable_direction_match,departure_sequence,
350100010013,5路(金山公交总站--火车站北广场),success,trajectory_map_matching,130,0,38,445,49844.184,2.858,13.675,27.847,0,64,05:55:00,21:30:00,timetable_exact_line_name,departure_sequence,
350100010014,5路(火车站北广场--金山公交总站),success,trajectory_map_matching,127,0,41,542,67055.989,2.458,8.396,18.285,0,74,06:00:00,22:30:00,timetable_direction_match,departure_sequence,
350100010015,6路(敬老线路)(金山浦上公交枢纽站--公交仁德站),success,stop_to_stop_fallback_after_trajectory_gaps,23,0,23,138,18282.498,2.919,27.881,53.631,0,76,06:00:00,20:20:00,timetable_exact_line_name,estimated_headway_reference_profile,
350100010016,6路(敬老线路)(公交仁德站--金山浦上公交枢纽站),success,trajectory_map_matching,89,0,27,332,44192.6,2.661,22.752,42.533,0,76,06:00:00,20:20:00,timetable_exact_line_name,estimated_headway_reference_profile,
350100010018,7路(福大学生广场--廨院公交总站),success,trajectory_map_matching,96,0,28,380,48287.5,2.313,10.588,14.937,0,59,06:05:00,21:30:00,timetable_exact_line_name,departure_sequence,
350100010019,8路(则徐大道盖山路口--软件园公交总站),success,trajectory_map_matching,103,0,28,413,54748.882,2.287,14.022,55.652,0,173,06:00:00,23:00:00,timetable_exact_line_name,departure_sequence,
350100010020,8路(软件园公交总站--白湖亭),success,trajectory_map_matching,107,0,30,441,59471.387,1.807,23.111,28.826,0,95,06:00:00,23:00:00,timetable_direction_match,departure_sequence,
350100010021,9路(远东丽景公交站--新厦二区社区),success,trajectory_map_matching,126,0,38,446,50425.521,2.212,18.643,41.755,0,185,06:00:00,21:30:00,timetable_exact_line_name,departure_sequence,
350100010022,9路(新厦二区社区--远东丽景公交站),success,trajectory_map_matching,121,0,39,366,42114.149,2.154,14.967,15.319,0,110,06:00:00,21:30:00,timetable_direction_match,departure_sequence,
