link_id,type,length_m,freespeed_mps,modes,source_line_id,source_line_name,mid_nearest_road_distance_m
syn_bus_link_000002,synthetic_bus_trajectory,52.95,13.89,"car,pt",350100010025,11路(海峡奥体公交枢纽站--公交鹤林站),122.78
syn_bus_link_000003,synthetic_bus_trajectory,58.286,13.89,"car,pt",350100010026,11路(公交鹤林站--海峡奥体公交枢纽站),125.957
syn_bus_link_000005,synthetic_bus_trajectory,27.424,13.89,"car,pt",350100010035,K2路(火车南站西广场--火车站北广场),118.339
syn_bus_link_000006,synthetic_bus_trajectory,42.036,13.89,"car,pt",350100010035,K2路(火车南站西广场--火车站北广场),80.491
syn_bus_link_000007,synthetic_bus_trajectory,27.607,13.89,"car,pt",350100010035,K2路(火车南站西广场--火车站北广场),89.069
syn_bus_link_000008,synthetic_bus_trajectory,37.029,13.89,"car,pt",350100010035,K2路(火车南站西广场--火车站北广场),90.644
syn_bus_link_000009,synthetic_bus_trajectory,35.001,13.89,"car,pt",350100010035,K2路(火车南站西广场--火车站北广场),88.438
syn_bus_link_000010,synthetic_bus_trajectory,55.811,13.89,"car,pt",350100010035,K2路(火车南站西广场--火车站北广场),81.944
syn_bus_link_000011,synthetic_bus_trajectory,16.008,13.89,"car,pt",350100010037,18路(火车站南广场--仁山路利嘉国际商业城),88.057
syn_bus_link_000012,synthetic_bus_trajectory,8.95,13.89,"car,pt",350100010037,18路(火车站南广场--仁山路利嘉国际商业城),92.944
syn_bus_link_000013,synthetic_bus_trajectory,14.429,13.89,"car,pt",350100010037,18路(火车站南广场--仁山路利嘉国际商业城),96.956
syn_bus_link_000014,synthetic_bus_trajectory,16.616,13.89,"car,pt",350100010037,18路(火车站南广场--仁山路利嘉国际商业城),102.145
syn_bus_link_000015,synthetic_bus_trajectory,24.94,13.89,"car,pt",350100010037,18路(火车站南广场--仁山路利嘉国际商业城),107.45
syn_bus_link_000016,synthetic_bus_trajectory,20.573,13.89,"car,pt",350100010037,18路(火车站南广场--仁山路利嘉国际商业城),111.861
syn_bus_link_000017,synthetic_bus_trajectory,26.887,13.89,"car,pt",350100010037,18路(火车站南广场--仁山路利嘉国际商业城),114.487
syn_bus_link_000018,synthetic_bus_trajectory,24.144,13.89,"car,pt",350100010037,18路(火车站南广场--仁山路利嘉国际商业城),115.229
syn_bus_link_000019,synthetic_bus_trajectory,41.391,13.89,"car,pt",350100010037,18路(火车站南广场--仁山路利嘉国际商业城),112.54
syn_bus_link_000020,synthetic_bus_trajectory,34.131,13.89,"car,pt",350100010037,18路(火车站南广场--仁山路利嘉国际商业城),105.545
