merged_stop_id,source_ids,source_id_count,name,normalized_name,source_types,line_ids,merge_member_count,merge_method,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,x_epsg32650,y_epsg32650,inside_boundary,inside_boundary_2km_buffer,raw_record_count,mode,coord_source
amap_stop_00001,BV09020981,1,闽江之心(台江步行街)(公交站),闽江之心(台江步行街),lineid_busstop;poi,350100010003;350100010004;350100010005;350100010008;350100010009;350100010010;350100010023;350100010024;350100010027;350100010028;350100010031;350100010032;350100010051;350100010052;350100010057;350100010058;350100010066;350100010087;350100010088;350100010089;350100010090;350100010153;350100010154;350100010179;350100010180;350100010241;350100010248;350100010270;350100010271;350100010274;350100010275;350100010325;350100010326;350100010327;350100010329;350100010330;350100010349;350100010350;350100010362;350100010363;350100010365;350100010366;350100010405;350100010406;350100010423;350100010424;350100010598;350100010599;900000083059;900000083060;900000144206;900000144207;900000144208;900000144209;900000167351;900000167352;900000185187;900000220899;900000220911,1,same_id,119.317408,26.053112,119.31257303548448,26.05616360795842,731365.6049855037,2883955.315464894,True,True,60,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00002,BV09022105,1,江福路(交警大队)(公交站),江福路(交警大队),lineid_busstop;poi,900000160847;900000242916,1,same_id,119.137042,26.144122,119.1321011510998,26.147154111205573,713139.4669634311,2893728.519155164,True,True,3,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00003,BV09022444,1,洲尾(公交站),洲尾,lineid_busstop;poi,350100010193;350100010198,1,same_id,119.357685,25.98107,119.35278190166986,25.983999229450056,735533.8831246383,2876031.3751179203,True,True,3,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00004,BV09022446,1,城门龙江(公交站),城门龙江,lineid_busstop;poi,350100010193;350100010198,1,same_id,119.37668,25.979988,119.37175372769204,25.982891509787883,737436.0251488927,2875942.975879489,True,True,3,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00005,BV09022447,1,天福洲(公交站),天福洲,lineid_busstop;poi,350100010193;350100010198,1,same_id,119.366918,25.980412,119.36200214675108,25.98332733677262,736458.5788383873,2875973.58213448,True,True,3,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00006,BV09022449,1,方岐洲路西(公交站),方岐洲路西,lineid_busstop;poi,350100010009;350100010010;350100010172;350100010193;350100010198,1,same_id,119.346647,25.987339,119.34176163023083,25.99029105966762,734417.7844019805,2876708.6958152074,True,True,6,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00007,BV09022450,1,螺洲古镇地铁站(公交站),螺洲古镇地铁站,lineid_busstop;poi,350100010009;350100010010;350100010171;350100010172;350100010193;900000242372,1,same_id,119.350279,25.986562,119.3453874105399,25.98950718037161,734782.4210860241,2876628.352807184,True,True,7,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00008,BV09023163,1,闽运汽车北站2站台(公交站),闽运汽车北站2站台,lineid_busstop;poi,350100010279,1,same_id,119.317855,26.109444,119.31301493691112,26.11253210458434,731298.9069805638,2890201.770108546,True,True,2,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00009,BV09023763,1,万科紫台(公交站),万科紫台,lineid_busstop;poi,900000183715;900000183716,1,same_id,119.464927,26.01243,119.46010365054688,26.015426481335737,746216.142528686,2879711.625204527,True,True,3,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00010,BV09025187,1,潭桥公交总站(公交站),潭桥公交总站,lineid_busstop;poi,350100010216;350100010221;350100010264;350100010265;350100010320;350100010321;350100010335;350100010336;900000083059;900000083060;900000094157;900000094158;900000146903;900000146904,1,same_id,119.355607,26.098923,119.3506981675142,26.10193493575908,735089.6930676524,2889095.1354426,True,True,15,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00011,BV09025199,1,横屿路板桥路口(公交站),横屿路板桥路口,lineid_busstop;poi,350100010320;350100010321;900000083059;900000083060,1,same_id,119.34967,26.093583,119.34477132971516,26.0966013697556,734507.4003263329,2888493.467652354,True,True,5,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00012,BV09025200,1,省儿童医院西门(公交站),省儿童医院西门,lineid_busstop;poi,350100010157;350100010158;350100010320;350100010321;900000083059;900000083060,1,same_id,119.356875,26.096018,119.35196441237672,26.09902599722921,735222.1964111542,2888775.105427636,True,True,7,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00013,BV09025201,1,洋头尾路东(公交站),洋头尾路东,lineid_busstop;poi,900000083059;900000083060,1,same_id,119.343587,26.091,119.33869924893636,26.094027467475406,733905.0287597245,2888197.3458005544,True,True,3,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00014,BV09025203,1,福州第十一中学(横屿校区)(公交站),福州第十一中学(横屿校区),lineid_busstop;poi,350100010320;350100010321;900000083059;900000083060,1,same_id,119.354755,26.094282,119.34984787089913,26.09729227220223,735013.9136277663,2888579.179648073,True,True,5,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00015,BV09387450,1,横屿路(公交站),横屿路,lineid_busstop;poi,900000083060,1,same_id,119.347267,26.093349,119.34237250583811,26.09637141691268,734267.8628785985,2888463.667738744,True,True,2,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00016,BV09026471,1,横屿路(公交站),横屿路,lineid_busstop;poi,350100010320;350100010321;900000146903;900000146904;900000219138;900000219146,1,same_id,119.333505,26.093337,119.32863595534998,26.09638481119565,732893.5333874789,2888440.495950797,True,True,7,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00017,BV09026590,1,阳岐严复故里(公交站),阳岐严复故里,lineid_busstop;poi,350100010357,1,same_id,119.281062,25.996828,119.27628888089257,25.999898157628376,727843.0393804446,2877657.293471396,True,True,2,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00018,BV09026925,1,横屿路潭桥路口(公交站),横屿路潭桥路口,lineid_busstop;poi,350100010320;350100010321;900000083059;900000219138;900000219144;900000219146;900000219148,1,same_id,119.347267,26.093349,119.34237250583811,26.09637141691268,734267.8628785985,2888463.667738744,True,True,8,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00019,BV09029245,1,九〇〇医院(原总院)(公交站),九〇〇医院(原总院),lineid_busstop;poi,350100010023;350100010024;350100010200;350100010207;350100010256;350100010295;350100010296;350100010299;350100010737;900000169184;900000169185,1,same_id,119.282044,26.088521,119.27726291214636,26.09165184817549,727763.0520543547,2887825.16564394,True,True,12,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
amap_stop_00020,BV09045881,1,清华附中福州学校(公交站),清华附中福州学校,lineid_busstop;poi,350100010224;350100010233,1,same_id,119.377767,26.014924,119.37283712941736,26.01785023963914,737474.1589057667,2879818.462387501,True,True,3,bus,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
