mode,stop_id,source_ids,name,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,x_epsg32650,y_epsg32650,line_ids,coord_source
bus,amap_stop_00001,BV09020981,闽江之心(台江步行街)(公交站),119.317408,26.053112,119.31257303548448,26.05616360795842,731365.6049855037,2883955.315464894,350100010003;350100010004;350100010005;350100010008;350100010009;350100010010;350100010023;350100010024;350100010027;350100010028;350100010031;350100010032;350100010051;350100010052;350100010057;350100010058;350100010066;350100010087;350100010088;350100010089;350100010090;350100010153;350100010154;350100010179;350100010180;350100010241;350100010248;350100010270;350100010271;350100010274;350100010275;350100010325;350100010326;350100010327;350100010329;350100010330;350100010349;350100010350;350100010362;350100010363;350100010365;350100010366;350100010405;350100010406;350100010423;350100010424;350100010598;350100010599;900000083059;900000083060;900000144206;900000144207;900000144208;900000144209;900000167351;900000167352;900000185187;900000220899;900000220911,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00002,BV09022105,江福路(交警大队)(公交站),119.137042,26.144122,119.1321011510998,26.147154111205573,713139.4669634311,2893728.519155164,900000160847;900000242916,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00003,BV09022444,洲尾(公交站),119.357685,25.98107,119.35278190166986,25.983999229450056,735533.8831246383,2876031.3751179203,350100010193;350100010198,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00004,BV09022446,城门龙江(公交站),119.37668,25.979988,119.37175372769204,25.982891509787883,737436.0251488927,2875942.975879489,350100010193;350100010198,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00005,BV09022447,天福洲(公交站),119.366918,25.980412,119.36200214675108,25.98332733677262,736458.5788383873,2875973.58213448,350100010193;350100010198,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00006,BV09022449,方岐洲路西(公交站),119.346647,25.987339,119.34176163023083,25.99029105966762,734417.7844019805,2876708.6958152074,350100010009;350100010010;350100010172;350100010193;350100010198,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00007,BV09022450,螺洲古镇地铁站(公交站),119.350279,25.986562,119.3453874105399,25.98950718037161,734782.4210860241,2876628.352807184,350100010009;350100010010;350100010171;350100010172;350100010193;900000242372,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00008,BV09023163,闽运汽车北站2站台(公交站),119.317855,26.109444,119.31301493691112,26.11253210458434,731298.9069805638,2890201.770108546,350100010279,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00009,BV09023763,万科紫台(公交站),119.464927,26.01243,119.46010365054688,26.015426481335737,746216.142528686,2879711.625204527,900000183715;900000183716,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00010,BV09025187,潭桥公交总站(公交站),119.355607,26.098923,119.3506981675142,26.10193493575908,735089.6930676524,2889095.1354426,350100010216;350100010221;350100010264;350100010265;350100010320;350100010321;350100010335;350100010336;900000083059;900000083060;900000094157;900000094158;900000146903;900000146904,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00011,BV09025199,横屿路板桥路口(公交站),119.34967,26.093583,119.34477132971516,26.0966013697556,734507.4003263329,2888493.467652354,350100010320;350100010321;900000083059;900000083060,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00012,BV09025200,省儿童医院西门(公交站),119.356875,26.096018,119.35196441237672,26.09902599722921,735222.1964111542,2888775.105427636,350100010157;350100010158;350100010320;350100010321;900000083059;900000083060,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00013,BV09025201,洋头尾路东(公交站),119.343587,26.091,119.33869924893636,26.094027467475406,733905.0287597245,2888197.3458005544,900000083059;900000083060,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00014,BV09025203,福州第十一中学(横屿校区)(公交站),119.354755,26.094282,119.34984787089913,26.09729227220223,735013.9136277663,2888579.179648073,350100010320;350100010321;900000083059;900000083060,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00015,BV09387450,横屿路(公交站),119.347267,26.093349,119.34237250583811,26.09637141691268,734267.8628785985,2888463.667738744,900000083060,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00016,BV09026471,横屿路(公交站),119.333505,26.093337,119.32863595534998,26.09638481119565,732893.5333874789,2888440.495950797,350100010320;350100010321;900000146903;900000146904;900000219138;900000219146,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00017,BV09026590,阳岐严复故里(公交站),119.281062,25.996828,119.27628888089257,25.999898157628376,727843.0393804446,2877657.293471396,350100010357,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00018,BV09026925,横屿路潭桥路口(公交站),119.347267,26.093349,119.34237250583811,26.09637141691268,734267.8628785985,2888463.667738744,350100010320;350100010321;900000083059;900000219138;900000219144;900000219146;900000219148,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00019,BV09029245,九〇〇医院(原总院)(公交站),119.282044,26.088521,119.27726291214636,26.09165184817549,727763.0520543547,2887825.16564394,350100010023;350100010024;350100010200;350100010207;350100010256;350100010295;350100010296;350100010299;350100010737;900000169184;900000169185,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00020,BV09045881,清华附中福州学校(公交站),119.377767,26.014924,119.37283712941736,26.01785023963914,737474.1589057667,2879818.462387501,350100010224;350100010233,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00021,BV09048611,樟岚公交总站(公交站),119.378968,26.01304,119.37403728792492,26.015963800506658,737598.114808757,2879611.6241414747,900000208818;900000215327,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00022,BV09049764,闽江之心(公交站),119.317222,26.053163,119.31238738514436,26.056214989286463,731346.9240393916,2883960.678958854,900000025642,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00023,BV09052934,福州市妇幼保健院(公交站),119.289795,26.020013,119.28500919582731,26.023088064377465,728671.2150051959,2880241.942684859,900000186795;900000228016;900000228019,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00024,BV11567840,亭下(公交站),119.332269,26.104858,119.32740145828986,26.10791571582917,732747.1790281532,2889715.93045304,350100010250;350100010255;900000224763,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00025,BV09054029,亭下(公交站),119.146451,26.147666,119.14152569367224,26.150714780819385,714075.37726702,2894138.514270529,350100010059;350100010060;350100010342;350100010393;350100010394;350100010731;350100010732;900000042908;900000046206;900000152292,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00026,BV09055732,秀山地铁站B口(公交站),119.321367,26.134198,119.31651833264488,26.13729543732854,731600.4854840889,2892951.8173824064,350100010516;900000071235,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00027,BV09057177,北门(公交站),119.293015,26.10079,119.2882185368494,26.10391459725797,728835.2669769389,2889203.0913685984,350100010021;350100010022;350100010081;350100010082;350100010099;350100010100;350100010131;350100010132;350100010167;350100010168;350100010266;350100010267;350100010407;350100010408;350100010619;350100010620;900000049875;900000049876;900000186785;900000192611,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00028,BV10572898,北门,118.934136,25.870534,118.9295840227029,25.87370243675884,693337.0757888264,2863118.3519343776,900000034476;900000035847;900000186777;900000186795;900000228019,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00029,BV09058362,秀山地铁站D口(公交站),119.320302,26.132961,119.31545547611634,26.136059662092705,731496.6266589717,2892812.997764782,350100010517;900000071234,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00030,BV09059673,盘屿地铁站A口(公交站),119.294389,25.999003,119.28959811574842,26.00205719134369,729171.4604193631,2877919.800186413,350100010087;350100010088;350100010429;350100010430;900000055347;900000055360,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00031,BV09060730,市政务服务中心(公交站),119.307055,26.070462,119.30223783751605,26.073543973884444,730297.2380228433,2885862.752047872,350100010005;350100010008;350100010015;350100010016;350100010145;350100010146;350100010250;350100010255;350100010293;350100010294;350100010325,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00032,BV09060917,水头白塔里(公交站),119.320891,26.102755,119.31604562552124,26.10583303020196,731615.2859015157,2889464.897944956,350100010207;900000079599;900000133373,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00033,BV09062488,温泉小学(公交站),119.310799,26.099644,119.30597288520276,26.102738657851592,730613.7038191768,2889104.145268028,350100010044;350100010111;350100010197;900000205225;900000205226,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00034,BV09062503,迎飞花园西门(公交站),119.325805,26.014457,119.32095679000528,26.017466544499843,732280.9376806365,2879682.572512924,350100010180;350100010599,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00035,BV09062504,福州环保职专跨洋校区(公交站),119.324516,26.016834,119.31967010694244,26.01984762087356,732147.4350462665,2879944.106737094,350100010598;350100010599,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00036,BV09063064,福道7号口(公交站),119.254185,26.080965,119.2494223915773,26.08410966265156,724992.0964126405,2886941.090587197,350100010032;350100010033;350100010147;350100010286;350100010311;350100010338;350100010366;900000048928;900000149278;900000149864;900000254110,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00037,BV09067687,福建船政交通职业学院(公交站),119.313407,26.027723,119.30858147994604,26.03076484307884,731015.9402556501,2881134.0526529583,350100010041;350100010042;350100010073;350100010074;350100010135;350100010136;350100010179;350100010180;350100010254;350100010256;350100010272;350100010273;350100010362;350100010363;350100010508;350100010510;900000062588;900000062593;900000166947;900000166948;900000167357;900000167358,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00038,BV09069208,三江口生态公园(公交站),119.393169,26.008031,119.38823173594898,26.010941830102663,739029.4086844841,2879081.0921483804,350100010280,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_00039,BV09070880,八中三江口校区(公交站),119.419078,25.974799,119.41415563318566,25.977691673557885,741693.0617388792,2875444.5547223603,900000042667;900000042668;900000157702;900000157703,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
