original_link_id,bus_priority_link_id,original_modes,bus_priority_modes,original_capacity,bus_priority_capacity,original_permlanes,bus_priority_permlanes
l_0_0_f,busprio_l_0_0_f,"car,pt",pt,6000.0,6000.0,3.0,3.0
l_10016_1_f,busprio_l_10016_1_f,"car,pt",pt,700.0,3600.0,1.0,1.0
l_1001_0_f,busprio_l_1001_0_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_1001_1_f,busprio_l_1001_1_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_1001_2_f,busprio_l_1001_2_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_1001_3_f,busprio_l_1001_3_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_1001_4_f,busprio_l_1001_4_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_1001_5_f,busprio_l_1001_5_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_1001_6_f,busprio_l_1001_6_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10020_0_f,busprio_l_10020_0_f,"car,pt",pt,400.0,3600.0,1.0,1.0
l_10020_0_r,busprio_l_10020_0_r,"car,pt",pt,400.0,3600.0,1.0,1.0
l_10021_0_f,busprio_l_10021_0_f,"car,pt",pt,400.0,3600.0,1.0,1.0
l_10021_0_r,busprio_l_10021_0_r,"car,pt",pt,400.0,3600.0,1.0,1.0
l_10024_0_f,busprio_l_10024_0_f,"car,pt",pt,1500.0,3600.0,1.0,1.0
l_10026_0_f,busprio_l_10026_0_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10026_1_f,busprio_l_10026_1_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10026_2_f,busprio_l_10026_2_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10026_3_f,busprio_l_10026_3_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10027_0_f,busprio_l_10027_0_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10027_1_f,busprio_l_10027_1_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10027_2_f,busprio_l_10027_2_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10028_0_f,busprio_l_10028_0_f,"car,pt",pt,900.0,3600.0,1.0,1.0
l_10029_0_f,busprio_l_10029_0_f,"car,pt",pt,900.0,3600.0,1.0,1.0
l_10030_0_f,busprio_l_10030_0_f,"car,pt",pt,900.0,3600.0,1.0,1.0
l_1003_0_f,busprio_l_1003_0_f,"car,pt",pt,1200.0,3600.0,1.0,1.0
l_1003_0_r,busprio_l_1003_0_r,"car,pt",pt,1200.0,3600.0,1.0,1.0
l_1003_1_f,busprio_l_1003_1_f,"car,pt",pt,1200.0,3600.0,1.0,1.0
l_1003_1_r,busprio_l_1003_1_r,"car,pt",pt,1200.0,3600.0,1.0,1.0
l_1003_2_f,busprio_l_1003_2_f,"car,pt",pt,1200.0,3600.0,1.0,1.0
l_1003_2_r,busprio_l_1003_2_r,"car,pt",pt,1200.0,3600.0,1.0,1.0
l_10046_0_f,busprio_l_10046_0_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10046_1_f,busprio_l_10046_1_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10047_0_f,busprio_l_10047_0_f,"car,pt",pt,7200.0,7200.0,4.0,4.0
l_10048_0_f,busprio_l_10048_0_f,"car,pt",pt,3600.0,3600.0,2.0,2.0
l_1004_0_f,busprio_l_1004_0_f,"car,pt",pt,1200.0,3600.0,1.0,1.0
l_1004_0_r,busprio_l_1004_0_r,"car,pt",pt,1200.0,3600.0,1.0,1.0
l_10050_0_f,busprio_l_10050_0_f,"car,pt",pt,7200.0,7200.0,4.0,4.0
l_10051_0_f,busprio_l_10051_0_f,"car,pt",pt,3600.0,3600.0,2.0,2.0
l_10052_0_f,busprio_l_10052_0_f,"car,pt",pt,3600.0,3600.0,2.0,2.0
l_10053_0_f,busprio_l_10053_0_f,"car,pt",pt,7200.0,7200.0,4.0,4.0
l_10054_0_f,busprio_l_10054_0_f,"car,pt",pt,2400.0,3600.0,2.0,2.0
l_10055_0_f,busprio_l_10055_0_f,"car,pt",pt,7200.0,7200.0,4.0,4.0
l_10055_1_f,busprio_l_10055_1_f,"car,pt",pt,7200.0,7200.0,4.0,4.0
l_10056_0_f,busprio_l_10056_0_f,"car,pt",pt,1500.0,3600.0,1.0,1.0
l_10059_0_f,busprio_l_10059_0_f,"car,pt",pt,6000.0,6000.0,3.0,3.0
l_1005_0_f,busprio_l_1005_0_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1005_1_f,busprio_l_1005_1_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_1005_2_f,busprio_l_1005_2_f,"car,pt",pt,5400.0,5400.0,3.0,3.0
l_10060_0_f,busprio_l_10060_0_f,"car,pt",pt,1200.0,3600.0,1.0,1.0
l_10061_0_f,busprio_l_10061_0_f,"car,pt",pt,4000.0,4000.0,2.0,2.0
