link_id,modes,capacity,permlanes,highway,link_class,is_bus_priority,is_car_link,is_pt_link
l_0_0_f,car,300,3,trunk,osm_road,false,true,false
l_1_0_f,car,300,3,primary,osm_road,false,true,false
l_2_0_f,car,300,3,trunk,osm_road,false,true,false
l_2_1_f,car,300,3,trunk,osm_road,false,true,false
l_3_0_f,car,300,1,tertiary,osm_road,false,true,false
l_3_0_r,car,300,1,tertiary,osm_road,false,true,false
l_5_0_f,car,300,3,primary,osm_road,false,true,false
l_5_1_f,car,300,3,primary,osm_road,false,true,false
l_5_2_f,car,300,3,primary,osm_road,false,true,false
l_7_0_f,car,300,3,primary,osm_road,false,true,false
l_7_1_f,car,300,3,primary,osm_road,false,true,false
l_8_0_f,car,300,2,trunk_link,osm_road,false,true,false
l_8_1_f,car,300,2,trunk_link,osm_road,false,true,false
l_9_0_f,car,300,2,primary,osm_road,false,true,false
l_9_1_f,car,300,2,primary,osm_road,false,true,false
l_9_2_f,car,300,2,primary,osm_road,false,true,false
l_10_0_f,car,300,3,primary,osm_road,false,true,false
l_10_1_f,car,300,3,primary,osm_road,false,true,false
l_10_2_f,car,300,3,primary,osm_road,false,true,false
l_10_3_f,car,300,3,primary,osm_road,false,true,false
l_10_4_f,car,300,3,primary,osm_road,false,true,false
l_10_5_f,car,300,3,primary,osm_road,false,true,false
l_10_6_f,car,300,3,primary,osm_road,false,true,false
l_10_7_f,car,300,3,primary,osm_road,false,true,false
l_10_8_f,car,300,3,primary,osm_road,false,true,false
l_10_9_f,car,300,3,primary,osm_road,false,true,false
l_11_0_f,car,300,2,secondary,osm_road,false,true,false
l_11_1_f,car,300,2,secondary,osm_road,false,true,false
l_11_2_f,car,300,2,secondary,osm_road,false,true,false
l_11_3_f,car,300,2,secondary,osm_road,false,true,false
l_11_4_f,car,300,2,secondary,osm_road,false,true,false
l_11_5_f,car,300,2,secondary,osm_road,false,true,false
l_11_6_f,car,300,2,secondary,osm_road,false,true,false
l_11_7_f,car,300,2,secondary,osm_road,false,true,false
l_11_8_f,car,300,2,secondary,osm_road,false,true,false
l_11_9_f,car,300,2,secondary,osm_road,false,true,false
l_11_10_f,car,300,2,secondary,osm_road,false,true,false
l_11_11_f,car,300,2,secondary,osm_road,false,true,false
l_11_12_f,car,300,2,secondary,osm_road,false,true,false
l_11_13_f,car,300,2,secondary,osm_road,false,true,false
l_11_14_f,car,300,2,secondary,osm_road,false,true,false
l_11_15_f,car,300,2,secondary,osm_road,false,true,false
l_11_16_f,car,300,2,secondary,osm_road,false,true,false
l_11_17_f,car,300,2,secondary,osm_road,false,true,false
l_11_18_f,car,300,2,secondary,osm_road,false,true,false
l_11_19_f,car,300,2,secondary,osm_road,false,true,false
l_11_20_f,car,300,2,secondary,osm_road,false,true,false
l_11_21_f,car,300,2,secondary,osm_road,false,true,false
l_13_0_f,car,300,3,trunk,osm_road,false,true,false
l_13_1_f,car,300,3,trunk,osm_road,false,true,false
l_14_0_f,car,300,2,secondary,osm_road,false,true,false
l_14_1_f,car,300,2,secondary,osm_road,false,true,false
l_14_2_f,car,300,2,secondary,osm_road,false,true,false
l_14_3_f,car,300,2,secondary,osm_road,false,true,false
l_14_4_f,car,300,2,secondary,osm_road,false,true,false
l_15_0_f,car,300,1,primary_link,osm_road,false,true,false
l_16_0_f,car,300,3,trunk,osm_road,false,true,false
l_16_1_f,car,300,3,trunk,osm_road,false,true,false
l_16_2_f,car,300,3,trunk,osm_road,false,true,false
l_17_0_f,car,300,2,secondary,osm_road,false,true,false
l_17_1_f,car,300,2,secondary,osm_road,false,true,false
l_17_2_f,car,300,2,secondary,osm_road,false,true,false
l_19_0_f,car,300,2,secondary,osm_road,false,true,false
l_19_1_f,car,300,2,secondary,osm_road,false,true,false
l_19_2_f,car,300,2,secondary,osm_road,false,true,false
l_19_3_f,car,300,2,secondary,osm_road,false,true,false
l_19_4_f,car,300,2,secondary,osm_road,false,true,false
l_19_5_f,car,300,2,secondary,osm_road,false,true,false
l_19_6_f,car,300,2,secondary,osm_road,false,true,false
l_19_7_f,car,300,2,secondary,osm_road,false,true,false
l_20_0_f,car,300,2,secondary,osm_road,false,true,false
l_20_1_f,car,300,2,secondary,osm_road,false,true,false
l_20_2_f,car,300,2,secondary,osm_road,false,true,false
l_20_3_f,car,300,2,secondary,osm_road,false,true,false
l_20_4_f,car,300,2,secondary,osm_road,false,true,false
l_20_5_f,car,300,2,secondary,osm_road,false,true,false
l_20_6_f,car,300,2,secondary,osm_road,false,true,false
l_20_7_f,car,300,2,secondary,osm_road,false,true,false
l_21_0_f,car,300,3,trunk,osm_road,false,true,false
l_21_1_f,car,300,3,trunk,osm_road,false,true,false
l_21_2_f,car,300,3,trunk,osm_road,false,true,false
l_22_0_f,car,300,2,primary,osm_road,false,true,false
l_23_0_f,car,300,2,secondary,osm_road,false,true,false
l_23_0_r,car,300,2,secondary,osm_road,false,true,false
l_23_1_f,car,300,2,secondary,osm_road,false,true,false
l_23_1_r,car,300,2,secondary,osm_road,false,true,false
l_24_0_f,car,100,1,service,osm_road,false,true,false
l_24_0_r,car,100,1,service,osm_road,false,true,false
l_24_1_f,car,100,1,service,osm_road,false,true,false
l_24_1_r,car,100,1,service,osm_road,false,true,false
l_24_2_f,car,100,1,service,osm_road,false,true,false
l_24_2_r,car,100,1,service,osm_road,false,true,false
l_24_3_f,car,100,1,service,osm_road,false,true,false
l_24_3_r,car,100,1,service,osm_road,false,true,false
l_24_4_f,car,100,1,service,osm_road,false,true,false
l_24_4_r,car,100,1,service,osm_road,false,true,false
l_24_5_f,car,100,1,service,osm_road,false,true,false
l_24_5_r,car,100,1,service,osm_road,false,true,false
l_25_0_f,car,300,2,secondary,osm_road,false,true,false
l_25_1_f,car,300,2,secondary,osm_road,false,true,false
l_25_2_f,car,300,2,secondary,osm_road,false,true,false
l_25_3_f,car,300,2,secondary,osm_road,false,true,false
l_25_4_f,car,300,2,secondary,osm_road,false,true,false
l_25_5_f,car,300,2,secondary,osm_road,false,true,false
l_26_0_f,car,300,1,tertiary,osm_road,false,true,false
l_26_1_f,car,300,1,tertiary,osm_road,false,true,false
l_26_2_f,car,300,1,tertiary,osm_road,false,true,false
l_26_3_f,car,300,1,tertiary,osm_road,false,true,false
l_26_4_f,car,300,1,tertiary,osm_road,false,true,false
l_26_5_f,car,300,1,tertiary,osm_road,false,true,false
l_26_6_f,car,300,1,tertiary,osm_road,false,true,false
l_26_7_f,car,300,1,tertiary,osm_road,false,true,false
l_27_0_f,car,300,2,secondary,osm_road,false,true,false
l_28_0_f,car,300,2,secondary,osm_road,false,true,false
l_29_0_f,car,300,2,secondary,osm_road,false,true,false
l_29_1_f,car,300,2,secondary,osm_road,false,true,false
l_29_2_f,car,300,2,secondary,osm_road,false,true,false
l_29_3_f,car,300,2,secondary,osm_road,false,true,false
l_29_4_f,car,300,2,secondary,osm_road,false,true,false
l_29_5_f,car,300,2,secondary,osm_road,false,true,false
l_29_6_f,car,300,2,secondary,osm_road,false,true,false
l_29_7_f,car,300,2,secondary,osm_road,false,true,false
l_30_0_f,car,300,1,tertiary,osm_road,false,true,false
l_30_0_r,car,300,1,tertiary,osm_road,false,true,false
l_30_1_f,car,300,1,tertiary,osm_road,false,true,false
l_30_1_r,car,300,1,tertiary,osm_road,false,true,false
l_30_2_f,car,300,1,tertiary,osm_road,false,true,false
l_30_2_r,car,300,1,tertiary,osm_road,false,true,false
l_31_0_f,car,300,1,tertiary,osm_road,false,true,false
l_31_0_r,car,300,1,tertiary,osm_road,false,true,false
l_32_0_f,car,300,1,tertiary,osm_road,false,true,false
l_32_0_r,car,300,1,tertiary,osm_road,false,true,false
l_33_0_f,car,300,2,secondary,osm_road,false,true,false
l_33_1_f,car,300,2,secondary,osm_road,false,true,false
l_33_2_f,car,300,2,secondary,osm_road,false,true,false
l_33_3_f,car,300,2,secondary,osm_road,false,true,false
l_34_0_f,car,300,2,secondary,osm_road,false,true,false
l_34_1_f,car,300,2,secondary,osm_road,false,true,false
l_35_0_f,car,300,2,primary,osm_road,false,true,false
l_35_1_f,car,300,2,primary,osm_road,false,true,false
l_35_2_f,car,300,2,primary,osm_road,false,true,false
l_35_3_f,car,300,2,primary,osm_road,false,true,false
l_35_4_f,car,300,2,primary,osm_road,false,true,false
l_36_0_f,car,300,1,tertiary,osm_road,false,true,false
l_36_1_f,car,300,1,tertiary,osm_road,false,true,false
l_36_2_f,car,300,1,tertiary,osm_road,false,true,false
l_37_0_f,car,300,2,secondary,osm_road,false,true,false
l_37_1_f,car,300,2,secondary,osm_road,false,true,false
l_37_2_f,car,300,2,secondary,osm_road,false,true,false
l_37_3_f,car,300,2,secondary,osm_road,false,true,false
l_37_4_f,car,300,2,secondary,osm_road,false,true,false
l_38_0_f,car,300,1,tertiary,osm_road,false,true,false
l_38_0_r,car,300,1,tertiary,osm_road,false,true,false
l_39_0_f,car,300,2,secondary,osm_road,false,true,false
