bus_stop_facility,metro_stop_facility,distance_m,transfer_time_s
bus_stop_350100010099_004_BV10209055,metro_stop_350100020612_001_BV10687409,233.181,254.317
bus_stop_350100010100_040_BV10209055,metro_stop_350100020612_001_BV10687409,169.506,201.255
bus_stop_350100010407_039_BV10209055,metro_stop_350100020612_001_BV10687409,169.506,201.255
bus_stop_350100010408_004_BV10209055,metro_stop_350100020612_001_BV10687409,233.181,254.317
bus_stop_900000204072_001_BV10209055,metro_stop_350100020612_001_BV10687409,163.1,195.916
bus_stop_900000204073_002_BV10209055,metro_stop_350100020612_001_BV10687409,233.181,254.317
bus_stop_350100010164_032_BV10979110,metro_stop_350100020612_001_BV10687409,104.381,146.984
bus_stop_350100010246_035_BV10979110,metro_stop_350100020612_001_BV10687409,104.381,146.984
bus_stop_350100010295_027_BV10979110,metro_stop_350100020612_001_BV10687409,104.381,146.984
bus_stop_350100010734_018_BV10979110,metro_stop_350100020612_001_BV10687409,104.381,146.984
bus_stop_900000029832_022_BV10979110,metro_stop_350100020612_001_BV10687409,104.381,146.984
bus_stop_900000046046_029_BV10979110,metro_stop_350100020612_001_BV10687409,104.381,146.984
bus_stop_900000071234_016_BV10979110,metro_stop_350100020612_001_BV10687409,104.381,146.984
bus_stop_900000077426_022_BV10979110,metro_stop_350100020612_001_BV10687409,104.381,146.984
bus_stop_900000082435_016_BV10979110,metro_stop_350100020612_001_BV10687409,104.381,146.984
bus_stop_900000097080_009_BV10979110,metro_stop_350100020612_001_BV10687409,104.381,146.984
bus_stop_900000121692_011_BV10979110,metro_stop_350100020612_001_BV10687409,104.381,146.984
bus_stop_900000140953_004_BV10979110,metro_stop_350100020612_001_BV10687409,94.575,138.812
bus_stop_900000140954_009_BV10979110,metro_stop_350100020612_001_BV10687409,104.381,146.984
bus_stop_900000192900_012_BV10979110,metro_stop_350100020612_001_BV10687409,104.381,146.984
bus_stop_900000216266_001_BV10979110,metro_stop_350100020612_001_BV10687409,104.381,146.984
bus_stop_900000224214_010_BV10979110,metro_stop_350100020612_001_BV10687409,104.381,146.984
bus_stop_350100010163_003_BV10979110,metro_stop_350100020612_001_BV10687409,130.365,168.637
bus_stop_350100010240_007_BV10979110,metro_stop_350100020612_001_BV10687409,130.365,168.637
bus_stop_350100010296_007_BV10979110,metro_stop_350100020612_001_BV10687409,130.365,168.637
bus_stop_900000029831_010_BV10979110,metro_stop_350100020612_001_BV10687409,130.365,168.637
bus_stop_900000046047_007_BV10979110,metro_stop_350100020612_001_BV10687409,130.365,168.637
bus_stop_900000071235_015_BV10979110,metro_stop_350100020612_001_BV10687409,130.365,168.637
bus_stop_900000077427_015_BV10979110,metro_stop_350100020612_001_BV10687409,130.365,168.637
bus_stop_900000082436_012_BV10979110,metro_stop_350100020612_001_BV10687409,130.365,168.637
bus_stop_900000097079_015_BV10979110,metro_stop_350100020612_001_BV10687409,130.365,168.637
bus_stop_900000122166_033_BV10979110,metro_stop_350100020612_001_BV10687409,130.365,168.637
bus_stop_900000192901_001_BV10979110,metro_stop_350100020612_001_BV10687409,130.365,168.637
bus_stop_900000216263_012_BV10979110,metro_stop_350100020612_001_BV10687409,130.365,168.637
bus_stop_900000224217_002_BV10979110,metro_stop_350100020612_001_BV10687409,130.365,168.637
bus_stop_350100010067_022_BV10617470,metro_stop_350100020612_002_BV10687406,295.241,306.034
bus_stop_350100010100_035_BV10617470,metro_stop_350100020612_002_BV10687406,295.241,306.034
bus_stop_350100010164_027_BV10617470,metro_stop_350100020612_002_BV10687406,295.241,306.034
bus_stop_350100010232_036_BV10617470,metro_stop_350100020612_002_BV10687406,295.241,306.034
bus_stop_350100010246_030_BV10617470,metro_stop_350100020612_002_BV10687406,295.241,306.034
bus_stop_350100010295_022_BV10617470,metro_stop_350100020612_002_BV10687406,295.241,306.034
bus_stop_350100010323_028_BV10617470,metro_stop_350100020612_002_BV10687406,295.241,306.034
bus_stop_350100010407_034_BV10617470,metro_stop_350100020612_002_BV10687406,295.241,306.034
bus_stop_350100010517_011_BV10617470,metro_stop_350100020612_002_BV10687406,295.241,306.034
bus_stop_350100010734_013_BV10617470,metro_stop_350100020612_002_BV10687406,295.241,306.034
bus_stop_900000030782_005_BV10617470,metro_stop_350100020612_002_BV10687406,295.241,306.034
bus_stop_900000046046_024_BV10617470,metro_stop_350100020612_002_BV10687406,295.241,306.034
bus_stop_900000071234_010_BV10617470,metro_stop_350100020612_002_BV10687406,295.241,306.034
bus_stop_350100010068_006_BV10898306,metro_stop_350100020612_002_BV10687406,110.224,151.853
bus_stop_350100010099_008_BV10898306,metro_stop_350100020612_002_BV10687406,110.224,151.853
bus_stop_350100010163_007_BV10898306,metro_stop_350100020612_002_BV10687406,110.224,151.853
bus_stop_350100010235_008_BV10898306,metro_stop_350100020612_002_BV10687406,110.224,151.853
bus_stop_350100010240_011_BV10898306,metro_stop_350100020612_002_BV10687406,110.224,151.853
bus_stop_350100010296_011_BV10898306,metro_stop_350100020612_002_BV10687406,110.224,151.853
bus_stop_350100010322_007_BV10898306,metro_stop_350100020612_002_BV10687406,110.224,151.853
bus_stop_350100010408_008_BV10898306,metro_stop_350100020612_002_BV10687406,110.224,151.853
bus_stop_350100010516_014_BV10898306,metro_stop_350100020612_002_BV10687406,110.224,151.853
bus_stop_350100010517_012_BV09058362,metro_stop_350100020612_002_BV10687406,116.119,156.766
bus_stop_900000030783_012_BV10898306,metro_stop_350100020612_002_BV10687406,110.224,151.853
bus_stop_900000046047_011_BV10898306,metro_stop_350100020612_002_BV10687406,110.224,151.853
bus_stop_900000071234_011_BV09058362,metro_stop_350100020612_002_BV10687406,116.119,156.766
bus_stop_900000224217_003_BV10898306,metro_stop_350100020612_002_BV10687406,110.224,151.853
bus_stop_350100010067_023_BV10898306,metro_stop_350100020612_002_BV10687406,102.857,145.714
bus_stop_350100010100_036_BV10898306,metro_stop_350100020612_002_BV10687406,111.85,153.209
bus_stop_350100010164_028_BV10898306,metro_stop_350100020612_002_BV10687406,111.85,153.209
bus_stop_350100010232_037_BV10898306,metro_stop_350100020612_002_BV10687406,111.85,153.209
bus_stop_350100010246_031_BV10898306,metro_stop_350100020612_002_BV10687406,111.85,153.209
bus_stop_350100010295_023_BV10898306,metro_stop_350100020612_002_BV10687406,111.85,153.209
bus_stop_350100010323_029_BV10898306,metro_stop_350100020612_002_BV10687406,102.857,145.714
bus_stop_350100010407_035_BV10898306,metro_stop_350100020612_002_BV10687406,111.85,153.209
bus_stop_350100010516_013_BV09055732,metro_stop_350100020612_002_BV10687406,57.251,107.709
bus_stop_350100010517_013_BV10898306,metro_stop_350100020612_002_BV10687406,102.857,145.714
bus_stop_350100010734_014_BV10898306,metro_stop_350100020612_002_BV10687406,111.85,153.209
bus_stop_900000030782_006_BV10898306,metro_stop_350100020612_002_BV10687406,102.857,145.714
bus_stop_900000046046_025_BV10898306,metro_stop_350100020612_002_BV10687406,102.857,145.714
bus_stop_900000071234_012_BV10898306,metro_stop_350100020612_002_BV10687406,111.85,153.209
bus_stop_900000071235_019_BV09055732,metro_stop_350100020612_002_BV10687406,57.251,107.709
bus_stop_900000224214_009_BV10898306,metro_stop_350100020612_002_BV10687406,111.85,153.209
bus_stop_350100010266_005_BV10883338,metro_stop_350100020612_003_BV10687407,64.222,113.518
bus_stop_350100010267_023_BV10883338,metro_stop_350100020612_003_BV10687407,128.977,167.48
bus_stop_350100010523_013_BV10883338,metro_stop_350100020612_003_BV10687407,128.977,167.48
bus_stop_350100010734_029_BV10883338,metro_stop_350100020612_003_BV10687407,128.977,167.48
bus_stop_900000030782_004_BV10883338,metro_stop_350100020612_003_BV10687407,64.222,113.518
bus_stop_900000030783_013_BV10883338,metro_stop_350100020612_003_BV10687407,128.977,167.48
bus_stop_900000071234_009_BV10883338,metro_stop_350100020612_003_BV10687407,64.222,113.518
bus_stop_900000071235_022_BV10883338,metro_stop_350100020612_003_BV10687407,128.977,167.48
bus_stop_900000079599_011_BV10883338,metro_stop_350100020612_003_BV10687407,128.977,167.48
bus_stop_900000133373_026_BV10883338,metro_stop_350100020612_003_BV10687407,64.222,113.518
bus_stop_350100010265_016_BV11615673,metro_stop_350100020612_003_BV10687407,179.919,209.932
bus_stop_900000208431_009_BV11615673,metro_stop_350100020612_003_BV10687407,179.919,209.932
bus_stop_350100010065_002_BV10553038,metro_stop_350100020612_004_BV10687408,266.178,281.815
bus_stop_350100010331_002_BV10553038,metro_stop_350100020612_004_BV10687408,266.178,281.815
bus_stop_350100010005_002_BV10208446,metro_stop_350100020612_004_BV10687408,277.285,291.071
bus_stop_350100010036_002_BV10208446,metro_stop_350100020612_004_BV10687408,277.285,291.071
bus_stop_350100010038_040_BV10553038,metro_stop_350100020612_004_BV10687408,118.111,158.425
bus_stop_350100010042_002_BV10208446,metro_stop_350100020612_004_BV10687408,277.285,291.071
bus_stop_350100010046_035_BV10553038,metro_stop_350100020612_004_BV10687408,133.479,171.233
bus_stop_350100010097_002_BV10208446,metro_stop_350100020612_004_BV10687408,277.285,291.071
bus_stop_350100010139_002_BV10208446,metro_stop_350100020612_004_BV10687408,277.285,291.071
bus_stop_350100010163_020_BV10208446,metro_stop_350100020612_004_BV10687408,277.285,291.071
bus_stop_350100010220_002_BV10208446,metro_stop_350100020612_004_BV10687408,277.285,291.071
