line_id,route_id,stop_count,route_link_count,route_length_m,service_length_m,old_terminal_offset_s,new_terminal_offset_s,old_commercial_speed_kmh,new_commercial_speed_kmh,offsets_strictly_increasing,index_warning_count
bus_line_350100010003,bus_route_350100010003,22,340,31945.979,31945.979,1806.0,4897.018,63.68,23.485,true,0
bus_line_350100010004,bus_route_350100010004,22,245,20144.257,20144.257,1110.0,3218.365,65.333,22.533,true,0
bus_line_350100010005,bus_route_350100010005,29,511,66616.279,66563.506,3714.0,9856.927,64.52,24.311,true,0
bus_line_350100010008,bus_route_350100010008,33,368,41261.348,41261.348,2441.0,6551.949,60.852,22.671,true,0
bus_line_350100010009,bus_route_350100010009,28,508,68247.834,67378.452,3527.0,9591.992,68.773,25.288,true,0
bus_line_350100010010,bus_route_350100010010,29,343,42790.149,42790.149,2384.0,6581.7,64.616,23.405,true,0
bus_line_350100010011,bus_route_350100010011,26,194,27775.276,27775.276,1399.0,4233.478,71.473,23.619,true,0
bus_line_350100010012,bus_route_350100010012,25,141,21114.886,21114.886,1107.0,3347.874,68.666,22.705,true,0
bus_line_350100010013,bus_route_350100010013,38,445,49844.184,49844.184,2654.0,7447.712,67.611,24.093,true,0
bus_line_350100010014,bus_route_350100010014,40,542,67055.989,67055.989,3571.0,9794.091,67.601,24.648,true,0
bus_line_350100010015,bus_route_350100010015,23,138,18282.498,18102.055,993.0,2943.272,65.627,22.141,true,0
bus_line_350100010016,bus_route_350100010016,27,332,44192.6,43862.229,2343.0,6505.959,67.394,24.271,true,0
bus_line_350100010018,bus_route_350100010018,28,380,48287.5,48271.062,2548.0,7126.548,68.201,24.384,true,0
bus_line_350100010019,bus_route_350100010019,27,413,54748.882,54748.882,2730.0,7682.666,72.196,25.655,true,0
bus_line_350100010020,bus_route_350100010020,30,441,59471.387,59471.387,3256.0,8710.294,65.755,24.58,true,0
bus_line_350100010021,bus_route_350100010021,35,446,50425.521,50425.521,2541.0,7415.873,71.441,24.479,true,0
bus_line_350100010022,bus_route_350100010022,38,366,42114.149,42114.149,2078.0,6349.369,72.96,23.878,true,0
bus_line_350100010023,bus_route_350100010023,37,494,60894.625,60894.625,3293.0,9061.634,66.572,24.192,true,0
bus_line_350100010024,bus_route_350100010024,37,526,69640.468,69640.468,3630.0,10096.015,69.065,24.832,true,0
bus_line_350100010025,bus_route_350100010025,30,174,20426.875,20426.875,1156.0,3462.866,63.613,21.236,true,0
bus_line_350100010026,bus_route_350100010026,26,138,17375.452,17375.452,922.0,2886.037,67.843,21.674,true,0
bus_line_350100010027,bus_route_350100010027,34,410,51928.499,51674.705,2838.0,7868.776,65.549,23.641,true,0
bus_line_350100010028,bus_route_350100010028,33,444,67514.547,67514.547,3634.0,9860.743,66.883,24.648,true,0
bus_line_350100010031,bus_route_350100010031,36,399,58461.992,58182.643,3127.0,8678.886,66.984,24.134,true,0
bus_line_350100010032,bus_route_350100010032,35,427,49709.145,49709.145,2817.0,7590.897,63.526,23.575,true,0
