link_id,original_link_id,road_class,length_m,old_freespeed_kmh,speed_cap_kmh,new_freespeed_kmh,capacity,permlanes,speed_was_capped
busprio_l_0_0_f,l_0_0_f,trunk,355.902,100.008,30.0,30.0,6000,3,true
busprio_l_10016_1_f,l_10016_1_f,residential,8.304,29.988,20.0,20.0,3600,1,true
busprio_l_1001_0_f,l_1001_0_f,secondary,413.378,60.012,25.0,25.0,3600,2,true
busprio_l_1001_1_f,l_1001_1_f,secondary,108.904,60.012,25.0,25.0,3600,2,true
busprio_l_1001_2_f,l_1001_2_f,secondary,134.273,60.012,25.0,25.0,3600,2,true
busprio_l_1001_3_f,l_1001_3_f,secondary,143.062,60.012,25.0,25.0,3600,2,true
busprio_l_1001_4_f,l_1001_4_f,secondary,93.14,60.012,25.0,25.0,3600,2,true
busprio_l_1001_5_f,l_1001_5_f,secondary,181.214,60.012,25.0,25.0,3600,2,true
busprio_l_1001_6_f,l_1001_6_f,secondary,52.416,60.012,25.0,25.0,3600,2,true
busprio_l_10020_0_f,l_10020_0_f,service,83.309,20.016,15.0,15.0,3600,1,true
busprio_l_10020_0_r,l_10020_0_r,service,83.309,20.016,15.0,15.0,3600,1,true
busprio_l_10021_0_f,l_10021_0_f,service,73.933,20.016,15.0,15.0,3600,1,true
busprio_l_10021_0_r,l_10021_0_r,service,73.933,20.016,15.0,15.0,3600,1,true
busprio_l_10024_0_f,l_10024_0_f,trunk_link,68.941,60.012,30.0,30.0,3600,1,true
busprio_l_10026_0_f,l_10026_0_f,secondary,10.191,60.012,25.0,25.0,3600,2,true
busprio_l_10026_1_f,l_10026_1_f,secondary,76.831,60.012,25.0,25.0,3600,2,true
busprio_l_10026_2_f,l_10026_2_f,secondary,419.399,60.012,25.0,25.0,3600,2,true
busprio_l_10026_3_f,l_10026_3_f,secondary,15.034,60.012,25.0,25.0,3600,2,true
busprio_l_10027_0_f,l_10027_0_f,secondary,14.833,60.012,25.0,25.0,3600,2,true
busprio_l_10027_1_f,l_10027_1_f,secondary,501.469,60.012,25.0,25.0,3600,2,true
busprio_l_10027_2_f,l_10027_2_f,secondary,10.119,60.012,25.0,25.0,3600,2,true
busprio_l_10028_0_f,l_10028_0_f,secondary_link,37.968,39.996,25.0,25.0,3600,1,true
busprio_l_10029_0_f,l_10029_0_f,secondary_link,19.416,39.996,25.0,25.0,3600,1,true
busprio_l_10030_0_f,l_10030_0_f,secondary_link,59.59,39.996,25.0,25.0,3600,1,true
busprio_l_1003_0_f,l_1003_0_f,tertiary,16.846,50.004,22.0,22.0,3600,1,true
busprio_l_1003_0_r,l_1003_0_r,tertiary,16.846,50.004,22.0,22.0,3600,1,true
busprio_l_1003_1_f,l_1003_1_f,tertiary,358.436,50.004,22.0,22.0,3600,1,true
busprio_l_1003_1_r,l_1003_1_r,tertiary,358.436,50.004,22.0,22.0,3600,1,true
busprio_l_1003_2_f,l_1003_2_f,tertiary,405.4,50.004,22.0,22.0,3600,1,true
busprio_l_1003_2_r,l_1003_2_r,tertiary,405.4,50.004,22.0,22.0,3600,1,true
busprio_l_10046_0_f,l_10046_0_f,primary,65.563,79.992,28.0,28.0,5400,3,true
busprio_l_10046_1_f,l_10046_1_f,primary,103.896,79.992,28.0,28.0,5400,3,true
busprio_l_10047_0_f,l_10047_0_f,primary,66.31,79.992,28.0,28.0,7200,4,true
busprio_l_10048_0_f,l_10048_0_f,primary,29.366,79.992,28.0,28.0,3600,2,true
busprio_l_1004_0_f,l_1004_0_f,tertiary,11.85,50.004,22.0,22.0,3600,1,true
busprio_l_1004_0_r,l_1004_0_r,tertiary,11.85,50.004,22.0,22.0,3600,1,true
busprio_l_10050_0_f,l_10050_0_f,primary,81.298,79.992,28.0,28.0,7200,4,true
busprio_l_10051_0_f,l_10051_0_f,primary,30.1,79.992,28.0,28.0,3600,2,true
busprio_l_10052_0_f,l_10052_0_f,primary,30.051,79.992,28.0,28.0,3600,2,true
busprio_l_10053_0_f,l_10053_0_f,primary,80.625,79.992,28.0,28.0,7200,4,true
busprio_l_10054_0_f,l_10054_0_f,primary_link,302.926,50.004,28.0,28.0,3600,2,true
busprio_l_10055_0_f,l_10055_0_f,primary,4.874,79.992,28.0,28.0,7200,4,true
busprio_l_10055_1_f,l_10055_1_f,primary,9.325,79.992,28.0,28.0,7200,4,true
busprio_l_10056_0_f,l_10056_0_f,trunk_link,154.01,60.012,30.0,30.0,3600,1,true
