metro_stop_facility,x,y,reason
metro_stop_350100020745_001_BV10210910,715486.335,2888713.534,no_bus_stop_within_300m
metro_stop_350100020745_002_BV10208894,716948.669,2887330.074,no_bus_stop_within_300m
metro_stop_350100020745_003_BV10208880,718301.692,2886238.11,no_bus_stop_within_300m
metro_stop_350100020745_004_BV10604610,719590.371,2885335.037,no_bus_stop_within_300m
metro_stop_350100020745_005_BV10604609,719956.941,2884346.926,no_bus_stop_within_300m
metro_stop_350100020745_006_BV10210913,720372.406,2882463.25,no_bus_stop_within_300m
metro_stop_350100020745_007_BV10210914,721136.589,2882477.518,no_bus_stop_within_300m
metro_stop_350100020746_016_BV10210914,721136.589,2882477.518,no_bus_stop_within_300m
metro_stop_350100020746_017_BV10210913,720372.406,2882463.25,no_bus_stop_within_300m
metro_stop_350100020746_018_BV10604609,719956.941,2884346.926,no_bus_stop_within_300m
metro_stop_350100020746_019_BV10604610,719590.371,2885335.037,no_bus_stop_within_300m
metro_stop_350100020746_020_BV10208880,718301.692,2886238.11,no_bus_stop_within_300m
metro_stop_350100020746_021_BV10208894,716948.669,2887330.074,no_bus_stop_within_300m
metro_stop_900000090236_001_BV11506304,733297.476,2876696.147,no_bus_stop_within_300m
metro_stop_900000088653_014_BV11505098,731800.1,2877378.61,no_bus_stop_within_300m
metro_stop_900000088653_015_BV11505097,732497.856,2876629.59,no_bus_stop_within_300m
metro_stop_900000088653_016_BV11506304,733297.476,2876696.147,no_bus_stop_within_300m
metro_stop_900000088653_018_BV11623384,735998.843,2876411.604,no_bus_stop_within_300m
metro_stop_900000088653_019_BV11623385,736997.022,2876429.965,no_bus_stop_within_300m
metro_stop_900000088654_002_BV11623385,736997.022,2876429.965,no_bus_stop_within_300m
metro_stop_900000088654_003_BV11623384,735998.843,2876411.604,no_bus_stop_within_300m
metro_stop_900000088654_005_BV11506304,733297.476,2876696.147,no_bus_stop_within_300m
metro_stop_900000088654_006_BV11505097,732497.856,2876629.59,no_bus_stop_within_300m
metro_stop_900000088654_007_BV11505098,731800.1,2877378.61,no_bus_stop_within_300m
metro_stop_900000076581_006_BV10877576,747268.399,2873557.256,no_bus_stop_within_300m
metro_stop_900000076581_007_BV10877568,748981.288,2873042.388,no_bus_stop_within_300m
metro_stop_900000076581_008_BV10877572,750164.604,2873781.371,no_bus_stop_within_300m
metro_stop_900000076581_009_BV10877573,751385.484,2873810.532,no_bus_stop_within_300m
metro_stop_900000076581_010_BV10877577,752778.281,2873063.572,no_bus_stop_within_300m
metro_stop_900000076581_011_BV10877580,753767.244,2871904.039,no_bus_stop_within_300m
metro_stop_900000076581_012_BV10877570,754594.189,2870845.788,no_bus_stop_within_300m
metro_stop_900000076581_013_BV10877571,757079.895,2869613.453,no_bus_stop_within_300m
metro_stop_900000076581_014_BV10877578,758255.106,2868860.45,no_bus_stop_within_300m
metro_stop_900000076581_015_BV10877566,759344.769,2868156.084,no_bus_stop_within_300m
metro_stop_900000076583_001_BV10877581,760289.454,2867538.803,no_bus_stop_within_300m
metro_stop_900000076583_002_BV10877566,759344.769,2868156.084,no_bus_stop_within_300m
metro_stop_900000076583_003_BV10877578,758255.106,2868860.45,no_bus_stop_within_300m
metro_stop_900000076583_004_BV10877571,757079.895,2869613.453,no_bus_stop_within_300m
metro_stop_900000076583_005_BV10877570,754594.189,2870845.788,no_bus_stop_within_300m
metro_stop_900000076583_006_BV10877580,753767.244,2871904.039,no_bus_stop_within_300m
metro_stop_900000076583_007_BV10877577,752778.281,2873063.572,no_bus_stop_within_300m
metro_stop_900000076583_008_BV10877573,751385.484,2873810.532,no_bus_stop_within_300m
metro_stop_900000076583_009_BV10877572,750164.604,2873781.371,no_bus_stop_within_300m
metro_stop_900000076583_010_BV10877568,748981.288,2873042.388,no_bus_stop_within_300m
metro_stop_900000076583_011_BV10877576,747268.399,2873557.256,no_bus_stop_within_300m
metro_stop_900000139163_007_BV11506304,733340.521,2876843.888,no_bus_stop_within_300m
metro_stop_900000139163_008_BV11339273,738534.839,2870470.385,no_bus_stop_within_300m
metro_stop_900000139163_009_BV11339276,748433.227,2869954.127,no_bus_stop_within_300m
metro_stop_900000139163_010_BV11339271,755724.574,2869013.782,no_bus_stop_within_300m
metro_stop_900000139163_011_BV11339281,756887.131,2868346.9,no_bus_stop_within_300m
metro_stop_900000139163_012_BV11339280,759822.804,2866599.913,no_bus_stop_within_300m
metro_stop_900000139163_013_BV09198673,761030.47,2865806.288,no_bus_stop_within_300m
metro_stop_900000139163_014_BV11339272,767502.238,2870775.64,no_bus_stop_within_300m
metro_stop_900000139164_001_BV11339275,769395.951,2875922.298,no_bus_stop_within_300m
metro_stop_900000139164_002_BV11339272,767502.238,2870775.64,no_bus_stop_within_300m
metro_stop_900000139164_003_BV09198673,761030.47,2865806.288,no_bus_stop_within_300m
metro_stop_900000139164_004_BV11339280,759822.804,2866599.913,no_bus_stop_within_300m
metro_stop_900000139164_005_BV11339281,756887.131,2868346.9,no_bus_stop_within_300m
metro_stop_900000139164_006_BV11339271,755724.574,2869013.782,no_bus_stop_within_300m
metro_stop_900000139164_007_BV11339276,748433.227,2869954.127,no_bus_stop_within_300m
metro_stop_900000139164_008_BV11339273,738534.839,2870470.385,no_bus_stop_within_300m
metro_stop_900000139164_009_BV11506304,733340.521,2876843.888,no_bus_stop_within_300m
