line_id,route_id,links_before,links_after,removed_prefix,removed_suffix,index_warnings
bus_line_350100010003,bus_route_350100010003,340,340,0,0,0
bus_line_350100010004,bus_route_350100010004,245,245,0,0,0
bus_line_350100010005,bus_route_350100010005,511,510,0,1,0
bus_line_350100010008,bus_route_350100010008,368,368,0,0,0
bus_line_350100010009,bus_route_350100010009,508,502,0,6,0
bus_line_350100010010,bus_route_350100010010,343,343,0,0,0
bus_line_350100010011,bus_route_350100010011,194,194,0,0,0
bus_line_350100010012,bus_route_350100010012,141,141,0,0,0
bus_line_350100010013,bus_route_350100010013,445,445,0,0,0
bus_line_350100010014,bus_route_350100010014,542,542,0,0,0
bus_line_350100010015,bus_route_350100010015,138,137,0,1,0
bus_line_350100010016,bus_route_350100010016,332,317,0,15,0
bus_line_350100010018,bus_route_350100010018,380,379,1,0,0
bus_line_350100010019,bus_route_350100010019,413,413,0,0,0
bus_line_350100010020,bus_route_350100010020,441,441,0,0,0
bus_line_350100010021,bus_route_350100010021,446,446,0,0,0
bus_line_350100010022,bus_route_350100010022,366,366,0,0,0
bus_line_350100010023,bus_route_350100010023,494,494,0,0,0
bus_line_350100010024,bus_route_350100010024,526,526,0,0,0
bus_line_350100010025,bus_route_350100010025,174,174,0,0,0
bus_line_350100010026,bus_route_350100010026,138,138,0,0,0
bus_line_350100010027,bus_route_350100010027,410,409,0,1,0
bus_line_350100010028,bus_route_350100010028,444,444,0,0,0
bus_line_350100010031,bus_route_350100010031,399,398,0,1,0
bus_line_350100010032,bus_route_350100010032,427,427,0,0,0
bus_line_350100010033,bus_route_350100010033,416,416,0,0,0
bus_line_350100010034,bus_route_350100010034,325,325,0,0,0
bus_line_350100010035,bus_route_350100010035,234,234,0,0,0
bus_line_350100010036,bus_route_350100010036,246,246,0,0,0
bus_line_350100010037,bus_route_350100010037,554,553,0,1,0
bus_line_350100010038,bus_route_350100010038,468,468,0,0,0
bus_line_350100010041,bus_route_350100010041,181,181,0,0,0
bus_line_350100010042,bus_route_350100010042,118,118,0,0,0
bus_line_350100010046,bus_route_350100010046,384,369,0,15,0
bus_line_350100010047,bus_route_350100010047,347,347,0,0,0
bus_line_350100010048,bus_route_350100010048,459,459,0,0,0
bus_line_350100010049,bus_route_350100010049,289,289,0,0,0
bus_line_350100010050,bus_route_350100010050,438,437,0,1,0
bus_line_350100010051,bus_route_350100010051,158,158,0,0,0
bus_line_350100010052,bus_route_350100010052,209,209,0,0,0
bus_line_350100010054,bus_route_350100010054,315,315,0,0,0
bus_line_350100010055,bus_route_350100010055,200,199,0,1,0
bus_line_350100010056,bus_route_350100010056,254,254,0,0,0
bus_line_350100010057,bus_route_350100010057,622,622,0,0,0
bus_line_350100010058,bus_route_350100010058,551,502,0,49,0
bus_line_350100010059,bus_route_350100010059,373,372,0,1,0
bus_line_350100010061,bus_route_350100010061,391,282,0,109,0
bus_line_350100010062,bus_route_350100010062,396,396,0,0,0
bus_line_350100010063,bus_route_350100010063,184,183,0,1,0
bus_line_350100010064,bus_route_350100010064,152,152,0,0,0
bus_line_350100010065,bus_route_350100010065,323,322,0,1,0
bus_line_350100010066,bus_route_350100010066,259,259,0,0,0
bus_line_350100010067,bus_route_350100010067,342,342,0,0,0
bus_line_350100010068,bus_route_350100010068,282,282,0,0,0
bus_line_350100010069,bus_route_350100010069,559,559,0,0,0
bus_line_350100010071,bus_route_350100010071,483,483,0,0,0
bus_line_350100010072,bus_route_350100010072,395,394,0,1,0
bus_line_350100010073,bus_route_350100010073,158,158,0,0,0
bus_line_350100010074,bus_route_350100010074,172,172,0,0,0
bus_line_350100010077,bus_route_350100010077,556,555,0,1,0
bus_line_350100010078,bus_route_350100010078,418,418,0,0,0
bus_line_350100010079,bus_route_350100010079,619,619,0,0,0
bus_line_350100010080,bus_route_350100010080,471,471,0,0,0
bus_line_350100010081,bus_route_350100010081,282,282,0,0,0
bus_line_350100010082,bus_route_350100010082,242,241,0,1,0
bus_line_350100010083,bus_route_350100010083,458,458,0,0,0
bus_line_350100010084,bus_route_350100010084,564,564,0,0,0
bus_line_350100010087,bus_route_350100010087,400,400,0,0,0
bus_line_350100010088,bus_route_350100010088,402,353,0,49,0
bus_line_350100010089,bus_route_350100010089,346,346,0,0,0
bus_line_350100010090,bus_route_350100010090,352,350,0,2,0
bus_line_350100010091,bus_route_350100010091,408,408,0,0,0
bus_line_350100010092,bus_route_350100010092,259,259,0,0,0
bus_line_350100010093,bus_route_350100010093,186,185,0,1,0
bus_line_350100010094,bus_route_350100010094,202,201,0,1,0
bus_line_350100010095,bus_route_350100010095,226,226,0,0,0
bus_line_350100010096,bus_route_350100010096,350,340,0,10,0
