line_id,line_name,mode,old_departures,new_departures,old_median_headway_min,action,new_headway_min
bus_line_350100010003,1路(西门--白湖亭),bus,176,176,6.0,kept,
bus_line_350100010004,1路(则徐大道盖山路口--西门),bus,89,89,12.0,kept,
bus_line_350100010005,2路(火车站北广场--公交海峡国际会展中心西站),bus,162,162,6.0,kept,
bus_line_350100010008,2路(公交海峡国际会展中心西站--火车站北广场),bus,90,90,10.0,kept,
bus_line_350100010009,3路(螺洲古镇--公交苍霞站),bus,149,149,6.0,kept,
bus_line_350100010010,3路(公交苍霞站--螺洲古镇),bus,83,83,10.0,kept,
bus_line_350100010011,4路(丰泉环保集团--左海公园西门),bus,66,66,13.0,kept,
bus_line_350100010012,4路(左海公园西门--丰泉环保集团),bus,66,66,13.0,kept,
bus_line_350100010013,5路(金山公交总站--火车站北广场),bus,64,64,15.0,kept,
bus_line_350100010014,5路(火车站北广场--金山公交总站),bus,74,74,13.0,kept,
bus_line_350100010015,6路(敬老线路)(金山浦上公交枢纽站--公交仁德站),bus,76,76,11.0,kept,
bus_line_350100010016,6路(敬老线路)(公交仁德站--金山浦上公交枢纽站),bus,76,76,11.0,kept,
bus_line_350100010018,7路(福大学生广场--廨院公交总站),bus,59,59,15.0,kept,
bus_line_350100010019,8路(则徐大道盖山路口--软件园公交总站),bus,173,173,6.0,kept,
bus_line_350100010020,8路(软件园公交总站--白湖亭),bus,95,95,11.0,kept,
bus_line_350100010021,9路(远东丽景公交站--新厦二区社区),bus,185,185,5.0,kept,
bus_line_350100010022,9路(新厦二区社区--远东丽景公交站),bus,110,110,8.0,kept,
bus_line_350100010023,10路(鳌峰洲公交总站--火车站北广场),bus,84,84,11.0,kept,
bus_line_350100010024,10路(火车站北广场--鳌峰洲公交总站),bus,84,84,11.0,kept,
bus_line_350100010025,11路(海峡奥体公交枢纽站--公交鹤林站),bus,65,65,10.0,kept,
bus_line_350100010026,11路(公交鹤林站--海峡奥体公交枢纽站),bus,147,147,6.0,kept,
bus_line_350100010027,13路(敬老线路)(鳌峰洲公交总站--洪塘公交总站),bus,80,80,12.0,kept,
bus_line_350100010028,13路(敬老线路)(洪塘公交总站--鳌峰洲公交总站),bus,80,80,12.0,kept,
bus_line_350100010031,14路(软件园鲲鹏大厦--新后坂停车场),bus,74,74,13.0,kept,
bus_line_350100010032,14路(地铁葫芦阵(东侧)--软件园鲲鹏大厦),bus,102,102,10.0,kept,
bus_line_350100010033,16路(鳌峰洲公交总站--洪山梁厝路),bus,142,142,7.0,kept,
bus_line_350100010034,16路(洪山梁厝路--鳌峰洲公交总站),bus,74,74,13.0,kept,
bus_line_350100010035,K2路(火车南站西广场--火车站北广场),bus,193,193,5.0,kept,
bus_line_350100010036,K2路(火车站北广场--火车南站东广场),bus,101,101,10.0,kept,
bus_line_350100010037,18路(火车站南广场--仁山路利嘉国际商业城),bus,148,148,6.0,kept,
bus_line_350100010038,18路(仁山路利嘉国际商业城--火车站南广场),bus,76,76,12.0,kept,
bus_line_350100010041,20路(福州华光大帝庙--火车站南广场),bus,199,199,6.0,kept,
bus_line_350100010042,20路(火车站南广场--福州华光大帝庙),bus,105,105,10.0,kept,
bus_line_350100010046,K3路(金山金桔站--火车站南广场),bus,156,156,6.0,kept,
bus_line_350100010047,27路(敬老线路)(福新公交枢纽站--福大东门),bus,76,76,12.0,kept,
bus_line_350100010048,27路(敬老线路)(福大东门--湖塘村),bus,76,76,12.0,kept,
bus_line_350100010049,29路(敬老线路)(鼓山公交总站--金牛山公园),bus,74,74,14.0,kept,
bus_line_350100010050,29路(敬老线路)(金牛山公园--鼓山公交总站),bus,74,74,14.0,kept,
bus_line_350100010051,30路(尚干--台江广场),bus,102,102,10.0,kept,
bus_line_350100010052,30路(台江广场--尚干),bus,102,102,10.0,kept,
bus_line_350100010054,33路(白沙--公交仁德站),bus,102,102,10.0,kept,
bus_line_350100010055,36路(青芝山风景区(秦川)--鼓山公交总站),bus,21,43,31.0,densified,20.0
bus_line_350100010056,36路(鼓山公交总站--青芝山风景区(秦川)),bus,102,102,10.0,kept,
bus_line_350100010057,37路(尤溪洲(西)公交站--马尾青洲公交总站),bus,210,210,4.0,kept,
bus_line_350100010058,37路(马尾青洲公交总站--尤溪洲(西)公交站),bus,115,115,8.0,kept,
bus_line_350100010059,38路(闽侯青岐公交总站--公交仁德站),bus,66,66,14.0,kept,
bus_line_350100010061,39路(台江广场--地铁沙堤站),bus,67,67,14.0,kept,
bus_line_350100010062,39路(地铁沙堤站--台江广场),bus,67,67,14.0,kept,
bus_line_350100010063,40路快线(云龙礼堂--公交仁德站),bus,17,17,57.0,kept_special,
bus_line_350100010064,40路快线(公交仁德站--云龙礼堂),bus,102,102,10.0,kept_special,
bus_line_350100010065,51路(敬老线路)(火车站北广场--曙光支路东站),bus,68,68,16.0,kept,
bus_line_350100010066,51路(敬老线路)(鳌峰大桥--火车站北广场),bus,70,70,16.0,kept,
bus_line_350100010067,52路(公交苍霞站--山北公交首末站),bus,86,86,10.0,kept,
bus_line_350100010068,52路(山北公交首末站--公交苍霞站),bus,86,86,10.0,kept,
bus_line_350100010069,56路(东山新苑公交站--快安公交站),bus,100,100,9.0,kept,
bus_line_350100010071,91路(动物园--金山金桔站),bus,59,59,16.0,kept,
bus_line_350100010072,91路(金山金桔站--动物园),bus,60,60,16.0,kept,
bus_line_350100010073,106路(敬老线路)(福州华光大帝庙--罗汉山隧道西站),bus,139,139,6.0,kept,
bus_line_350100010074,106路(敬老线路)(罗汉山隧道西站--福州华光大帝庙),bus,72,72,12.0,kept,
bus_line_350100010077,125路(公交福湾站--公交鹤林站),bus,175,175,5.0,kept,
bus_line_350100010078,125路(公交鹤林站--公交福湾站),bus,96,96,9.0,kept,
bus_line_350100010079,101路(梅亭部队--后坂),bus,137,137,8.0,kept,
bus_line_350100010080,101路(地铁葫芦阵站--梅亭部队),bus,80,80,11.0,kept,
bus_line_350100010081,102路(动物园--鳌峰洲公交总站),bus,179,179,5.0,kept,
bus_line_350100010082,102路(鳌峰洲公交总站--动物园),bus,96,96,9.0,kept,
bus_line_350100010083,103路(金牛山公园--东部办公区),bus,74,74,13.0,kept,
bus_line_350100010084,103路(东部办公区--金牛山公园),bus,74,74,13.0,kept,
bus_line_350100010087,25路(敬老线路)(尤溪洲(西)公交站--公交福湾站),bus,71,71,12.0,kept,
bus_line_350100010088,25路(敬老线路)(公交福湾站--尤溪洲(西)公交站),bus,71,71,12.0,kept,
bus_line_350100010089,105路(港头(朝阳路)--软件园公交总站),bus,70,70,13.0,kept,
bus_line_350100010090,105路(软件园公交总站--港头(朝阳路)),bus,70,70,13.0,kept,
bus_line_350100010091,107路(鼓山公交总站--软件园公交总站),bus,128,128,7.0,kept,
bus_line_350100010092,107路(软件园公交总站--鼓山公交总站),bus,69,69,14.0,kept,
bus_line_350100010093,108路(动物园--鼓山公交总站),bus,140,140,6.0,kept,
bus_line_350100010094,108路(鼓山公交总站--动物园),bus,72,72,11.0,kept,
bus_line_350100010095,109路(敬老线路)(义井公交总站--鳌峰洲公交总站),bus,156,156,6.0,kept,
bus_line_350100010096,109路(敬老线路)(鳌峰洲公交总站--义井公交总站),bus,131,131,7.0,kept,
bus_line_350100010097,100路(敬老线路)(火车站南广场--金山浦上公交枢纽站),bus,207,207,5.0,kept,
bus_line_350100010098,100路(敬老线路)(金山浦上公交枢纽站--火车站南广场),bus,110,110,9.0,kept,
bus_line_350100010099,111路(上柳路北--金山公交总站),bus,130,130,8.0,kept,
bus_line_350100010100,111路(金山公交总站--上柳路北),bus,77,77,13.0,kept,
bus_line_350100010101,112路(洪山梁厝路--廨院公交总站),bus,142,142,6.0,kept,
bus_line_350100010102,112路(廨院公交总站--洪山梁厝路),bus,74,74,12.0,kept,
bus_line_350100010105,115路(廨院公交总站--上渡滨洲),bus,142,142,7.0,kept,
bus_line_350100010106,115路(上渡滨洲--廨院公交总站),bus,76,76,12.0,kept,
bus_line_350100010107,117路(金山浦上公交枢纽站--动物园),bus,149,149,7.0,kept,
bus_line_350100010108,117路(动物园--金山浦上公交枢纽站),bus,95,95,10.0,kept,
bus_line_350100010109,118路(金山公交总站--公交鹤林站),bus,175,175,5.0,kept,
bus_line_350100010110,118路(公交鹤林站--金山公交总站),bus,143,143,6.0,kept,
bus_line_350100010111,121路(敬老线路)(金山公交总站--水头),bus,75,75,13.0,kept,
bus_line_350100010112,121路(敬老线路)(地铁斗门--金山公交总站),bus,102,102,10.0,kept,
bus_line_350100010115,84路(动物园--凤池村),bus,8,31,35.0,densified,20.0
