link_id,bus_route_use_count,reference_congestion_index,reference_simulated_traffic_volume,reference_avg_speed,link_class,highway,old_capacity,new_capacity,old_permlanes,new_permlanes,lane_source,candidate_reason
l_1722_0_f,88,0.2083333333333333,1026.0,16.84130595492025,osm_road,primary,1500.0,5400.0,2.0,3.0,osm_lanes_oneway_total,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_8851_1_f,88,0.2083333333333333,660.0,41.923307788944726,osm_road,primary,1500.0,5400.0,2.0,3.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_2328_0_f,70,0.2083333333333333,872.0,13.09602735639659,osm_road,secondary,1200.0,3000.0,1.5,2.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_7028_1_f,68,0.2083333333333333,1178.0,22.294929994616016,osm_road,trunk,1800.0,6000.0,2.0,3.0,osm_lanes_oneway_total,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_7124_0_f,67,0.2083333333333333,1135.0,25.67563640908921,osm_road,primary,1500.0,5400.0,2.0,3.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_7124_6_f,67,0.2083333333333333,1135.0,17.409481613289298,osm_road,primary,1500.0,5400.0,2.0,3.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_7124_5_f,65,0.2083333333333333,1119.0,17.294909120219977,osm_road,primary,1500.0,5400.0,2.0,3.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_7124_3_f,62,0.2083333333333333,1138.0,16.891308443503547,osm_road,primary,1500.0,5400.0,2.0,3.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_4427_3_f,60,0.2083333333333333,1175.0,17.60532061596077,osm_road,primary,1500.0,5400.0,2.0,3.0,osm_lanes_oneway_total,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_1191_3_f,56,0.2083333333333333,775.0,23.23027457677475,osm_road,primary,1500.0,5400.0,2.0,3.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_7124_2_f,53,0.2083333333333333,866.0,17.756021417899866,osm_road,primary,1500.0,5400.0,2.0,3.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_1916_5_f,51,0.2083333333333333,1124.0,17.868790585260637,osm_road,primary,1500.0,5400.0,2.0,3.0,osm_lanes_oneway_total,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_3539_3_f,51,0.2083333333333333,1135.0,18.884263150158564,osm_road,primary,1500.0,5400.0,2.0,3.0,osm_lanes_oneway_total,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_2031_6_f,48,0.2083333333333333,805.0,21.065151656807963,osm_road,secondary,1200.0,3000.0,1.5,2.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_1238_3_f,41,0.2083333333333333,880.0,13.2099352934371,osm_road,secondary,1200.0,3000.0,1.5,2.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_5755_12_f,40,0.2083333333333333,1311.0,20.65163818881959,osm_road,primary,1500.0,5400.0,2.0,3.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_1850_4_f,38,0.2083333333333333,1445.0,23.967606567770048,osm_road,trunk,1800.0,6000.0,2.0,3.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_3577_1_f,37,0.2083333333333333,811.0,18.617267009287826,osm_road,primary,1500.0,5400.0,2.0,3.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_4510_0_f,36,0.2083333333333333,1238.0,18.94599671725663,osm_road,primary,1500.0,5400.0,2.0,3.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_2361_0_f,35,0.2083333333333333,1576.0,21.249319197430783,osm_road,primary,1500.0,3600.0,2.0,2.0,osm_lanes_oneway_total,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_1196_2_f,34,0.2083333333333333,933.0,25.201991683976825,osm_road,primary,1500.0,7200.0,2.0,4.0,osm_lanes_oneway_total,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_1196_7_f,34,0.2083333333333333,1075.0,33.32542345173284,osm_road,primary,1500.0,7200.0,2.0,4.0,osm_lanes_oneway_total,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_5442_1_f,34,0.2083333333333333,845.0,28.29797440320388,osm_road,primary,1500.0,5400.0,2.0,3.0,osm_lanes_oneway_total,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_2034_12_f,32,0.2083333333333333,1030.0,17.45008736843821,osm_road,primary,1500.0,5400.0,2.0,3.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_2294_0_f,32,0.2083333333333333,529.0,31.894595072155287,osm_road,secondary,1200.0,3000.0,1.5,2.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_2529_1_f,32,0.2083333333333333,530.0,21.49850149848367,osm_road,secondary,1200.0,3000.0,1.5,2.0,osm_lanes_oneway_total,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_1025_4_f,31,0.2083333333333333,1505.0,20.199577662139344,osm_road,primary,1500.0,5400.0,2.0,3.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_125_3_f,28,0.2083333333333333,582.0,37.02032234557181,osm_road,primary,1500.0,5400.0,2.0,3.0,osm_lanes_oneway_total,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_125_1_f,26,0.2083333333333333,489.0,43.23120758353771,osm_road,primary,1500.0,5400.0,2.0,3.0,osm_lanes_oneway_total,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_8450_0_f,26,0.2083333333333333,869.0,13.879691182035158,osm_road,secondary,1200.0,3000.0,1.5,2.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_3578_11_f,25,0.2083333333333333,915.0,19.24003392322216,osm_road,primary,1500.0,5400.0,2.0,3.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_2783_3_f,24,0.2083333333333333,838.0,15.18296843574558,osm_road,secondary,1200.0,3000.0,1.5,2.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_781_0_f,23,0.2083333333333333,1653.0,19.34472074092694,osm_road,primary,1500.0,7200.0,2.0,4.0,osm_lanes_oneway_total,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_10740_1_f,23,0.2083333333333333,991.0,17.761504141187864,osm_road,primary,1500.0,3600.0,2.0,2.0,osm_lanes_forward,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_1025_7_f,21,0.2083333333333333,1399.0,26.448268780916663,osm_road,primary,1500.0,5400.0,2.0,3.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_4248_0_f,21,0.2083333333333333,827.0,22.02034854397549,osm_road,secondary,1200.0,3000.0,1.5,2.0,osm_lanes_oneway_total,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_4512_0_f,21,0.2083333333333333,1399.0,46.14988970036165,osm_road,primary,1500.0,5400.0,2.0,3.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_4513_0_f,21,0.2083333333333333,1399.0,48.31836673346694,osm_road,primary,1500.0,5400.0,2.0,3.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_1296_3_f,19,0.2083333333333333,1503.0,27.31207312713129,osm_road,primary,1500.0,3600.0,2.0,2.0,osm_lanes_oneway_total,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_2646_2_f,19,0.2083333333333333,764.0,27.95851008332701,osm_road,primary,1500.0,5400.0,2.0,3.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_2784_0_f,19,0.2083333333333333,828.0,13.77765627331551,osm_road,secondary,1200.0,3000.0,1.5,2.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_4492_2_f,18,0.2083333333333333,1495.0,19.366718385629174,osm_road,primary,1500.0,5400.0,2.0,3.0,osm_lanes_oneway_total,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_8447_0_f,18,0.2083333333333333,903.0,13.113569732096344,osm_road,secondary,1200.0,3000.0,1.5,2.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_1333_1_f,17,0.2083333333333333,1189.0,24.062601235475096,osm_road,primary,1500.0,3600.0,2.0,2.0,osm_lanes_oneway_total,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_2028_3_f,17,0.2083333333333333,1344.0,20.913062558600803,osm_road,primary,1500.0,5400.0,2.0,3.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_2827_3_f,17,0.2083333333333333,811.0,14.319657645180088,osm_road,secondary,1200.0,3000.0,1.5,2.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_1328_2_f,16,0.2083333333333333,901.0,24.52134605803055,osm_road,primary,1500.0,5400.0,2.0,3.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_1896_1_f,16,0.2083333333333333,748.0,28.42025938941645,osm_road,primary,1500.0,5400.0,2.0,3.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_1881_0_f,15,0.2083333333333333,1084.0,46.1909008583691,osm_road,primary,1500.0,5400.0,2.0,3.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_11221_0_f,15,0.2083333333333333,876.0,17.55769337932659,osm_road,secondary,1200.0,3000.0,1.5,2.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_1318_2_f,14,0.2083333333333333,266.0,34.75584434271999,osm_road,primary,1500.0,5400.0,2.0,3.0,osm_lanes_oneway_total,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_4492_0_f,14,0.2083333333333333,996.0,29.98742581071441,osm_road,primary,1500.0,5400.0,2.0,3.0,osm_lanes_oneway_total,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_11220_0_f,14,0.2083333333333333,741.0,20.121589091175377,osm_road,secondary,1200.0,3000.0,1.5,2.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_2027_0_f,10,0.2083333333333333,788.0,28.937618383094623,osm_road,primary,1500.0,5400.0,2.0,3.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_8725_6_f,8,0.2083333333333333,447.0,37.201634240126126,osm_road,primary,1500.0,5400.0,2.0,3.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_5411_0_r,7,0.2083333333333333,744.0,11.22871867993406,osm_road,tertiary,1000.0,1200.0,1.2,1.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_5411_4_r,4,0.2083333333333333,518.0,17.169452766984154,osm_road,tertiary,1000.0,1200.0,1.2,1.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_1588_3_r,2,0.2083333333333333,249.0,20.806938712548625,osm_road,tertiary,1000.0,1200.0,1.2,1.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_1569_4_f,1,0.2083333333333333,320.0,21.520171785934053,osm_road,tertiary,1000.0,1200.0,1.2,1.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_1569_4_r,1,0.2083333333333333,283.0,23.7960667979087,osm_road,tertiary,1000.0,1200.0,1.2,1.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_2290_2_f,69,0.2100017151449626,959.0,17.64900309365968,osm_road,primary,1500.0,5400.0,2.0,3.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_2031_0_f,63,0.2100912346392089,909.0,13.070363629797072,osm_road,secondary,1200.0,3000.0,1.5,2.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_1365_0_f,80,0.2101226764155947,970.0,17.249999481273342,osm_road,primary,1500.0,5400.0,2.0,3.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_2013_2_f,32,0.2106930321757006,1279.0,18.810856173490883,osm_road,primary,1500.0,5400.0,2.0,3.0,dominant_highway_default,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_2527_1_f,62,0.210761151193471,1029.0,17.543000928638183,osm_road,primary,1500.0,3600.0,2.0,2.0,osm_lanes_oneway_total,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_3572_1_f,25,0.2110256982404676,1157.0,13.50128913655876,osm_road,secondary,1200.0,3000.0,1.5,2.0,osm_lanes_oneway_total,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
l_11269_3_f,84,0.2110988752838523,1405.0,17.673442484989476,osm_road,primary,1500.0,7200.0,2.0,4.0,osm_lanes_oneway_total,bus route uses link; previous daily congestion_index < 0.5; previous volume >= 50
