highway,links,old_capacity_mean,new_capacity_mean,old_capacity_median,new_capacity_median,old_permlanes_mean,new_permlanes_mean,dominant_default_rows,osm_lane_rows
service,9172,300.0,400.08722197993893,300.0,400.0,1.0,1.0002180549498474,9170,2
tertiary,7503,1000.0,1219.0323870451818,1000.0,1200.0,1.1999999999999997,1.0158603225376517,7163,340
residential,5709,600.0,700.3678402522333,600.0,700.0,1.0,1.000525486074619,5632,77
secondary,4906,1200.0,3164.798206278027,1200.0,3000.0,1.5,2.109865470852018,3446,1460
primary,2710,1500.0,5142.287822878229,1500.0,5400.0,2.0,2.856826568265683,1439,1271
unclassified,1569,800.0,900.0,800.0,900.0,1.0,1.0,1552,17
trunk,766,1800.0,6070.496083550914,1800.0,6000.0,2.0,3.035248041775457,397,369
trunk_link,587,1200.0,1655.8773424190802,1200.0,1500.0,1.0,1.1039182282793867,499,88
secondary_link,422,900.0,908.5308056872038,900.0,900.0,1.0,1.009478672985782,406,16
primary_link,312,1000.0,1246.1538461538462,1000.0,1200.0,1.0,1.0384615384615385,290,22
motorway,128,2000.0,6943.75,2000.0,6600.0,2.0,3.15625,5,123
living_street,95,300.0,300.0,300.0,300.0,1.0,1.0,93,2
motorway_link,91,1500.0,1819.7802197802198,1500.0,1800.0,1.0,1.010989010989011,90,1
tertiary_link,86,700.0,700.0,700.0,700.0,1.0,1.0,86,0
